encoder,target,shortlist_size,dpp_minus_rank_best_recall,dpp_minus_rank_top3_recall,dpp_minus_rank_validation_regret,dpp_minus_rank_normalized_validation_regret,dpp_minus_rank_test_regret,shortlist_jaccard
dinov2_b14,food101,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
dinov2_b14,gtsrb,3,0.0,-0.3333333333333333,0.0,0.0,0.0,0.5
dinov2_b14,gtsrb,5,0.0,-0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
dinov2_b14,gtsrb,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
dinov2_b14,oxford_pets,3,0.0,-0.3333333333333333,0.0,0.0,0.0,0.5
dinov2_b14,oxford_pets,5,0.0,-0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
dinov2_b14,oxford_pets,10,0.0,-0.33333333333333337,0.0,0.0,0.0,0.8181818181818182
resnet50,beans,3,0.0,0.0,-0.0025145073808597873,-0.08387097825368073,-0.014062499999999978,0.5
resnet50,beans,5,0.0,0.0,-0.005415858417691766,-0.1806450627398531,0.018750000000000044,0.6666666666666666
resnet50,beans,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
resnet50,dtd,3,0.0,-0.33333333333333337,0.0,0.0,0.0,0.5
resnet50,dtd,5,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666
resnet50,dtd,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
resnet50,eurosat,3,0.0,0.0,0.0,0.0,0.0,0.5
resnet50,eurosat,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
resnet50,eurosat,10,0.0,0.3333333333333333,0.0,0.0,0.0,0.8181818181818182
resnet50,flowers102,3,0.0,0.0,0.0,0.0,0.0,0.5
resnet50,flowers102,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
resnet50,flowers102,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
resnet50,food101,3,0.0,0.0,0.0,0.0,0.0,0.5
resnet50,food101,5,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666
resnet50,food101,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
resnet50,gtsrb,3,0.0,-0.3333333333333333,0.0,0.0,0.0,0.5
resnet50,gtsrb,5,0.0,-0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
resnet50,gtsrb,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
resnet50,oxford_pets,3,0.0,-0.3333333333333333,0.0,0.0,0.0,0.5
resnet50,oxford_pets,5,0.0,-0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
resnet50,oxford_pets,10,0.0,-0.33333333333333337,0.0,0.0,0.0,0.8181818181818182
vit_b16,beans,3,1.0,0.3333333333333333,-0.010638297745522163,-0.38461552559533546,-0.03749999999999998,0.5
vit_b16,beans,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
vit_b16,beans,10,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
vit_b16,dtd,3,0.0,0.0,0.0,0.0,0.0,0.5
vit_b16,dtd,5,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666
vit_b16,dtd,10,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
vit_b16,eurosat,3,0.0,-0.3333333333333333,0.0,0.0,0.0,0.5
vit_b16,eurosat,5,0.0,-0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
vit_b16,eurosat,10,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
vit_b16,flowers102,3,1.0,0.3333333333333333,-0.00490197420120253,-0.10080672859076213,0.005840051174163863,0.5
vit_b16,flowers102,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
vit_b16,flowers102,10,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
vit_b16,food101,3,-1.0,0.0,0.000320006811618867,0.00955814544720537,0.0015199899673462025,0.5
vit_b16,food101,5,-1.0,-0.33333333333333337,0.000320006811618867,0.00955814544720537,0.0015199899673462025,0.6666666666666666
vit_b16,food101,10,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
vit_b16,gtsrb,3,0.0,-0.3333333333333333,0.0,0.0,0.0,0.5
vit_b16,gtsrb,5,0.0,-0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
vit_b16,gtsrb,10,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666
vit_b16,oxford_pets,3,0.0,-0.3333333333333333,0.0,0.0,0.0,0.5
vit_b16,oxford_pets,5,0.0,-0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
vit_b16,oxford_pets,10,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666
