readout,metric,method,shortlist_size,domain_count,repeated_task_count,test_loss,oracle_loss,full_validation_test_loss,gap_to_full,absolute_omission,recall_at_top_q,worst_repeated_task_gap
logistic,nll,random,100,6,48,3.4442877811475223,3.4074871295253217,3.4129836663801814,0.031304114767340456,0.033457241779440865,0.211875,0.08925791507123612
logistic,nll,random,227,6,48,3.4232768955151687,3.4074871295253217,3.4129836663801814,0.010293229134987343,0.011895679261118041,0.48614583333333333,0.03567308144458416
logistic,nll,second_moment_mmd,10,6,48,3.442722486331674,3.4074871295253217,3.412983666380182,0.029738819951492395,0.029995201732992065,0.25,0.11943330144370545
logistic,nll,second_moment_mmd,25,6,48,3.423191554348799,3.4074871295253217,3.412983666380182,0.010207887968617204,0.010540704975667892,0.4645833333333333,0.11218576264093638
logistic,nll,second_moment_mmd,50,6,48,3.415027992729358,3.4074871295253217,3.412983666380182,0.0020443263491768484,0.003975520901699374,0.6979166666666666,0.05423844650762888
logistic,nll,second_moment_mmd,100,6,48,3.413040210126502,3.4074871295253217,3.412983666380182,5.654374632044212e-05,0.0,0.9104166666666665,0.002714099823381222
logistic,nll,second_moment_mmd,227,6,48,3.412983666380182,3.4074871295253217,3.412983666380182,0.0,0.0,0.9979166666666667,0.0
logistic,nll,target_a,10,6,48,3.4404349281166335,3.4074871295253217,3.412983666380182,0.027451261736451793,0.031387128615691366,0.22916666666666666,0.10628887708884527
logistic,nll,target_a,25,6,48,3.425853546552069,3.4074871295253217,3.412983666380182,0.012869880171887135,0.015560181172001383,0.47500000000000003,0.08161091436243506
logistic,nll,target_a,50,6,48,3.4180160881837964,3.4074871295253217,3.412983666380182,0.005032421803614684,0.006013446647572529,0.65625,0.08161091436243506
logistic,nll,target_a,100,6,48,3.415794508236177,3.4074871295253217,3.412983666380182,0.002810841855995357,0.002729499872104311,0.8354166666666668,0.03831903891382549
logistic,nll,target_a,227,6,48,3.412983666380182,3.4074871295253217,3.412983666380182,0.0,0.0,0.9854166666666666,0.0
ridge,brier_score,exhaustive,455,6,48,0.9866755198893399,0.9866656029824062,0.9866755198893399,0.0,0.0,1.0,0.0
ridge,brier_score,random,10,6,48,0.9869895812466739,0.9866656029824062,0.98667551988934,0.0003140613573340185,0.0003181662891676793,0.022291666666666664,0.0006828377050124235
ridge,brier_score,random,25,6,48,0.986872168371279,0.9866656029824062,0.98667551988934,0.00019664848193902973,0.00019769956167677024,0.05416666666666667,0.00040670534464314344
ridge,brier_score,random,50,6,48,0.986803670714394,0.9866656029824062,0.98667551988934,0.0001281508250539562,0.0001307893713877998,0.11072916666666667,0.00026387840488310555
ridge,brier_score,random,100,6,48,0.9867526760814279,0.9866656029824062,0.98667551988934,7.715619208798045e-05,7.777131501870658e-05,0.22343749999999998,0.00016509448273460125
ridge,brier_score,random,227,6,48,0.9867045304323275,0.9866656029824062,0.98667551988934,2.9010542987576348e-05,3.056702147148244e-05,0.5012499999999999,0.00010527865382440327
ridge,brier_score,second_moment_mmd,10,6,48,0.9867167332000641,0.9866656029824062,0.9866755198893399,4.12133107242571e-05,4.114605267775221e-05,0.30624999999999997,0.00030984610329776174
ridge,brier_score,second_moment_mmd,25,6,48,0.9866805252448575,0.9866656029824062,0.9866755198893399,5.005355517460434e-06,7.13847103560548e-06,0.5208333333333334,6.323757520076967e-05
ridge,brier_score,second_moment_mmd,50,6,48,0.9866780428356435,0.9866656029824062,0.9866755198893399,2.522946303658291e-06,1.3283420986845429e-06,0.7687499999999999,5.945443707666698e-05
ridge,brier_score,second_moment_mmd,100,6,48,0.9866755198893399,0.9866656029824062,0.9866755198893399,0.0,0.0,0.9270833333333334,0.0
ridge,brier_score,second_moment_mmd,227,6,48,0.9866755198893399,0.9866656029824062,0.9866755198893399,0.0,0.0,0.99375,0.0
ridge,brier_score,target_a,10,6,48,0.9867714877151563,0.9866656029824062,0.9866755198893399,9.596782581635284e-05,0.00010437746817296145,0.22291666666666665,0.00043049389290406026
ridge,brier_score,target_a,25,6,48,0.9867376279405562,0.9866656029824062,0.9866755198893399,6.210805121628638e-05,6.542750734373631e-05,0.4395833333333334,0.00043049389290406026
ridge,brier_score,target_a,50,6,48,0.9866975538655655,0.9866656029824062,0.9866755198893399,2.2033976225618868e-05,2.3326445462309997e-05,0.6270833333333332,0.00018861155084470838
ridge,brier_score,target_a,100,6,48,0.9866852206746524,0.9866656029824062,0.9866755198893399,9.700785312453017e-06,9.365348725036879e-06,0.8250000000000001,0.0001638817004661064
ridge,brier_score,target_a,227,6,48,0.9866755198893399,0.9866656029824062,0.9866755198893399,0.0,0.0,0.9833333333333334,0.0
ridge,error_rate,exhaustive,455,6,48,0.618194580078125,0.6124674479166666,0.618194580078125,0.0,0.0,1.0,0.0
ridge,error_rate,random,10,6,48,0.6520533243815104,0.6124674479166666,0.618194580078125,0.03385874430338542,0.036860148111979164,0.025729166666666668,0.0750244140625
ridge,error_rate,random,25,6,48,0.6398681640625,0.6124674479166666,0.618194580078125,0.021673583984374998,0.023664855957031248,0.0571875,0.04677734375
ridge,error_rate,random,50,6,48,0.6343093872070312,0.6124674479166666,0.618194580078125,0.016114807128906252,0.01739959716796875,0.10822916666666665,0.0378662109375
ridge,error_rate,random,100,6,48,0.6285919189453125,0.6124674479166666,0.618194580078125,0.0103973388671875,0.010974121093749999,0.21416666666666664,0.0298828125
ridge,error_rate,random,227,6,48,0.6230555216471355,0.6124674479166666,0.618194580078125,0.004860941569010417,0.005074055989583333,0.48625000000000007,0.0175537109375
ridge,error_rate,second_moment_mmd,10,6,48,0.6256917317708334,0.6124674479166666,0.618194580078125,0.007497151692708333,0.010386149088541666,0.2041666666666667,0.03759765625
ridge,error_rate,second_moment_mmd,25,6,48,0.6204020182291666,0.6124674479166666,0.618194580078125,0.0022074381510416665,0.004048665364583333,0.41041666666666665,0.0205078125
ridge,error_rate,second_moment_mmd,50,6,48,0.6207682291666666,0.6124674479166666,0.618194580078125,0.0025736490885416665,0.002655029296875,0.6145833333333334,0.0205078125
ridge,error_rate,second_moment_mmd,100,6,48,0.6180013020833334,0.6124674479166666,0.618194580078125,-0.00019327799479166666,0.0003560384114583333,0.8375,0.01611328125
ridge,error_rate,second_moment_mmd,227,6,48,0.618011474609375,0.6124674479166666,0.618194580078125,-0.00018310546875,0.00010172526041666667,0.975,0.0
ridge,error_rate,target_a,10,6,48,0.6244608561197916,0.6124674479166666,0.618194580078125,0.006266276041666667,0.009602864583333334,0.17500000000000002,0.05859375
ridge,error_rate,target_a,25,6,48,0.6199544270833334,0.6124674479166666,0.618194580078125,0.0017598470052083333,0.00396728515625,0.3604166666666666,0.02734375
ridge,error_rate,target_a,50,6,48,0.61895751953125,0.6124674479166666,0.618194580078125,0.000762939453125,0.001708984375,0.5458333333333333,0.02099609375
ridge,error_rate,target_a,100,6,48,0.6181233723958334,0.6124674479166666,0.618194580078125,-7.120768229166667e-05,0.0009256998697916666,0.7687499999999999,0.01611328125
ridge,error_rate,target_a,227,6,48,0.618011474609375,0.6124674479166666,0.618194580078125,-0.00018310546875,0.00017293294270833334,0.9625,0.0
ridge,nll,exhaustive,455,6,48,4.464166568889945,4.463850915497152,4.464166568889945,0.0,0.0,1.0,0.0
ridge,nll,random,10,6,48,4.476308380443918,4.463850915497152,4.464166568889945,0.012141811553971973,0.01225018584391005,0.02145833333333334,0.024675080187058773
ridge,nll,random,25,6,48,4.47180895831488,4.463850915497152,4.464166568889945,0.007642389424934942,0.00764960533199873,0.05364583333333334,0.014803592660711119
ridge,nll,random,50,6,48,4.469289100036582,4.463850915497152,4.464166568889945,0.005122531146636242,0.005152923925865417,0.11093750000000002,0.010401964229172344
