readout,metric,method,shortlist_size,comparator,comparator_budget,paired_loss_difference,descriptive_domain_bootstrap_low,descriptive_domain_bootstrap_high,domains_better,domains_worse,domain_count
ridge,brier_score,target_a,227,exhaustive,455,0.0,0.0,0.0,0,0,6
ridge,brier_score,target_a,227,random,227,-2.901054298759531e-05,-4.411643937090136e-05,-1.5275285773224307e-05,6,0,6
ridge,error_rate,second_moment_mmd,10,exhaustive,455,0.007497151692708333,0.0017293294270833333,0.012349446614583334,1,5,6
ridge,error_rate,second_moment_mmd,10,random,10,-0.02636159261067708,-0.03917083740234375,-0.015047225952148465,6,0,6
ridge,error_rate,second_moment_mmd,10,random,227,0.00263621012369792,-0.0018427530924479175,0.007360725402832026,3,3,6
ridge,error_rate,second_moment_mmd,25,exhaustive,455,0.0022074381510416665,-0.0005289713541666666,0.005149332682291655,2,4,6
ridge,error_rate,second_moment_mmd,25,random,25,-0.019466145833333337,-0.028468831380208337,-0.011251831054687507,6,0,6
ridge,error_rate,second_moment_mmd,25,random,227,-0.0026535034179687466,-0.006410725911458336,0.0009379069010416787,4,2,6
ridge,error_rate,second_moment_mmd,50,exhaustive,455,0.0025736490885416665,1.0172526041666666e-05,0.0050048828125,2,4,6
ridge,error_rate,second_moment_mmd,50,random,50,-0.01354115804036459,-0.01946004231770834,-0.0074803670247395974,6,0,6
ridge,error_rate,second_moment_mmd,50,random,227,-0.0022872924804687466,-0.004866536458333334,0.0012277221679687581,5,1,6
ridge,error_rate,second_moment_mmd,100,exhaustive,455,-0.00019327799479166666,-0.0010782877604166667,0.000823974609375,2,1,6
ridge,error_rate,second_moment_mmd,100,random,100,-0.010590616861979166,-0.01495310465494791,-0.006588363647460935,6,0,6
ridge,error_rate,second_moment_mmd,100,random,227,-0.00505421956380208,-0.007320226033528643,-0.0030461629231770724,6,0,6
ridge,error_rate,second_moment_mmd,227,exhaustive,455,-0.00018310546875,-0.00054931640625,0.0,1,0,6
ridge,error_rate,second_moment_mmd,227,random,227,-0.005044047037760413,-0.008144963582356772,-0.0024353027343749917,6,0,6
ridge,error_rate,target_a,10,exhaustive,455,0.006266276041666667,0.0017496744791666667,0.011311848958333334,1,5,6
ridge,error_rate,target_a,10,random,10,-0.02759246826171875,-0.0456081771850586,-0.011346435546874992,6,0,6
ridge,error_rate,target_a,10,random,227,0.0014053344726562532,-0.004904683430989584,0.007511393229166677,3,3,6
ridge,error_rate,target_a,25,exhaustive,455,0.0017598470052083333,0.00010172526041666667,0.0033976236979166665,1,5,6
ridge,error_rate,target_a,25,random,25,-0.01991373697916667,-0.029923502604166662,-0.009644521077473978,5,1,6
ridge,error_rate,target_a,25,random,227,-0.00310109456380208,-0.007730611165364584,0.000978088378906258,4,2,6
ridge,error_rate,target_a,50,exhaustive,455,0.000762939453125,-9.1552734375e-05,0.0015162150065104137,1,4,6
ridge,error_rate,target_a,50,random,50,-0.015351867675781256,-0.022375488281250005,-0.008085123697916682,6,0,6
ridge,error_rate,target_a,50,random,227,-0.004098002115885413,-0.008058191935221354,-0.000777180989583325,4,2,6
ridge,error_rate,target_a,100,exhaustive,455,-7.120768229166667e-05,-0.001617431640625,0.0011805216471354137,2,3,6
ridge,error_rate,target_a,100,random,100,-0.010468546549479166,-0.015109252929687502,-0.006271362304687497,6,0,6
ridge,error_rate,target_a,100,random,227,-0.00493214925130208,-0.007375590006510423,-0.0024622599283854116,5,1,6
ridge,error_rate,target_a,227,exhaustive,455,-0.00018310546875,-0.00054931640625,0.0,1,0,6
ridge,error_rate,target_a,227,random,227,-0.005044047037760413,-0.008144632975260418,-0.0024230957031249867,6,0,6
ridge,nll,second_moment_mmd,10,exhaustive,455,0.0016411882502350335,0.0006047291777994864,0.0028978962985608723,0,6,6
ridge,nll,second_moment_mmd,10,random,10,-0.010500623303736781,-0.014647396607006166,-0.006729048692373858,6,0,6
ridge,nll,second_moment_mmd,10,random,227,0.00020579772254382864,-0.0011799951182929203,0.0015511173704228682,3,3,6
ridge,nll,second_moment_mmd,25,exhaustive,455,0.00024512893415383025,4.1506050960353015e-05,0.0004619915531426562,0,4,6
ridge,nll,second_moment_mmd,25,random,25,-0.007397260490781099,-0.009194245140179469,-0.005396495087327091,6,0,6
ridge,nll,second_moment_mmd,25,random,227,-0.0011902615935373746,-0.0020157077890616826,-0.0005492354230869726,6,0,6
ridge,nll,second_moment_mmd,50,exhaustive,455,0.00012867132065580433,0.0,0.0003492930141118511,0,2,6
ridge,nll,second_moment_mmd,50,random,50,-0.004993859825980477,-0.006386729358940579,-0.0034073449096015027,6,0,6
ridge,nll,second_moment_mmd,50,random,227,-0.0013067192070354006,-0.0021547475411732666,-0.0006800497205592763,6,0,6
ridge,nll,second_moment_mmd,100,exhaustive,455,0.0,0.0,0.0,0,0,6
ridge,nll,second_moment_mmd,100,random,100,-0.0031864847235871982,-0.004016383063910167,-0.0022550912714895586,6,0,6
ridge,nll,second_moment_mmd,100,random,227,-0.001435390527691205,-0.0021790076761648756,-0.0008184525916970312,6,0,6
ridge,nll,second_moment_mmd,227,exhaustive,455,0.0,0.0,0.0,0,0,6
ridge,nll,second_moment_mmd,227,random,227,-0.001435390527691205,-0.00213670241620761,-0.000856156971154228,6,0,6
ridge,nll,target_a,10,exhaustive,455,0.0039173288232078884,0.002160556592767593,0.005522175441381394,0,6,6
ridge,nll,target_a,10,random,10,-0.008224482730763927,-0.01264259435769551,-0.0038063711038323436,6,0,6
ridge,nll,target_a,10,random,227,0.0024819382955166835,0.0004425303243564456,0.004302980280597443,2,4,6
ridge,nll,target_a,25,exhaustive,455,0.002502836017121368,0.0007580424661802568,0.004247629568062479,0,4,6
ridge,nll,target_a,25,random,25,-0.005139553407813561,-0.008090089984565941,-0.002219554000425487,6,0,6
ridge,nll,target_a,25,random,227,0.0010674454894301633,-0.001107364879740105,0.003136383073521407,2,4,6
ridge,nll,target_a,50,exhaustive,455,0.0008943418723245111,7.882418673423504e-05,0.0018751381368357395,1,3,6
ridge,nll,target_a,50,random,50,-0.004228189274311771,-0.006369263423596967,-0.0018344765879468015,6,0,6
ridge,nll,target_a,50,random,227,-0.0005410486553666938,-0.0018711428766748732,0.0007890455659414856,4,2,6
ridge,nll,target_a,100,exhaustive,455,0.0004332642054399131,-3.5642080603951833e-06,0.0012606126219922114,1,2,6
ridge,nll,target_a,100,random,100,-0.002753220518147285,-0.0039929776881563,-0.0012717408398285797,5,1,6
ridge,nll,target_a,100,random,227,-0.0010021263222512917,-0.0019906938012221277,6.985909890364937e-05,5,1,6
ridge,nll,target_a,227,exhaustive,455,0.0,0.0,0.0,0,0,6
ridge,nll,target_a,227,random,227,-0.001435390527691205,-0.0021790076761648756,-0.0008318968361626192,6,0,6
