readout,metric,method,shortlist_size,absolute_gap_threshold,failure_rate,worst_domain_failure_rate,domain_count
ridge,error_rate,random,50,0.005,0.6552083333333333,0.825,6
ridge,error_rate,random,50,0.01,0.5697916666666667,0.7875000000000001,6
ridge,error_rate,random,50,0.02,0.38749999999999996,0.6375000000000001,6
ridge,error_rate,random,100,0.005,0.5260416666666666,0.7,6
ridge,error_rate,random,100,0.01,0.43333333333333335,0.7,6
ridge,error_rate,random,100,0.02,0.26666666666666666,0.53125,6
ridge,error_rate,random,227,0.005,0.30208333333333337,0.5,6
ridge,error_rate,random,227,0.01,0.24375000000000002,0.5,6
ridge,error_rate,random,227,0.02,0.10833333333333334,0.3125,6
ridge,error_rate,second_moment_mmd,10,0.005,0.5,1.0,6
ridge,error_rate,second_moment_mmd,10,0.01,0.4375,1.0,6
ridge,error_rate,second_moment_mmd,10,0.02,0.1875,0.375,6
ridge,error_rate,second_moment_mmd,25,0.005,0.2916666666666667,0.75,6
ridge,error_rate,second_moment_mmd,25,0.01,0.25,0.5,6
ridge,error_rate,second_moment_mmd,25,0.02,0.020833333333333332,0.125,6
ridge,error_rate,second_moment_mmd,50,0.005,0.22916666666666666,0.625,6
ridge,error_rate,second_moment_mmd,50,0.01,0.20833333333333334,0.5,6
ridge,error_rate,second_moment_mmd,50,0.02,0.020833333333333332,0.125,6
ridge,error_rate,second_moment_mmd,100,0.005,0.020833333333333332,0.125,6
ridge,error_rate,second_moment_mmd,100,0.01,0.020833333333333332,0.125,6
ridge,error_rate,second_moment_mmd,100,0.02,0.0,0.0,6
ridge,error_rate,second_moment_mmd,227,0.005,0.0,0.0,6
ridge,error_rate,second_moment_mmd,227,0.01,0.0,0.0,6
ridge,error_rate,second_moment_mmd,227,0.02,0.0,0.0,6
ridge,error_rate,target_a,10,0.005,0.4375,0.75,6
ridge,error_rate,target_a,10,0.01,0.3333333333333333,0.5,6
ridge,error_rate,target_a,10,0.02,0.16666666666666666,0.375,6
ridge,error_rate,target_a,25,0.005,0.22916666666666666,0.5,6
ridge,error_rate,target_a,25,0.01,0.1875,0.375,6
ridge,error_rate,target_a,25,0.02,0.041666666666666664,0.125,6
ridge,error_rate,target_a,50,0.005,0.125,0.25,6
ridge,error_rate,target_a,50,0.01,0.125,0.25,6
ridge,error_rate,target_a,50,0.02,0.020833333333333332,0.125,6
ridge,error_rate,target_a,100,0.005,0.041666666666666664,0.125,6
ridge,error_rate,target_a,100,0.01,0.041666666666666664,0.125,6
ridge,error_rate,target_a,100,0.02,0.0,0.0,6
ridge,error_rate,target_a,227,0.005,0.0,0.0,6
ridge,error_rate,target_a,227,0.01,0.0,0.0,6
ridge,error_rate,target_a,227,0.02,0.0,0.0,6
ridge,nll,exhaustive,455,0.01,0.0,0.0,6
ridge,nll,exhaustive,455,0.05,0.0,0.0,6
ridge,nll,exhaustive,455,0.1,0.0,0.0,6
ridge,nll,random,10,0.01,0.48541666666666666,0.76875,6
ridge,nll,random,10,0.05,0.007291666666666668,0.043750000000000004,6
ridge,nll,random,10,0.1,0.0,0.0,6
ridge,nll,random,25,0.01,0.2947916666666666,0.46249999999999997,6
ridge,nll,random,25,0.05,0.0,0.0,6
ridge,nll,random,25,0.1,0.0,0.0,6
ridge,nll,random,50,0.01,0.14895833333333333,0.28125,6
ridge,nll,random,50,0.05,0.0,0.0,6
ridge,nll,random,50,0.1,0.0,0.0,6
ridge,nll,random,100,0.01,0.04479166666666667,0.125,6
ridge,nll,random,100,0.05,0.0,0.0,6
ridge,nll,random,100,0.1,0.0,0.0,6
ridge,nll,random,227,0.01,0.005208333333333333,0.025,6
ridge,nll,random,227,0.05,0.0,0.0,6
ridge,nll,random,227,0.1,0.0,0.0,6
ridge,nll,second_moment_mmd,10,0.01,0.0,0.0,6
ridge,nll,second_moment_mmd,10,0.05,0.0,0.0,6
ridge,nll,second_moment_mmd,10,0.1,0.0,0.0,6
ridge,nll,second_moment_mmd,25,0.01,0.0,0.0,6
ridge,nll,second_moment_mmd,25,0.05,0.0,0.0,6
ridge,nll,second_moment_mmd,25,0.1,0.0,0.0,6
ridge,nll,second_moment_mmd,50,0.01,0.0,0.0,6
ridge,nll,second_moment_mmd,50,0.05,0.0,0.0,6
ridge,nll,second_moment_mmd,50,0.1,0.0,0.0,6
ridge,nll,second_moment_mmd,100,0.01,0.0,0.0,6
ridge,nll,second_moment_mmd,100,0.05,0.0,0.0,6
ridge,nll,second_moment_mmd,100,0.1,0.0,0.0,6
ridge,nll,second_moment_mmd,227,0.01,0.0,0.0,6
ridge,nll,second_moment_mmd,227,0.05,0.0,0.0,6
ridge,nll,second_moment_mmd,227,0.1,0.0,0.0,6
ridge,nll,target_a,10,0.01,0.0625,0.25,6
ridge,nll,target_a,10,0.05,0.0,0.0,6
ridge,nll,target_a,10,0.1,0.0,0.0,6
ridge,nll,target_a,25,0.01,0.0625,0.25,6
ridge,nll,target_a,25,0.05,0.0,0.0,6
ridge,nll,target_a,25,0.1,0.0,0.0,6
ridge,nll,target_a,50,0.01,0.0,0.0,6
ridge,nll,target_a,50,0.05,0.0,0.0,6
ridge,nll,target_a,50,0.1,0.0,0.0,6
ridge,nll,target_a,100,0.01,0.0,0.0,6
ridge,nll,target_a,100,0.05,0.0,0.0,6
ridge,nll,target_a,100,0.1,0.0,0.0,6
ridge,nll,target_a,227,0.01,0.0,0.0,6
ridge,nll,target_a,227,0.05,0.0,0.0,6
ridge,nll,target_a,227,0.1,0.0,0.0,6
