readout,metric,method,shortlist_size,comparator,comparator_budget,target_domain,paired_loss_difference
logistic,brier_score,target_a,50,random,50,infograph,-0.0027726225241081343
logistic,brier_score,target_a,50,random,50,painting,-0.007121047631000285
logistic,brier_score,target_a,50,random,50,quickdraw,-0.0002906048779627718
logistic,brier_score,target_a,50,random,50,real,-0.016572173208324784
logistic,brier_score,target_a,50,random,50,sketch,-0.006346222065459747
logistic,brier_score,target_a,50,random,227,clipart,-0.001835111228047609
logistic,brier_score,target_a,50,random,227,infograph,-6.79743880031003e-05
logistic,brier_score,target_a,50,random,227,painting,-0.0017164914658933383
logistic,brier_score,target_a,50,random,227,quickdraw,0.0010883680688648228
logistic,brier_score,target_a,50,random,227,real,-0.006309427342752
logistic,brier_score,target_a,50,random,227,sketch,-0.000270255734488245
logistic,brier_score,target_a,100,exhaustive,455,clipart,0.0
logistic,brier_score,target_a,100,exhaustive,455,infograph,0.0006995785470255561
logistic,brier_score,target_a,100,exhaustive,455,painting,0.0
logistic,brier_score,target_a,100,exhaustive,455,quickdraw,0.0001371818706533967
logistic,brier_score,target_a,100,exhaustive,455,real,0.0
logistic,brier_score,target_a,100,exhaustive,455,sketch,0.0
logistic,brier_score,target_a,100,random,100,clipart,-0.006318657196041341
logistic,brier_score,target_a,100,random,100,infograph,-0.0011909226878202839
logistic,brier_score,target_a,100,random,100,painting,-0.003625814909751182
logistic,brier_score,target_a,100,random,100,quickdraw,-0.001253003337696998
logistic,brier_score,target_a,100,random,100,real,-0.013183906174185606
logistic,brier_score,target_a,100,random,100,sketch,-0.0018539656107067898
logistic,brier_score,target_a,100,random,227,clipart,-0.001835111228047609
logistic,brier_score,target_a,100,random,227,infograph,-6.79743880031003e-05
logistic,brier_score,target_a,100,random,227,painting,-0.0017164914658933383
logistic,brier_score,target_a,100,random,227,quickdraw,-0.0006503216844600535
logistic,brier_score,target_a,100,random,227,real,-0.006309427342752
logistic,brier_score,target_a,100,random,227,sketch,-5.57954851056891e-05
logistic,brier_score,target_a,227,exhaustive,455,clipart,0.0
logistic,brier_score,target_a,227,exhaustive,455,infograph,0.0
logistic,brier_score,target_a,227,exhaustive,455,painting,0.0
