seed,dimension,candidate_count,budget,target_samples,target_rank,target_moment_relative_error,strategy_id,mode,rank_cap,rank_cap_fraction,rank_schedule,fallback_to_full,selected,full_selected,selection_match,proxy_risk,full_proxy_risk,relative_proxy_risk_vs_full_greedy,true_target_risk,full_true_target_risk,relative_true_risk_vs_full_greedy,transmitted_bytes,dense_full_gram_bytes,packed_full_gram_bytes,byte_ratio_vs_dense,byte_ratio_vs_packed,selection_seconds,decomposition_seconds,certified_steps,certificate_rate,certified_comparisons,total_comparisons,pair_certificate_rate,covered_intervals,total_intervals,interval_coverage_rate,mean_selected_interval_width,sketch_bytes,full_gram_bytes,byte_ratio,uncertified_fallback_steps,mean_refinement_rounds
20260920,16,8,1,32,4,0.31369144750930206,adaptive_cap_l8,adaptive_capped,8,0.5,1|2|4|8,0,pool_00,pool_00,1,0.22533504773561217,0.22533504773561217,0.0,0.25146779566775274,0.25146779566775274,0.0,5824,16384,8704,0.35546875,0.6691176470588235,0.09511878155171871,0.0029721707105636597,0,0.0,6,7,0.8571428571428571,8,8,1.0,0.12131920003387683,,,,1,3.0
20260920,16,8,1,32,4,0.31369144750930206,adaptive_fallback_cap_l8,adaptive_full_fallback,8,0.5,1|2|4|8,1,pool_00,pool_00,1,0.22533504773561217,0.22533504773561217,0.0,0.25146779566775274,0.25146779566775274,0.0,7872,16384,8704,0.48046875,0.9044117647058824,0.11206424050033092,0.0029721707105636597,1,1.0,7,7,1.0,8,8,1.0,0.0,,,,0,4.0
20260920,16,8,3,32,4,0.31369144750930206,full_gram,full_gram,,,,0,pool_00|pool_01|pool_07,pool_00|pool_01|pool_07,1,0.07274063786840584,0.07274063786840584,0.0,0.0794508175881136,0.0794508175881136,0.0,8704,16384,8704,0.53125,1.0,0.004812810570001602,0.0029721707105636597,,,,,,,,,,,,,,
20260920,16,8,3,32,4,0.31369144750930206,fixed_l1,fixed_rank,1,0.0625,1,0,pool_00|pool_01|pool_02,pool_00|pool_01|pool_07,0,0.09226700654136022,0.07274063786840584,0.2684382381727155,0.100396559592343,0.0794508175881136,0.26363154766783703,1216,16384,8704,0.07421875,0.13970588235294118,0.06795267015695572,0.0029721707105636597,0,0.0,0,18,0.0,21,21,1.0,2.0546944213763436,1216,16384,0.07421875,,
20260920,16,8,3,32,4,0.31369144750930206,fixed_l2,fixed_rank,2,0.125,2,0,pool_00|pool_01|pool_07,pool_00|pool_01|pool_07,1,0.07274063786840584,0.07274063786840584,0.0,0.0794508175881136,0.0794508175881136,0.0,2240,16384,8704,0.13671875,0.25735294117647056,0.06804957985877991,0.0029721707105636597,0,0.0,0,18,0.0,21,21,1.0,0.7574447049584513,2240,16384,0.13671875,,
20260920,16,8,3,32,4,0.31369144750930206,fixed_l4,fixed_rank,4,0.25,4,0,pool_00|pool_01|pool_07,pool_00|pool_01|pool_07,1,0.07274063786840584,0.07274063786840584,0.0,0.0794508175881136,0.0794508175881136,0.0,4288,16384,8704,0.26171875,0.49264705882352944,0.06804110109806061,0.0029721707105636597,0,0.0,5,18,0.2777777777777778,21,21,1.0,0.1699114361580336,4288,16384,0.26171875,,
20260920,16,8,3,32,4,0.31369144750930206,fixed_l8,fixed_rank,8,0.5,8,0,pool_00|pool_01|pool_06,pool_00|pool_01|pool_07,0,0.07496842215975613,0.07274063786840584,0.030626405770328047,0.08228386703007909,0.0794508175881136,0.03565790168016252,8384,16384,8704,0.51171875,0.9632352941176471,0.06836799159646034,0.0029721707105636597,0,0.0,6,18,0.3333333333333333,21,21,1.0,0.09025919525833269,8384,16384,0.51171875,,
20260920,16,8,3,32,4,0.31369144750930206,fixed_l16,fixed_rank,16,1.0,16,0,pool_00|pool_01|pool_07,pool_00|pool_01|pool_07,1,0.07274063786840584,0.07274063786840584,0.0,0.0794508175881136,0.0794508175881136,0.0,16576,16384,8704,1.01171875,1.9044117647058822,0.0685719233006239,0.0029721707105636597,3,1.0,18,18,1.0,21,21,1.0,0.0,16576,16384,1.01171875,,
20260920,16,8,3,32,4,0.31369144750930206,adaptive_cap_l1,adaptive_capped,1,0.0625,1,0,pool_00|pool_01|pool_02,pool_00|pool_01|pool_07,0,0.09226700654136022,0.07274063786840584,0.2684382381727155,0.100396559592343,0.0794508175881136,0.26363154766783703,1216,16384,8704,0.07421875,0.13970588235294118,0.1152898445725441,0.0029721707105636597,0,0.0,0,18,0.0,21,21,1.0,2.0546944213763436,,,,3,0.0
20260920,16,8,3,32,4,0.31369144750930206,adaptive_fallback_cap_l1,adaptive_full_fallback,1,0.0625,1,1,pool_00|pool_01|pool_07,pool_00|pool_01|pool_07,1,0.07274063786840584,0.07274063786840584,0.0,0.0794508175881136,0.0794508175881136,0.0,16576,16384,8704,1.01171875,1.9044117647058822,0.13261712715029716,0.0029721707105636597,3,1.0,18,18,1.0,21,21,1.0,0.0,,,,0,0.3333333333333333
