encoder,method,budget,configurations,merged_reff_mean,merged_reff_std,unique_lineages_mean,lineage_duplicate_count_mean,unique_datasets_mean,selected_alias_parent_pairs_mean,max_selected_sample_overlap_mean,selection_seconds_for_max_budget_mean,metric_seconds_mean
clip_b32,lineage_oracle,3,60,250.35006164613065,0.8787597905066141,3.0,0.0,1.0,0.0,0.0,2.9632262885570527e-05,0.034792249804983535
clip_b32,lineage_oracle,5,60,274.1181966862629,0.793701625864888,5.0,0.0,2.0,0.0,0.0,2.9632262885570527e-05,0.03607971395055453
clip_b32,lineage_oracle,8,60,284.5483902737826,0.4266237346147766,8.0,0.0,2.0,0.0,0.0,2.9632262885570527e-05,0.038245943871637184
clip_b32,lineage_oracle,10,60,287.91529700637625,0.4413859396617698,10.0,0.0,3.0,0.0,0.0,2.9632262885570527e-05,0.039748488335559766
clip_b32,rank_only,3,60,243.84105176352526,10.278533907812674,2.533333333333333,0.4666666666666667,1.0,0.4666666666666667,0.25079999999999997,2.2894827028115592e-05,0.03445818337301413
clip_b32,rank_only,5,60,262.7738276054733,3.04863066959753,4.0,1.0,1.0,1.0,0.43333333333333335,2.2894827028115592e-05,0.035982505697757
clip_b32,rank_only,8,60,282.6722344342217,2.2802711632657204,6.6,1.4,2.0,1.4,0.43333333333333335,2.2894827028115592e-05,0.0382658541512986
clip_b32,rank_only,10,60,285.5388747578867,1.5074803761212257,8.0,2.0,2.0,2.0,0.43333333333333335,2.2894827028115592e-05,0.0399582632817328
dinov2_b14,collapse_sketch,3,60,504.7020195382753,40.03689765280435,2.6333333333333333,0.36666666666666664,1.0,0.36666666666666664,0.17586666666666667,0.09670051140710711,0.06201644732306401
dinov2_b14,collapse_sketch,5,60,586.7215737487018,10.185250837556413,4.0,1.0,1.0,1.0,0.43333333333333335,0.09670051140710711,0.07068164783219497
dinov2_b14,collapse_sketch,8,60,636.2750665148701,6.271420457082369,6.8,1.2,2.966666666666667,1.2,0.43333333333333335,0.09670051140710711,0.07434666433061163
dinov2_b14,collapse_sketch,10,60,646.3905693394881,3.373960113020646,8.666666666666666,1.3333333333333333,3.0,1.3333333333333333,0.43333333333333335,0.09670051140710711,0.07679848105957111
dinov2_b14,dpp_subspace,3,60,535.9932965788414,1.630807703015605,3.0,0.0,2.9,0.0,0.0,0.008628976438194514,0.06269146396468082
dinov2_b14,dpp_subspace,5,60,613.9659165486181,0.8433085922105122,4.933333333333334,0.06666666666666667,3.0,0.06666666666666667,0.0033333333333333335,0.008628976438194514,0.07069526401658853
dinov2_b14,dpp_subspace,8,60,641.0451231787076,1.5234592075723081,7.45,0.55,3.0,0.55,0.07466666666666667,0.008628976438194514,0.0742991402745247
dinov2_b14,dpp_subspace,10,60,647.9149542413927,2.458184885513967,9.233333333333333,0.7666666666666667,3.2,0.7666666666666667,0.14133333333333334,0.008628976438194514,0.07658452757944663
dinov2_b14,facility_subspace,3,60,447.04487879804947,1.628215836705869,3.0,0.0,3.0,0.0,0.0,0.0017752849186460178,0.06233917201558749
dinov2_b14,facility_subspace,5,60,572.0604407882115,1.0269236449344514,5.0,0.0,5.0,0.0,0.0,0.0017752849186460178,0.07042393200099469
dinov2_b14,facility_subspace,8,60,624.1373141709754,0.7293515523897435,7.85,0.15,5.0,0.15,0.005000000000000001,0.0017752849186460178,0.0741548905769984
dinov2_b14,facility_subspace,10,60,636.8450446730166,1.0252931854902512,9.45,0.55,5.0,0.55,0.06633333333333334,0.0017752849186460178,0.07638163448621829
dinov2_b14,lineage_oracle,3,60,527.3121585928279,0.9760113780280009,3.0,0.0,1.0,0.0,0.0,2.783661087354024e-05,0.06288910682002703
dinov2_b14,lineage_oracle,5,60,604.3672335121902,0.9728259360516948,5.0,0.0,2.0,0.0,0.0,2.783661087354024e-05,0.07086597370604673
dinov2_b14,lineage_oracle,8,60,628.1713487990911,0.8104055396791107,8.0,0.0,2.0,0.0,0.0,2.783661087354024e-05,0.07431330404554805
dinov2_b14,lineage_oracle,10,60,648.2162430873451,0.6490327326327947,10.0,0.0,3.0,0.0,0.0,2.783661087354024e-05,0.07666328757380446
dinov2_b14,rank_only,3,60,513.0268341159411,36.557238132733154,2.8,0.2,1.0,0.2,0.11006666666666667,2.3115923007329305e-05,0.06286666095256806
dinov2_b14,rank_only,5,60,586.7215770566039,10.185251706820338,4.0,1.0,1.0,1.0,0.43333333333333335,2.3115923007329305e-05,0.07124190131823221
dinov2_b14,rank_only,8,60,625.6964718330265,5.779519755450925,6.683333333333334,1.3166666666666667,2.0,1.3166666666666667,0.43333333333333335,2.3115923007329305e-05,0.07460094193617503
dinov2_b14,rank_only,10,60,631.4870662988957,4.547166369252109,8.0,2.0,2.0,2.0,0.43333333333333335,2.3115923007329305e-05,0.0769157010751466
resnet50,collapse_sketch,3,60,472.9026281621722,57.166604756370454,2.316666666666667,0.6833333333333333,1.0,0.6833333333333333,0.3476,0.18130229987824956,0.0728013868133227
resnet50,collapse_sketch,5,60,707.7148154481696,42.10051299022678,4.0,1.0,1.0,1.0,0.43333333333333335,0.18130229987824956,0.19492833064869047
resnet50,collapse_sketch,8,60,1072.9580616334392,32.61635103640775,6.833333333333333,1.1666666666666667,2.15,1.1666666666666667,0.43333333333333335,0.18130229987824956,0.5775962388453384
resnet50,collapse_sketch,10,60,1189.4482248767154,22.608887042955864,8.633333333333333,1.3666666666666667,2.933333333333333,1.3666666666666667,0.43333333333333335,0.18130229987824956,0.6621741659628848
resnet50,dpp_subspace,3,60,555.9666088625174,1.5917263069816523,2.966666666666667,0.03333333333333333,2.0,0.03333333333333333,0.0,0.008390418378015359,0.07492173245797555
resnet50,dpp_subspace,5,60,825.1128682004684,6.679443074222428,4.966666666666667,0.03333333333333333,3.716666666666667,0.03333333333333333,0.0,0.008390418378015359,0.2010515954035024
resnet50,dpp_subspace,8,60,1114.6962765547382,3.7279687913442343,7.75,0.25,4.0,0.25,0.012466666666666664,0.008390418378015359,0.5790894106030464
resnet50,dpp_subspace,10,60,1205.403225653329,5.909100805594627,9.383333333333333,0.6166666666666667,4.0,0.6166666666666667,0.058,0.008390418378015359,0.6669225924958785
resnet50,facility_subspace,3,60,529.3516398276615,2.5563731796931854,3.0,0.0,3.0,0.0,0.0,0.0016153486755987009,0.07592767647777994
resnet50,facility_subspace,5,60,766.4327865085888,2.7612549508957778,5.0,0.0,5.0,0.0,0.0,0.0016153486755987009,0.20133648002520205
resnet50,facility_subspace,8,60,1083.6866377742974,5.390112810968541,7.766666666666667,0.23333333333333334,5.0,0.23333333333333334,0.006666666666666667,0.0016153486755987009,0.5844483889018496
resnet50,facility_subspace,10,60,1181.509662228855,5.156794539508433,9.583333333333334,0.4166666666666667,5.0,0.4166666666666667,0.019133333333333336,0.0016153486755987009,0.667374691274017
