encoder,overlap,budget,seeds,collapse_minus_rank_mean,collapse_minus_rank_std,collapse_win_count,collapse_tie_count,collapse_loss_count,collapse_win_rate,dpp_minus_rank_mean,dpp_minus_rank_std,dpp_win_count,dpp_tie_count,dpp_loss_count,dpp_win_rate
dinov2_b14,1.0,8,10,10.802654893086412,6.984493849613227,8,2,0,0.8,24.44308774778633,4.968316349434437,10,0,0,1.0
dinov2_b14,1.0,10,10,18.140341179202643,2.2413968720487816,10,0,0,1.0,21.40688817725628,2.3135587230256554,10,0,0,1.0
resnet50,0.0,3,10,-2.391301450188621e-08,7.185143422425337e-08,0,10,0,0.0,30.065498529170576,1.5458522438892346,10,0,0,1.0
resnet50,0.0,5,10,1.0313135589967715e-07,1.9007885085552864e-07,0,10,0,0.0,67.43181153525953,6.094593538798689,10,0,0,1.0
resnet50,0.0,8,10,-0.05202209048852637,0.5721507136367601,1,5,4,0.1,6.314314002575929,1.6513561286501675,10,0,0,1.0
resnet50,0.0,10,10,6.533018513653497,2.3765806132751353,9,1,0,0.9,-0.8763621907229208,1.4172408686721798,1,0,9,0.1
resnet50,0.1,3,10,-3.3716252091919614,7.297828830786804,1,7,2,0.1,36.028317225438734,7.863529498702314,10,0,0,1.0
resnet50,0.1,5,10,-4.2228047050230087e-07,8.739167594951413e-07,0,10,0,0.0,77.7932946308552,5.266126639407815,10,0,0,1.0
resnet50,0.1,8,10,2.186064858925852,5.012788971496495,4,5,1,0.4,12.71597767365563,6.125868248455944,10,0,0,1.0
resnet50,0.1,10,10,7.49913100642325,4.2467339425134005,8,2,0,0.8,2.626191153755735,1.487139409567536,10,0,0,1.0
resnet50,0.25,3,10,-7.767978137195786,16.062349110593207,0,7,3,0.0,45.322017312364636,19.57112039373146,10,0,0,1.0
resnet50,0.25,5,10,2.2644525188297848e-07,4.460809435452147e-07,0,10,0,0.0,96.05214847788652,5.254149922671976,10,0,0,1.0
resnet50,0.25,8,10,4.928444936413371,9.1422470605545,4,4,2,0.4,31.293091216483116,14.689283746592999,10,0,0,1.0
resnet50,0.25,10,10,11.236453526491982,5.823509711737631,9,1,0,0.9,9.033967819823193,1.2496212685064254,10,0,0,1.0
resnet50,0.5,3,10,-31.10201996414971,40.16323284271413,0,6,4,0.0,60.20608861971259,39.17905449170332,10,0,0,1.0
resnet50,0.5,5,10,6.528700055241643e-07,2.480872404249179e-06,0,10,0,0.0,125.04360686699916,5.3531112140421735,10,0,0,1.0
resnet50,0.5,8,10,10.098899300887968,19.743004782780844,3,5,2,0.3,59.2416477759466,23.558508655935338,10,0,0,1.0
resnet50,0.5,10,10,26.26801465878625,6.417977866659156,10,0,0,1.0,46.74412030632807,1.4671742725184922,10,0,0,1.0
resnet50,0.75,3,10,-11.76817215293077,36.588118063970235,0,7,3,0.0,121.2596959674609,47.84215759086404,10,0,0,1.0
resnet50,0.75,5,10,2.041619609371992e-07,2.4103254870888337e-06,0,10,0,0.0,154.17128527863696,5.980938971804271,10,0,0,1.0
resnet50,0.75,8,10,31.08405132062122,40.3824316565782,4,5,1,0.4,103.12098310482074,40.2380832850414,10,0,0,1.0
resnet50,0.75,10,10,35.12145773289601,14.237075896594,10,0,0,1.0,71.74953171331288,1.8483199080330588,10,0,0,1.0
resnet50,1.0,3,10,-0.14541976730499187,0.3196873743283227,0,8,2,0.0,151.34705129323748,64.30781609739422,10,0,0,1.0
resnet50,1.0,5,10,1.2963395647602738e-06,3.0066056697400703e-06,0,10,0,0.0,183.89617178482223,5.731383019878347,10,0,0,1.0
resnet50,1.0,8,10,64.82885052527953,54.58159220828508,7,3,0,0.7,150.81756460594988,54.89920367678179,10,0,0,1.0
resnet50,1.0,10,10,49.77376218537402,21.9838825397336,10,0,0,1.0,102.8843934808101,1.9719941225088229,10,0,0,1.0
vit_b16,0.0,3,10,-21.01473599754386,11.507793152586887,0,2,8,0.0,9.04561973122768,10.831300737557074,10,0,0,1.0
vit_b16,0.0,5,10,-30.551832672628326,3.8205944451060914,0,0,10,0.0,6.215696685262424,2.7631112242296316,10,0,0,1.0
