target_domain,method,shortlist_size,shortlist_reduction,true_top_q_recall,selected_normalized_regret,best_shortlist_normalized_regret,screen_spearman_vs_test_brier
clipart,merged_effective_rank,100,0.7802197802197802,0.35,7.899581023895228e-05,7.899581023895228e-05,0.5049507239804017
clipart,merged_effective_rank,227,0.5010989010989011,0.95,1.236511522321154e-05,0.0,0.5049507239804017
clipart,random,10,0.9780219780219779,0.020000000000000004,0.00040283821254097726,0.00039645029842487966,0.0018650170835424707
clipart,random,25,0.945054945054945,0.0475,0.0002777802333667389,0.0002753770414859916,0.0018650170835424707
clipart,random,50,0.8901098901098902,0.08750000000000002,0.0001952868190636976,0.00019124721963023598,0.0018650170835424707
clipart,random,100,0.7802197802197803,0.1825,0.00011410315284987271,0.00011294094209058428,0.0018650170835424707
clipart,random,227,0.5010989010989011,0.4575,4.886159097407647e-05,4.258740116524356e-05,0.0018650170835424707
clipart,second_moment_mmd,10,0.978021978021978,0.1,0.00020465784007537115,0.00020465784007537115,0.5366075091150445
clipart,second_moment_mmd,25,0.945054945054945,0.30000000000000004,6.63005712802747e-05,5.946317763422453e-05,0.5366075091150445
clipart,second_moment_mmd,50,0.8901098901098901,0.5,7.3345161534697995e-06,7.3345161534697995e-06,0.5366075091150445
clipart,second_moment_mmd,100,0.7802197802197802,0.8500000000000001,1.236511522321154e-05,0.0,0.5366075091150445
clipart,second_moment_mmd,227,0.5010989010989011,0.95,1.236511522321154e-05,0.0,0.5366075091150445
clipart,target_a,10,0.978021978021978,0.1,0.00017740288847322328,0.00017740288847322328,0.6204447708563173
clipart,target_a,25,0.945054945054945,0.35,7.899581023895228e-05,7.899581023895228e-05,0.6204447708563173
clipart,target_a,50,0.8901098901098901,0.45,0.0,0.0,0.6204447708563173
clipart,target_a,100,0.7802197802197802,0.7,0.0,0.0,0.6204447708563173
clipart,target_a,227,0.5010989010989011,0.95,1.236511522321154e-05,0.0,0.6204447708563173
clipart,target_energy,10,0.978021978021978,0.0,0.0006224512471537452,0.0006224512471537452,-0.29322282748552164
clipart,target_energy,25,0.945054945054945,0.0,0.0006126870920431648,0.0006126870920431648,-0.29322282748552164
clipart,target_energy,50,0.8901098901098901,0.0,0.0003340599632256603,0.0003340599632256603,-0.29322282748552164
clipart,target_energy,100,0.7802197802197802,0.0,0.0003340599632256603,0.0003340599632256603,-0.29322282748552164
clipart,target_energy,227,0.5010989010989011,0.35,0.00013623069454060666,0.00013623069454060666,-0.29322282748552164
infograph,bayesian_d,10,0.978021978021978,0.1,0.00013042013602221667,0.00013042013602221667,0.5348580702858468
infograph,bayesian_d,25,0.945054945054945,0.15,9.219565771275769e-05,9.219565771275769e-05,0.5348580702858468
infograph,bayesian_d,50,0.8901098901098901,0.3,9.219565771275769e-05,9.219565771275769e-05,0.5348580702858468
infograph,bayesian_d,100,0.7802197802197802,0.44999999999999996,4.062150920391289e-05,4.062150920391289e-05,0.5348580702858468
infograph,bayesian_d,227,0.5010989010989011,1.0,8.375350629585952e-07,0.0,0.5348580702858468
infograph,domain_balance,10,0.978021978021978,0.0,0.00038333386294160784,0.0003712006416492914,0.08404797150449828
infograph,domain_balance,25,0.945054945054945,0.0,0.00033683318146109407,0.0003279203626953197,0.08404797150449828
infograph,domain_balance,50,0.8901098901098901,0.0,0.0002055377536419869,0.0001965161342620079,0.08404797150449828
infograph,domain_balance,100,0.7802197802197802,0.05,9.175637103888859e-05,9.175637103888859e-05,0.08404797150449828
infograph,domain_balance,227,0.5010989010989011,0.44999999999999996,4.6973336073790656e-05,3.97839741409543e-05,0.08404797150449828
infograph,dpp_subspace,10,0.978021978021978,0.0,0.00046381256695850464,0.00046381256695850464,-0.1112893424683362
infograph,dpp_subspace,25,0.945054945054945,0.0,0.00040119220170355455,0.00040119220170355455,-0.1112893424683362
infograph,dpp_subspace,50,0.8901098901098901,0.05,0.0002818151420469479,0.0002818151420469479,-0.1112893424683362
infograph,dpp_subspace,100,0.7802197802197802,0.05,0.00010247330371837447,0.00010247330371837447,-0.1112893424683362
infograph,dpp_subspace,227,0.5010989010989011,0.25,9.219565771275769e-05,9.219565771275769e-05,-0.1112893424683362
infograph,merged_effective_rank,10,0.978021978021978,0.1,0.0001805804713464558,0.0001805804713464558,0.5260742503496967
infograph,merged_effective_rank,25,0.945054945054945,0.15,9.219565771275769e-05,9.219565771275769e-05,0.5260742503496967
infograph,merged_effective_rank,50,0.8901098901098901,0.3,9.219565771275769e-05,9.219565771275769e-05,0.5260742503496967
infograph,merged_effective_rank,100,0.7802197802197802,0.44999999999999996,4.062150920391289e-05,4.062150920391289e-05,0.5260742503496967
infograph,merged_effective_rank,227,0.5010989010989011,0.95,8.375350629585952e-07,0.0,0.5260742503496967
infograph,random,10,0.9780219780219779,0.0125,0.00023514414192086423,0.00023252742979695367,-0.008661037548123102
infograph,random,25,0.945054945054945,0.042499999999999996,0.00015949174962842755,0.00015050889837427055,-0.008661037548123102
infograph,random,50,0.8901098901098902,0.10000000000000003,8.90162454660758e-05,8.758279078403147e-05,-0.008661037548123102
infograph,random,100,0.7802197802197803,0.215,5.563989535393329e-05,5.454990786576621e-05,-0.008661037548123102
infograph,random,227,0.5010989010989011,0.53,2.53281465557258e-05,2.212079585887998e-05,-0.008661037548123102
infograph,second_moment_mmd,10,0.978021978021978,0.1,3.7369819600070586e-05,3.7369819600070586e-05,0.6885986781593088
infograph,second_moment_mmd,25,0.945054945054945,0.3,3.7369819600070586e-05,3.561970251222761e-05,0.6885986781593088
infograph,second_moment_mmd,50,0.8901098901098901,0.55,7.189361932836355e-06,0.0,0.6885986781593088
infograph,second_moment_mmd,100,0.7802197802197802,0.8,7.189361932836355e-06,0.0,0.6885986781593088
infograph,second_moment_mmd,227,0.5010989010989011,1.0,8.375350629585952e-07,0.0,0.6885986781593088
infograph,target_a,10,0.978021978021978,0.1,0.00011229294706750716,0.00011229294706750716,0.6797229434141097
infograph,target_a,25,0.945054945054945,0.15,9.995295039762022e-05,9.995295039762022e-05,0.6797229434141097
infograph,target_a,50,0.8901098901098901,0.35,4.062150920391289e-05,4.062150920391289e-05,0.6797229434141097
infograph,target_a,100,0.7802197802197802,0.65,4.062150920391289e-05,3.97839741409543e-05,0.6797229434141097
infograph,target_a,227,0.5010989010989011,1.0,8.375350629585952e-07,0.0,0.6797229434141097
infograph,target_energy,10,0.978021978021978,0.0,0.000438899354206488,0.000438899354206488,0.04921582590838329
infograph,target_energy,25,0.945054945054945,0.0,0.0001867233508731421,0.0001867233508731421,0.04921582590838329
infograph,target_energy,50,0.8901098901098901,0.0,0.0001758265039377807,0.0001758265039377807,0.04921582590838329
infograph,target_energy,100,0.7802197802197802,0.2,7.189361932836355e-06,7.189361932836355e-06,0.04921582590838329
infograph,target_energy,227,0.5010989010989011,0.5,7.189361932836355e-06,0.0,0.04921582590838329
painting,bayesian_d,10,0.978021978021978,0.1,0.0002894669310432075,0.00027368623680000314,0.6990910434337283
painting,bayesian_d,25,0.945054945054945,0.39999999999999997,0.00011059491247995147,0.00011059491247995147,0.6990910434337283
painting,bayesian_d,50,0.8901098901098901,0.6499999999999999,4.6345749722216144e-05,4.6345749722216144e-05,0.6990910434337283
painting,bayesian_d,100,0.7802197802197802,0.9,0.0,0.0,0.6990910434337283
painting,bayesian_d,227,0.5010989010989011,1.0,0.0,0.0,0.6990910434337283
painting,domain_balance,10,0.978021978021978,0.0,0.0004863542072306821,0.0004863542072306821,-0.036076530703240656
painting,domain_balance,25,0.945054945054945,0.0,0.00045064110357524186,0.00045064110357524186,-0.036076530703240656
painting,domain_balance,50,0.8901098901098901,0.1,0.00014893154829415808,0.00014893154829415808,-0.036076530703240656
painting,domain_balance,100,0.7802197802197802,0.15,0.00014893154829415808,0.00014893154829415808,-0.036076530703240656
painting,domain_balance,227,0.5010989010989011,0.3,0.00016123508107547513,0.00014893154829415808,-0.036076530703240656
painting,dpp_subspace,10,0.978021978021978,0.1,0.0005180541728081486,0.0005180541728081486,0.2156294030569477
painting,dpp_subspace,25,0.945054945054945,0.1,0.0005180541728081486,0.0005180541728081486,0.2156294030569477
painting,dpp_subspace,50,0.8901098901098901,0.2,0.0002984421879830957,0.0002984421879830957,0.2156294030569477
painting,dpp_subspace,100,0.7802197802197802,0.39999999999999997,0.00011059491247995147,0.00011059491247995147,0.2156294030569477
painting,dpp_subspace,227,0.5010989010989011,0.65,4.6345749722216144e-05,4.6345749722216144e-05,0.2156294030569477
painting,merged_effective_rank,10,0.978021978021978,0.1,0.0002894669310432075,0.00027368623680000314,0.70610071009445
painting,merged_effective_rank,25,0.945054945054945,0.39999999999999997,0.00011059491247995147,0.00011059491247995147,0.70610071009445
painting,merged_effective_rank,50,0.8901098901098901,0.6499999999999999,4.6345749722216144e-05,4.6345749722216144e-05,0.70610071009445
painting,merged_effective_rank,100,0.7802197802197802,0.9,0.0,0.0,0.70610071009445
painting,merged_effective_rank,227,0.5010989010989011,1.0,0.0,0.0,0.70610071009445
painting,random,10,0.9780219780219779,0.025,0.000519394865864552,0.0005174752136264567,0.01884810297516071
painting,random,25,0.945054945054945,0.060000000000000005,0.00024333814953135576,0.00024280493541427116,0.01884810297516071
painting,random,50,0.8901098901098902,0.12250000000000003,0.00015807881903700258,0.00015074738344216876,0.01884810297516071
painting,random,100,0.7802197802197803,0.24250000000000002,0.00011230438093153754,9.569539343169388e-05,0.01884810297516071
painting,random,227,0.5010989010989011,0.5075000000000001,6.498621263496705e-05,5.6913128248786186e-05,0.01884810297516071
