encoder,target_domain,method,shortlist_size,shortlist_reduction,true_top_q_recall,selected_normalized_regret,best_shortlist_normalized_regret,screen_spearman_vs_test_brier
dinov2_b14,clipart,second_moment_mmd,50,0.8901098901098901,0.5,0.0,0.0,0.5476001508345585
dinov2_b14,clipart,second_moment_mmd,100,0.7802197802197802,0.9,0.0,0.0,0.5476001508345585
dinov2_b14,clipart,second_moment_mmd,227,0.5010989010989011,1.0,0.0,0.0,0.5476001508345585
dinov2_b14,clipart,target_a,10,0.978021978021978,0.2,0.00015799162047790456,0.00015799162047790456,0.6342819943793744
dinov2_b14,clipart,target_a,25,0.945054945054945,0.3,0.00015799162047790456,0.00015799162047790456,0.6342819943793744
dinov2_b14,clipart,target_a,50,0.8901098901098901,0.4,0.0,0.0,0.6342819943793744
dinov2_b14,clipart,target_a,100,0.7802197802197802,0.8,0.0,0.0,0.6342819943793744
dinov2_b14,clipart,target_a,227,0.5010989010989011,1.0,0.0,0.0,0.6342819943793744
dinov2_b14,clipart,target_energy,10,0.978021978021978,0.0,0.0008606490908558713,0.0008606490908558713,-0.3834280720438847
dinov2_b14,clipart,target_energy,25,0.945054945054945,0.0,0.0008606490908558713,0.0008606490908558713,-0.3834280720438847
dinov2_b14,clipart,target_energy,50,0.8901098901098901,0.0,0.00030339483322086233,0.00030339483322086233,-0.3834280720438847
dinov2_b14,clipart,target_energy,100,0.7802197802197802,0.0,0.00030339483322086233,0.00030339483322086233,-0.3834280720438847
dinov2_b14,clipart,target_energy,227,0.5010989010989011,0.2,0.0002477311586347902,0.0002477311586347902,-0.3834280720438847
dinov2_b14,infograph,bayesian_d,10,0.978021978021978,0.0,0.0002229108240090971,0.0002229108240090971,0.4811483554701732
dinov2_b14,infograph,bayesian_d,25,0.945054945054945,0.0,0.00018271624529959818,0.00018271624529959818,0.4811483554701732
dinov2_b14,infograph,bayesian_d,50,0.8901098901098901,0.0,0.00018271624529959818,0.00018271624529959818,0.4811483554701732
dinov2_b14,infograph,bayesian_d,100,0.7802197802197802,0.2,7.95679482819086e-05,7.95679482819086e-05,0.4811483554701732
dinov2_b14,infograph,bayesian_d,227,0.5010989010989011,1.0,0.0,0.0,0.4811483554701732
dinov2_b14,infograph,domain_balance,10,0.978021978021978,0.0,0.00046344390142575746,0.00046344390142575746,0.11372709136446674
dinov2_b14,infograph,domain_balance,25,0.945054945054945,0.0,0.00046344390142575746,0.0004456182638942087,0.11372709136446674
dinov2_b14,infograph,domain_balance,50,0.8901098901098901,0.0,0.0002927426568822555,0.0002746994181222975,0.11372709136446674
dinov2_b14,infograph,domain_balance,100,0.7802197802197802,0.1,0.00011661223889517974,0.00011661223889517974,0.11372709136446674
dinov2_b14,infograph,domain_balance,227,0.5010989010989011,0.6,7.95679482819086e-05,7.95679482819086e-05,0.11372709136446674
dinov2_b14,infograph,dpp_subspace,10,0.978021978021978,0.0,0.0007094320589671019,0.0007094320589671019,-0.22202375644295422
dinov2_b14,infograph,dpp_subspace,25,0.945054945054945,0.0,0.0006268918070384137,0.0006268918070384137,-0.22202375644295422
dinov2_b14,infograph,dpp_subspace,50,0.8901098901098901,0.0,0.0005413999219567451,0.0005413999219567451,-0.22202375644295422
dinov2_b14,infograph,dpp_subspace,100,0.7802197802197802,0.0,0.00018271624529959818,0.00018271624529959818,-0.22202375644295422
dinov2_b14,infograph,dpp_subspace,227,0.5010989010989011,0.0,0.00018271624529959818,0.00018271624529959818,-0.22202375644295422
dinov2_b14,infograph,merged_effective_rank,10,0.978021978021978,0.0,0.00032323149465757537,0.00032323149465757537,0.4683713689510119
dinov2_b14,infograph,merged_effective_rank,25,0.945054945054945,0.0,0.00018271624529959818,0.00018271624529959818,0.4683713689510119
dinov2_b14,infograph,merged_effective_rank,50,0.8901098901098901,0.0,0.00018271624529959818,0.00018271624529959818,0.4683713689510119
dinov2_b14,infograph,merged_effective_rank,100,0.7802197802197802,0.2,7.95679482819086e-05,7.95679482819086e-05,0.4683713689510119
dinov2_b14,infograph,merged_effective_rank,227,0.5010989010989011,0.9,0.0,0.0,0.4683713689510119
dinov2_b14,infograph,random,10,0.9780219780219779,0.015000000000000003,0.0003219182354746029,0.0003219182354746029,-0.014468066132800656
dinov2_b14,infograph,random,25,0.945054945054945,0.025,0.000245979065186211,0.00022989508965734368,-0.014468066132800656
dinov2_b14,infograph,random,50,0.8901098901098902,0.07500000000000002,0.0001380818546392285,0.00013579758093283556,-0.014468066132800656
dinov2_b14,infograph,random,100,0.7802197802197803,0.19,8.638767467591892e-05,8.509414290546011e-05,-0.014468066132800656
dinov2_b14,infograph,random,227,0.5010989010989011,0.5349999999999999,4.3917287362063886e-05,4.0245669092294175e-05,-0.014468066132800656
dinov2_b14,infograph,second_moment_mmd,10,0.978021978021978,0.2,0.0,0.0,0.7142388332743074
dinov2_b14,infograph,second_moment_mmd,25,0.945054945054945,0.6,0.0,0.0,0.7142388332743074
dinov2_b14,infograph,second_moment_mmd,50,0.8901098901098901,0.9,0.0,0.0,0.7142388332743074
dinov2_b14,infograph,second_moment_mmd,100,0.7802197802197802,1.0,0.0,0.0,0.7142388332743074
dinov2_b14,infograph,second_moment_mmd,227,0.5010989010989011,1.0,0.0,0.0,0.7142388332743074
dinov2_b14,infograph,target_a,10,0.978021978021978,0.0,0.0002229108240090971,0.0002229108240090971,0.6456136953702454
dinov2_b14,infograph,target_a,25,0.945054945054945,0.0,0.00019823083066932323,0.00019823083066932323,0.6456136953702454
dinov2_b14,infograph,target_a,50,0.8901098901098901,0.1,7.95679482819086e-05,7.95679482819086e-05,0.6456136953702454
dinov2_b14,infograph,target_a,100,0.7802197802197802,0.4,7.95679482819086e-05,7.95679482819086e-05,0.6456136953702454
dinov2_b14,infograph,target_a,227,0.5010989010989011,1.0,0.0,0.0,0.6456136953702454
dinov2_b14,infograph,target_energy,10,0.978021978021978,0.0,0.0007991579258046923,0.0007991579258046923,-0.12363045023606117
