method,shortlist_size,unit_count,mean_shortlist_reduction,mean_true_top_q_recall,recall_ci_low,recall_ci_high,mean_selected_normalized_regret,regret_ci_low,regret_ci_high,mean_best_shortlist_normalized_regret,mean_screen_spearman_vs_test_brier,passes_reduction_gate,passes_recall_gate,passes_regret_gate,passes_all_gates
dpp_subspace,10,6,0.978021978021978,0.016666666666666666,0.0,0.05000000000000001,0.0006495763584895873,0.00043883431923860184,0.0008806316661023444,0.0006491685002711435,-0.06316320282237277,1,0,1,0
dpp_subspace,25,6,0.9450549450549451,0.016666666666666666,0.0,0.05000000000000001,0.0005270030607729574,0.00036853388661353074,0.0006785612803184114,0.0005215289098815839,-0.06316320282237277,1,0,1,0
dpp_subspace,50,6,0.8901098901098902,0.041666666666666664,0.0,0.10833333333333334,0.00041611132119939286,0.00027873390199208294,0.0005580004172173362,0.00041611132119939286,-0.06316320282237277,1,0,1,0
dpp_subspace,100,6,0.7802197802197802,0.08333333333333333,0.008333333333333333,0.21666666666666665,0.00023957384925274474,0.00015203158991948645,0.00033133178569078823,0.000236905537777029,-0.06316320282237277,1,0,1,0
dpp_subspace,227,6,0.5010989010989011,0.275,0.125,0.44999999999999996,9.061903705268733e-05,6.474266791439995e-05,0.0001204216654400062,8.906731121029002e-05,-0.06316320282237277,1,0,1,0
merged_effective_rank,10,6,0.978021978021978,0.13333333333333333,0.041666666666666664,0.26666666666666666,0.0002266351241393035,0.00012397151159930105,0.00031085326848100163,0.00022253641532677643,0.4952582765792828,1,0,1,0
merged_effective_rank,25,6,0.9450549450549451,0.26666666666666666,0.10833333333333332,0.44166666666666665,0.00013624436610863263,6.963831704872161e-05,0.0001942248518158078,0.00013477553995653742,0.4952582765792828,1,0,1,0
merged_effective_rank,50,6,0.8901098901098902,0.39999999999999997,0.17500000000000002,0.6416666666666667,8.810888613672048e-05,4.1651161592867374e-05,0.00014060529895776935,8.701512401791676e-05,0.4952582765792828,1,0,1,0
merged_effective_rank,100,6,0.7802197802197802,0.5583333333333333,0.2833333333333334,0.8166666666666668,5.1838528769178475e-05,1.624888457981957e-05,9.121990536022221e-05,4.681655398623949e-05,0.4952582765792828,1,0,1,0
merged_effective_rank,227,6,0.5010989010989011,0.8166666666666668,0.48333333333333334,0.9916666666666667,2.9731831807986023e-05,2.6499448241269895e-06,6.529220368974184e-05,1.6546536274539523e-05,0.4952582765792828,1,0,1,0
random,10,6,0.978021978021978,0.022500000000000003,0.017916666666666668,0.02666666666666666,0.00031912780818032344,0.00021286563198306334,0.00042175412888981065,0.0003135485518057884,0.001640473918615584,1,0,1,0
random,25,6,0.9450549450549451,0.05291666666666667,0.04791666666666666,0.05791666666666667,0.00020027414330766333,0.00014652759817117552,0.0002471583236698379,0.0001922551235812553,0.001640473918615584,1,0,1,0
random,50,6,0.8901098901098902,0.10416666666666669,0.09541666666666669,0.1129166666666667,0.00013392123754879377,9.792837968208394e-05,0.00016720501894577913,0.00012664505394993322,0.001640473918615584,1,0,1,0
random,100,6,0.7802197802197802,0.2133333333333333,0.1920833333333333,0.23500000000000001,8.409422784521233e-05,6.409710898665302e-05,0.00010409134670377165,7.41388469155583e-05,0.001640473918615584,1,0,1,0
random,227,6,0.5010989010989011,0.4895833333333333,0.4695833333333333,0.5095833333333334,3.942227100919827e-05,2.767591146920077e-05,5.245693650518465e-05,2.9161285380273365e-05,0.001640473918615584,1,0,1,0
second_moment_mmd,10,6,0.978021978021978,0.275,0.15833333333333333,0.4000000000000001,6.227283652168138e-05,2.2462539089441032e-05,0.0001231857677603609,5.381792257053136e-05,0.6902855983571263,1,0,1,0
second_moment_mmd,25,6,0.9450549450549451,0.46666666666666673,0.35000000000000003,0.6,2.6402019107766942e-05,7.686782363989788e-06,4.7043730437213817e-05,1.5847146691075356e-05,0.6902855983571263,1,0,1,0
