scope,readout,metric,shortlist_size,method,domain_count,repeated_task_count,evaluated_candidates_mean,validation_loss_mean,test_loss_mean,delta_vs_mmd_mean,delta_vs_matched_mmd_mean,gap_to_full_validation_mean,recall_at_top_q_mean,fractional_recall_at_top_q_mean,absolute_omission_mean,better_than_mmd_tasks,better_than_mmd_rate,worse_than_mmd_tasks,worse_than_mmd_rate,better_than_matched_mmd_tasks,better_than_matched_mmd_rate,worse_than_matched_mmd_tasks,worse_than_matched_mmd_rate,selected_changed_from_mmd_tasks,selected_changed_from_mmd_rate,selected_outside_mmd_tasks,selected_outside_mmd_rate,selected_from_a_only_tasks,selected_from_a_only_rate,any_test_oracle_retained_tasks,any_test_oracle_retained_rate,delta_vs_mmd_domains_better,delta_vs_mmd_domains_worse,delta_vs_matched_mmd_domains_better,delta_vs_matched_mmd_domains_worse
new_seeds,ridge,brier_score,10,mmd_2s_then_a,6,48,10.0,0.9867197002241052,0.9867454066695055,2.8673469441344485e-05,5.2677501497647626e-05,6.988678016560158e-05,0.23750000000000002,0.23750000000000002,7.404145599498868e-05,6,0.125,19,0.3958333333333333,5,0.10416666666666667,23,0.4791666666666667,25,0.5208333333333334,13,0.2708333333333333,0,0.0,14,0.2916666666666667,1,5,1,5
new_seeds,ridge,brier_score,10,mmd_matched_union_size,6,48,16.229166666666668,0.9866635022911533,0.9866927291680079,-2.4004032056303137e-05,0.0,1.7209278667953964e-05,0.3979166666666667,0.3979166666666667,1.7802770723905625e-05,12,0.25,2,0.041666666666666664,0,0.0,0,0.0,14,0.2916666666666667,14,0.2916666666666667,0,0.0,32,0.6666666666666666,4,1,0,0
new_seeds,ridge,brier_score,10,union,6,48,16.229166666666668,0.9866713205674588,0.9867054881119288,-1.1245088135399447e-05,1.275894392090369e-05,2.9968222588857656e-05,0.3854166666666667,0.3854166666666667,3.090477342277085e-05,7,0.14583333333333334,0,0.0,6,0.125,12,0.25,7,0.14583333333333334,7,0.14583333333333334,7,0.14583333333333334,27,0.5625,3,0,2,3
new_seeds,ridge,brier_score,25,a_opt,6,48,25.0,0.9867035484733996,0.9867376279405562,5.7102695698825943e-05,6.0943295649343775e-05,6.210805121628638e-05,0.4395833333333334,0.4395833333333334,6.542750734373631e-05,10,0.20833333333333334,20,0.4166666666666667,9,0.1875,20,0.4166666666666667,30,0.625,19,0.3958333333333333,19,0.3958333333333333,26,0.5416666666666666,0,4,0,4
new_seeds,ridge,brier_score,25,interleave_a_first,6,48,25.0,0.9866588182481087,0.9866944077970087,1.3882552151264308e-05,1.772315210178214e-05,1.888790766872474e-05,0.5375,0.5375,1.9886869920109535e-05,6,0.125,9,0.1875,7,0.14583333333333334,8,0.16666666666666666,15,0.3125,8,0.16666666666666666,8,0.16666666666666666,34,0.7083333333333334,0,4,0,4
new_seeds,ridge,brier_score,25,interleave_mmd_first,6,48,25.0,0.986658246632393,0.986692230620544,1.1705375686531239e-05,1.554597563704907e-05,1.6710731203991674e-05,0.5479166666666667,0.5479166666666667,1.7709693455376468e-05,7,0.14583333333333334,8,0.16666666666666666,7,0.14583333333333334,8,0.16666666666666666,15,0.3125,8,0.16666666666666666,8,0.16666666666666666,34,0.7083333333333334,0,4,0,4
new_seeds,ridge,brier_score,25,mmd,6,48,25.0,0.9866522249926875,0.9866805252448575,0.0,3.840599950517831e-06,5.005355517460434e-06,0.5208333333333334,0.5208333333333334,7.13847103560548e-06,0,0.0,0,0.0,3,0.0625,4,0.08333333333333333,0,0.0,0,0.0,0,0.0,35,0.7291666666666666,0,0,1,2
new_seeds,ridge,brier_score,25,mmd_2s_then_a,6,48,25.0,0.986672644418381,0.9867000010055054,1.9475760647915303e-05,2.3316360598433134e-05,2.4481116165375738e-05,0.46875,0.46875,2.841286058462289e-05,10,0.20833333333333334,13,0.2708333333333333,6,0.125,12,0.25,23,0.4791666666666667,12,0.25,6,0.125,29,0.6041666666666666,0,4,0,4
new_seeds,ridge,brier_score,25,mmd_matched_union_size,6,48,37.9375,0.9866488364894469,0.9866766846449068,-3.840599950517831e-06,0.0,1.1647555669426028e-06,0.6749999999999999,0.6749999999999999,2.3957324510210745e-06,4,0.08333333333333333,3,0.0625,0,0.0,0,0.0,7,0.14583333333333334,7,0.14583333333333334,2,0.041666666666666664,41,0.8541666666666666,2,1,0,0
new_seeds,ridge,brier_score,25,union,6,48,37.9375,0.9866453753946441,0.9866770409455702,-3.4842992873198217e-06,3.563006631980096e-07,1.5210562301406123e-06,0.6833333333333332,0.6833333333333332,1.5960777039307945e-06,6,0.125,1,0.020833333333333332,6,0.125,3,0.0625,7,0.14583333333333334,7,0.14583333333333334,7,0.14583333333333334,42,0.875,3,0,2,2
new_seeds,ridge,brier_score,50,a_opt,6,48,50.0,0.9866644862968815,0.9866975538655655,1.9511029921960577e-05,1.9887477097244494e-05,2.2033976225618868e-05,0.6270833333333333,0.6270833333333333,2.3326445462309997e-05,9,0.1875,12,0.25,8,0.16666666666666666,12,0.25,21,0.4375,6,0.125,6,0.125,32,0.6666666666666666,1,3,0,3
new_seeds,ridge,brier_score,50,interleave_a_first,6,48,50.0,0.9866448935611466,0.9866756323416612,-2.410493982354008e-06,-2.034046807070089e-06,1.124523213042831e-07,0.7729166666666667,0.7729166666666667,7.179443216968432e-07,7,0.14583333333333334,1,0.020833333333333332,6,0.125,1,0.020833333333333332,8,0.16666666666666666,5,0.10416666666666667,5,0.10416666666666667,45,0.9375,4,0,3,0
new_seeds,ridge,brier_score,50,interleave_mmd_first,6,48,50.0,0.9866448935611466,0.9866756323416612,-2.410493982354008e-06,-2.034046807070089e-06,1.124523213042831e-07,0.7729166666666667,0.7729166666666667,7.179443216968432e-07,7,0.14583333333333334,1,0.020833333333333332,6,0.125,1,0.020833333333333332,8,0.16666666666666666,5,0.10416666666666667,5,0.10416666666666667,45,0.9375,4,0,3,0
new_seeds,ridge,brier_score,50,mmd,6,48,50.0,0.9866483736629242,0.9866780428356435,0.0,3.7644717528391897e-07,2.522946303658291e-06,0.7687499999999999,0.7687499999999999,1.3283420986845429e-06,0,0.0,0,0.0,2,0.041666666666666664,2,0.041666666666666664,0,0.0,0,0.0,0,0.0,43,0.8958333333333334,0,0,0,2
new_seeds,ridge,brier_score,50,mmd_2s_then_a,6,48,50.0,0.9866583672564548,0.9866912507850071,1.320794936359356e-05,1.3584396538877478e-05,1.573089566725185e-05,0.65625,0.65625,1.7178169971390767e-05,9,0.1875,9,0.1875,8,0.16666666666666666,9,0.1875,18,0.375,6,0.125,5,0.10416666666666667,36,0.75,1,3,0,3
new_seeds,ridge,brier_score,50,mmd_matched_union_size,6,48,69.0625,0.9866471724144287,0.9866776663884683,-3.7644717528391897e-07,0.0,2.146499128374372e-06,0.8458333333333333,0.8458333333333333,9.105057479456372e-07,2,0.041666666666666664,2,0.041666666666666664,0,0.0,0,0.0,4,0.08333333333333333,4,0.08333333333333333,4,0.08333333333333333,44,0.9166666666666666,2,0,0,0
new_seeds,ridge,brier_score,50,union,6,48,69.0625,0.9866444459167275,0.9866758529286744,-2.1899069691822906e-06,-1.8134597938983716e-06,3.3303933447600037e-07,0.8812500000000001,0.8812500000000001,4.1956057336469305e-07,5,0.10416666666666667,0,0.0,4,0.08333333333333333,0,0.0,5,0.10416666666666667,5,0.10416666666666667,5,0.10416666666666667,46,0.9583333333333334,3,0,2,0
new_seeds,ridge,brier_score,100,a_opt,6,48,100.0,0.9866530603613519,0.9866852206746524,9.700785312453017e-06,9.700785312453017e-06,9.700785312453017e-06,0.8250000000000001,0.8250000000000001,9.365348725036879e-06,2,0.041666666666666664,6,0.125,2,0.041666666666666664,6,0.125,8,0.16666666666666666,0,0.0,0,0.0,43,0.8958333333333334,1,2,1,2
new_seeds,ridge,brier_score,100,interleave_a_first,6,48,100.0,0.9866441577247764,0.98667551988934,0.0,0.0,0.0,0.9416666666666668,0.9416666666666668,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48,1.0,0,0,0,0
new_seeds,ridge,brier_score,100,interleave_mmd_first,6,48,100.0,0.9866441577247764,0.98667551988934,0.0,0.0,0.0,0.9416666666666668,0.9416666666666668,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48,1.0,0,0,0,0
new_seeds,ridge,brier_score,100,mmd,6,48,100.0,0.9866441577247764,0.98667551988934,0.0,0.0,0.0,0.9270833333333334,0.9270833333333334,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48,1.0,0,0,0,0
new_seeds,ridge,brier_score,100,mmd_2s_then_a,6,48,100.0,0.9866530603613519,0.9866852206746524,9.700785312453017e-06,9.700785312453017e-06,9.700785312453017e-06,0.8354166666666667,0.8354166666666667,9.365348725036879e-06,2,0.041666666666666664,6,0.125,2,0.041666666666666664,6,0.125,8,0.16666666666666666,0,0.0,0,0.0,43,0.8958333333333334,1,2,1,2
