scope,readout,metric,shortlist_size,domain_count,repeated_task_count,overlap_count_mean,union_size_mean,jaccard_mean,mmd_missed_top_q_mean,a_missed_top_q_mean,a_rescued_top_q_mean,mmd_rescued_top_q_mean,a_rescued_fractional_top_q_mean,mmd_rescued_fractional_top_q_mean,omission_reduction_from_union_mean,a_only_better_than_mmd_choice_mean,top_q_boundary_ties_mean,has_a_rescue_tasks,has_a_rescue_rate,has_mmd_rescue_tasks,has_mmd_rescue_rate,a_rescues_any_oracle_tasks,a_rescues_any_oracle_rate,mmd_rescues_any_oracle_tasks,mmd_rescues_any_oracle_rate,union_selects_a_only_tasks,union_selects_a_only_rate,union_better_than_mmd_tasks,union_better_than_mmd_rate,union_worse_than_mmd_tasks,union_worse_than_mmd_rate,union_better_than_matched_mmd_tasks,union_better_than_matched_mmd_rate,union_worse_than_matched_mmd_tasks,union_worse_than_matched_mmd_rate,a_rescue_reaches_final_improvement_tasks,a_rescue_reaches_final_improvement_rate
base_seed_control,ridge,error_rate,50,6,12,29.916666666666668,70.08333333333333,0.4539002158186203,4.833333333333333,5.166666666666667,1.0,1.3333333333333333,1.0,1.3611111111111114,0.0006510416666666666,1.4166666666666667,1.8333333333333333,7,0.5833333333333334,8,0.6666666666666666,2,0.16666666666666666,2,0.16666666666666666,5,0.4166666666666667,3,0.25,2,0.16666666666666666,2,0.16666666666666666,3,0.25,2,0.16666666666666666
base_seed_control,ridge,error_rate,100,6,12,74.66666666666667,125.33333333333333,0.6062072524573452,2.25,2.75,0.5,1.0,0.5,0.9444444444444443,0.0003662109375,0.25,1.8333333333333333,3,0.25,5,0.4166666666666667,1,0.08333333333333333,3,0.25,1,0.08333333333333333,0,0.0,1,0.08333333333333333,0,0.0,0,0.0,0,0.0
base_seed_control,ridge,error_rate,227,6,12,204.41666666666666,249.58333333333334,0.8312517530670545,0.6666666666666666,0.6666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.16666666666666666,1.8333333333333333,1,0.08333333333333333,1,0.08333333333333333,0,0.0,0,0.0,1,0.08333333333333333,0,0.0,1,0.08333333333333333,0,0.0,1,0.08333333333333333,0,0.0
base_seed_control,ridge,nll,10,6,12,3.3333333333333335,16.666666666666668,0.26436672489304064,7.416666666666667,7.75,0.9166666666666666,1.25,0.9166666666666666,1.25,0.0007447135948861483,0.3333333333333333,1.0,6,0.5,8,0.6666666666666666,1,0.08333333333333333,5,0.4166666666666667,3,0.25,2,0.16666666666666666,1,0.08333333333333333,2,0.16666666666666666,3,0.25,2,0.16666666666666666
base_seed_control,ridge,nll,25,6,12,11.5,38.5,0.33567343256227544,5.333333333333333,5.833333333333333,1.6666666666666667,2.1666666666666665,1.6666666666666667,2.1666666666666665,0.0006461754433741232,0.4166666666666667,1.0,9,0.75,9,0.75,2,0.16666666666666666,4,0.3333333333333333,2,0.16666666666666666,2,0.16666666666666666,0,0.0,3,0.25,0,0.0,2,0.16666666666666666
base_seed_control,ridge,nll,50,6,12,29.916666666666668,70.08333333333333,0.4539002158186203,3.0833333333333335,3.5833333333333335,1.4166666666666667,1.9166666666666667,1.4166666666666667,1.9166666666666667,9.422831923081947e-05,0.25,1.0,6,0.5,7,0.5833333333333334,2,0.16666666666666666,2,0.16666666666666666,2,0.16666666666666666,2,0.16666666666666666,0,0.0,2,0.16666666666666666,0,0.0,2,0.16666666666666666
base_seed_control,ridge,nll,100,6,12,74.66666666666667,125.33333333333333,0.6062072524573452,1.5833333333333333,2.25,0.8333333333333334,1.5,0.8333333333333334,1.5,8.875322385174892e-06,0.16666666666666666,1.0,3,0.25,6,0.5,1,0.08333333333333333,2,0.16666666666666666,1,0.08333333333333333,1,0.08333333333333333,0,0.0,0,0.0,0,0.0,1,0.08333333333333333
base_seed_control,ridge,nll,227,6,12,204.41666666666666,249.58333333333334,0.8312517530670545,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,1.0,1,0.08333333333333333,1,0.08333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
new_seeds,logistic,brier_score,10,6,48,3.7708333333333335,16.229166666666668,0.28456352227637055,6.9375,7.541666666666667,0.8541666666666666,1.4583333333333333,0.8541666666666666,1.4583333333333333,0.000961113928773317,0.3541666666666667,1.0,20,0.4166666666666667,34,0.7083333333333334,4,0.08333333333333333,9,0.1875,9,0.1875,6,0.125,3,0.0625,6,0.125,10,0.20833333333333334,6,0.125
new_seeds,logistic,brier_score,25,6,48,12.0625,37.9375,0.35159925165493994,4.854166666666667,5.375,1.5208333333333333,2.0416666666666665,1.5208333333333333,2.0416666666666665,0.000946779005346172,0.5,1.0,34,0.7083333333333334,33,0.6875,10,0.20833333333333334,13,0.2708333333333333,11,0.22916666666666666,9,0.1875,2,0.041666666666666664,5,0.10416666666666667,5,0.10416666666666667,9,0.1875
new_seeds,logistic,brier_score,50,6,48,30.9375,69.0625,0.4725101619614789,2.4166666666666665,3.4375,1.0833333333333333,2.1041666666666665,1.0833333333333333,2.1041666666666665,0.00031138413649003704,0.2708333333333333,1.0,26,0.5416666666666666,30,0.625,4,0.08333333333333333,9,0.1875,5,0.10416666666666667,4,0.08333333333333333,1,0.020833333333333332,4,0.08333333333333333,1,0.020833333333333332,4,0.08333333333333333
new_seeds,logistic,brier_score,100,6,48,76.95833333333333,123.04166666666667,0.6356781959858625,0.9791666666666666,1.2916666666666667,0.5833333333333334,0.8958333333333334,0.5833333333333334,0.8958333333333334,4.4046238189020724e-05,0.041666666666666664,1.0,15,0.3125,18,0.375,2,0.041666666666666664,4,0.08333333333333333,1,0.020833333333333332,0,0.0,1,0.020833333333333332,0,0.0,1,0.020833333333333332,0,0.0
new_seeds,logistic,brier_score,227,6,48,205.47916666666666,248.52083333333334,0.8325437451769894,0.10416666666666667,0.16666666666666666,0.08333333333333333,0.14583333333333334,0.08333333333333333,0.14583333333333334,0.0,0.020833333333333332,1.0,3,0.0625,4,0.08333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
new_seeds,logistic,error_rate,10,6,48,3.7708333333333335,16.229166666666668,0.28456352227637055,8.1875,8.020833333333334,1.1041666666666667,0.9375,1.1055555555555554,0.9375,0.00762939453125,1.0208333333333333,1.5208333333333333,30,0.625,23,0.4791666666666667,11,0.22916666666666666,2,0.041666666666666664,22,0.4583333333333333,17,0.3541666666666667,5,0.10416666666666667,12,0.25,13,0.2708333333333333,16,0.3333333333333333
new_seeds,logistic,error_rate,25,6,48,12.0625,37.9375,0.35159925165493994,6.1875,5.854166666666667,1.7083333333333333,1.375,1.7597222222222222,1.3729166666666668,0.004241943359375,0.9791666666666666,1.5208333333333333,42,0.875,30,0.625,14,0.2916666666666667,5,0.10416666666666667,19,0.3958333333333333,13,0.2708333333333333,5,0.10416666666666667,9,0.1875,6,0.125,12,0.25
new_seeds,logistic,error_rate,50,6,48,30.9375,69.0625,0.4725101619614789,3.8541666666666665,3.7708333333333335,1.4375,1.3541666666666667,1.4375,1.3541666666666667,0.0026448567708333335,1.0416666666666667,1.5208333333333333,35,0.7291666666666666,32,0.6666666666666666,12,0.25,3,0.0625,15,0.3125,10,0.20833333333333334,5,0.10416666666666667,2,0.041666666666666664,4,0.08333333333333333,9,0.1875
