scope,readout,metric,shortlist_size,target_domain,repeated_task_count,overlap_count_mean,union_size_mean,jaccard_mean,mmd_missed_top_q_mean,a_missed_top_q_mean,a_rescued_top_q_mean,mmd_rescued_top_q_mean,a_rescued_fractional_top_q_mean,mmd_rescued_fractional_top_q_mean,omission_reduction_from_union_mean,a_only_better_than_mmd_choice_mean,top_q_boundary_ties_mean,has_a_rescue_tasks,has_a_rescue_rate,has_mmd_rescue_tasks,has_mmd_rescue_rate,a_rescues_any_oracle_tasks,a_rescues_any_oracle_rate,mmd_rescues_any_oracle_tasks,mmd_rescues_any_oracle_rate,union_selects_a_only_tasks,union_selects_a_only_rate,union_better_than_mmd_tasks,union_better_than_mmd_rate,union_worse_than_mmd_tasks,union_worse_than_mmd_rate,union_better_than_matched_mmd_tasks,union_better_than_matched_mmd_rate,union_worse_than_matched_mmd_tasks,union_worse_than_matched_mmd_rate,a_rescue_reaches_final_improvement_tasks,a_rescue_reaches_final_improvement_rate
base_seed_control,logistic,brier_score,100,painting,2,86.5,113.5,0.7624223602484472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,brier_score,100,quickdraw,2,68.5,131.5,0.5306716331044117,2.0,5.0,0.5,3.5,0.5,3.5,0.0,0.0,1.0,1,0.5,2,1.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,brier_score,100,real,2,86.0,114.0,0.7549261083743842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,brier_score,100,sketch,2,66.0,134.0,0.4978761457634697,2.5,0.0,2.5,0.0,2.5,0.0,0.0,0.0,1.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,brier_score,227,clipart,2,213.0,241.0,0.884109381457501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,brier_score,227,infograph,2,219.5,234.5,0.9360429168939808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,brier_score,227,painting,2,210.0,244.0,0.8609370537739177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,brier_score,227,quickdraw,2,195.5,258.5,0.7563454055671954,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,brier_score,227,real,2,218.0,236.0,0.9245926963769286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,brier_score,227,sketch,2,170.5,283.5,0.6254830643328029,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,error_rate,10,clipart,2,1.0,19.0,0.05555555555555555,10.0,7.5,2.5,0.0,2.5,0.0,0.01904296875,2.5,1.5,1,0.5,0,0.0,1,0.5,0,0.0,1,0.5,1,0.5,0,0.0,1,0.5,1,0.5,1,0.5
base_seed_control,logistic,error_rate,10,infograph,2,0.0,20.0,0.0,9.5,9.5,0.5,0.5,0.5,0.5,0.005126953125,3.0,1.0,1,0.5,1,0.5,0,0.0,0,0.0,2,1.0,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5
base_seed_control,logistic,error_rate,10,painting,2,7.0,13.0,0.5476190476190476,7.5,6.0,1.5,0.0,1.5,0.0,0.0185546875,1.0,1.0,2,1.0,0,0.0,1,0.5,0,0.0,1,0.5,1,0.5,0,0.0,1,0.5,1,0.5,1,0.5
base_seed_control,logistic,error_rate,10,quickdraw,2,3.5,16.5,0.24060150375939848,9.5,10.0,0.0,0.5,0.0,0.8333333333333333,0.0,0.0,2.5,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,error_rate,10,real,2,8.5,11.5,0.7424242424242424,8.5,8.0,0.5,0.0,0.5,0.0,0.009521484375,0.5,1.5,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,1,0.5,0,0.0,1,0.5
base_seed_control,logistic,error_rate,10,sketch,2,0.0,20.0,0.0,7.0,8.0,2.0,3.0,2.0,3.0,0.010009765625,1.0,1.0,2,1.0,2,1.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,error_rate,25,clipart,2,8.0,42.0,0.19115144639818493,8.5,5.5,4.0,1.0,4.0,1.0,0.02294921875,2.5,1.5,2,1.0,1,0.5,2,1.0,0,0.0,2,1.0,2,1.0,0,0.0,2,1.0,0,0.0,2,1.0
base_seed_control,logistic,error_rate,25,infograph,2,6.0,44.0,0.13871635610766045,9.0,9.0,1.0,1.0,1.0,1.0,0.0087890625,1.0,1.0,2,1.0,1,0.5,1,0.5,0,0.0,2,1.0,2,1.0,0,0.0,2,1.0,0,0.0,2,1.0
base_seed_control,logistic,error_rate,25,painting,2,18.0,32.0,0.5763546798029556,4.5,4.0,1.0,0.5,1.0,0.5,0.0,0.5,1.0,1,0.5,1,0.5,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5
base_seed_control,logistic,error_rate,25,quickdraw,2,8.0,42.0,0.19047619047619047,7.5,10.0,0.0,2.5,0.0,2.25,0.0,0.0,2.5,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,error_rate,25,real,2,21.0,29.0,0.7261904761904762,7.0,6.0,1.0,0.0,1.0,0.0,0.005126953125,1.0,1.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,error_rate,25,sketch,2,8.0,42.0,0.19115144639818493,4.0,4.5,2.5,3.0,2.5,3.0,0.00048828125,1.0,1.0,2,1.0,2,1.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
base_seed_control,logistic,error_rate,50,clipart,2,27.5,72.5,0.3793759512937595,5.0,4.0,2.5,1.5,2.5,1.5,0.01025390625,1.0,1.5,2,1.0,2,1.0,2,1.0,0,0.0,2,1.0,2,1.0,0,0.0,0,0.0,0,0.0,2,1.0
base_seed_control,logistic,error_rate,50,infograph,2,21.0,79.0,0.26663459996793326,6.5,7.0,3.0,3.5,3.0,3.5,0.005859375,6.0,1.0,2,1.0,2,1.0,1,0.5,0,0.0,2,1.0,2,1.0,0,0.0,0,0.0,1,0.5,2,1.0
base_seed_control,logistic,error_rate,50,painting,2,40.5,59.5,0.6817410966647823,2.5,2.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,error_rate,50,quickdraw,2,21.0,79.0,0.2709137709137709,7.0,8.5,1.0,2.5,0.8333333333333333,2.5,0.0,0.5,2.5,2,1.0,2,1.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0
base_seed_control,logistic,error_rate,50,real,2,43.5,56.5,0.7711598746081505,3.5,2.5,1.0,0.0,1.0,0.0,0.007080078125,1.0,1.5,1,0.5,0,0.0,1,0.5,0,0.0,1,0.5,1,0.5,0,0.0,1,0.5,0,0.0,1,0.5
base_seed_control,logistic,error_rate,50,sketch,2,26.0,74.0,0.3535760014633254,3.0,1.5,2.5,1.0,2.5,1.0,0.00048828125,1.5,1.0,2,1.0,2,1.0,1,0.5,0,0.0,1,0.5,1,0.5,0,0.0,1,0.5,0,0.0,1,0.5
base_seed_control,logistic,error_rate,100,clipart,2,73.0,127.0,0.5748031496062992,0.5,2.0,0.0,1.5,0.0,1.5,0.0,0.0,1.5,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,error_rate,100,infograph,2,68.0,132.0,0.5165441176470589,4.0,2.5,2.5,1.0,2.5,1.0,0.000244140625,2.0,1.0,1,0.5,2,1.0,1,0.5,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5
base_seed_control,logistic,error_rate,100,painting,2,86.5,113.5,0.7624223602484472,1.0,1.5,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,error_rate,100,quickdraw,2,68.5,131.5,0.5306716331044117,5.0,6.0,0.0,1.0,0.0,1.25,0.0,10.0,2.5,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,error_rate,100,real,2,86.0,114.0,0.7549261083743842,1.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,1.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,error_rate,100,sketch,2,66.0,134.0,0.4978761457634697,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,error_rate,227,clipart,2,213.0,241.0,0.884109381457501,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,error_rate,227,infograph,2,219.5,234.5,0.9360429168939808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,error_rate,227,painting,2,210.0,244.0,0.8609370537739177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,error_rate,227,quickdraw,2,195.5,258.5,0.7563454055671954,4.0,3.0,1.0,0.0,1.0,0.0,0.0,7.0,2.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,error_rate,227,real,2,218.0,236.0,0.9245926963769286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,error_rate,227,sketch,2,170.5,283.5,0.6254830643328029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,nll,10,clipart,2,1.0,19.0,0.05555555555555555,9.0,8.5,1.5,1.0,1.5,1.0,0.02291373234025862,1.0,1.0,1,0.5,2,1.0,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,2,1.0,1,0.5
base_seed_control,logistic,nll,10,infograph,2,0.0,20.0,0.0,9.0,9.0,1.0,1.0,1.0,1.0,0.021274409909701752,1.0,1.0,1,0.5,1,0.5,0,0.0,0,0.0,2,1.0,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5
base_seed_control,logistic,nll,10,painting,2,7.0,13.0,0.5476190476190476,7.0,6.5,1.0,0.5,1.0,0.5,0.01882766843376693,1.0,1.0,2,1.0,1,0.5,1,0.5,0,0.0,2,1.0,2,1.0,0,0.0,1,0.5,0,0.0,2,1.0
base_seed_control,logistic,nll,10,quickdraw,2,3.5,16.5,0.24060150375939848,9.0,9.5,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,nll,10,real,2,8.5,11.5,0.7424242424242424,5.0,4.0,1.0,0.0,1.0,0.0,0.0016492729819050922,0.5,1.0,2,1.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,nll,10,sketch,2,0.0,20.0,0.0,7.5,8.0,2.0,2.5,2.0,2.5,0.0,0.0,1.0,2,1.0,2,1.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,nll,25,clipart,2,8.0,42.0,0.19115144639818493,8.0,5.5,3.5,1.0,3.5,1.0,0.018017956430115722,0.5,1.0,2,1.0,2,1.0,1,0.5,1,0.5,2,1.0,1,0.5,1,0.5,1,0.5,0,0.0,1,0.5
base_seed_control,logistic,nll,25,infograph,2,6.0,44.0,0.13871635610766045,7.5,9.0,1.0,2.5,1.0,2.5,0.0,0.0,1.0,1,0.5,2,1.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0
base_seed_control,logistic,nll,25,painting,2,18.0,32.0,0.5763546798029556,4.5,3.5,1.5,0.5,1.5,0.5,0.0,0.5,1.0,2,1.0,1,0.5,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5
base_seed_control,logistic,nll,25,quickdraw,2,8.0,42.0,0.19047619047619047,6.5,9.5,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0,0.0,2,1.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
