excluded_encoder,method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passing_encoders,passes_overall
dinov2_b14,dpp_subspace,3,21,3,21,0.7142857142857143,0.47619047619047616,0.0014453579608570753,0.04677449498511677,-0.0016795992851257244,0.8235294117647058,0.8095238095238095,0.6428571428571429,3.0,0.7857142857142857,0,False
dinov2_b14,facility_subspace,3,21,3,21,0.19047619047619047,0.36507936507936506,0.003520561700655096,0.11581842738966416,0.0033311753045944963,0.8235294117647058,0.19047619047619047,0.42857142857142855,3.0,0.7857142857142857,0,False
dinov2_b14,full_merged_rank,3,21,3,21,0.7142857142857143,0.47619047619047616,0.0014453579608570753,0.04677449498511677,-0.0016795992851257244,0.8235294117647058,0.8095238095238095,0.6428571428571429,3.0,0.7857142857142857,0,False
dinov2_b14,kcenter_subspace,3,21,3,21,0.42857142857142855,0.31746031746031744,0.0024769022039945678,0.08424290647207441,0.003221020812080023,0.8235294117647058,0.42857142857142855,0.3253968253968254,3.0,0.7857142857142857,0,False
dinov2_b14,pool_vendi_subspace,3,21,3,21,0.42857142857142855,0.31746031746031744,0.0024769022039945678,0.08424290647207441,0.003221020812080023,0.8235294117647058,0.42857142857142855,0.3253968253968254,3.0,0.7857142857142857,0,False
dinov2_b14,rank_only,3,21,3,21,0.7142857142857143,0.5555555555555556,0.0020244790425941314,0.06519307621092643,-0.00024341231300717414,0.8235294117647058,0.7142857142857143,0.5634920634920635,2.3333333333333335,0.8333333333333334,0,False
dinov2_b14,dpp_subspace,5,21,3,21,0.7619047619047619,0.5396825396825397,0.0010247385915023747,0.03151245788959335,-0.0007867421422685848,0.7058823529411764,0.9047619047619048,0.8412698412698413,5.0,0.6428571428571428,0,False
dinov2_b14,facility_subspace,5,21,3,21,0.38095238095238093,0.47619047619047616,0.0023660761540218907,0.07142603688151772,0.0018596473194303989,0.7058823529411764,0.38095238095238093,0.5396825396825397,5.0,0.6428571428571428,0,False
dinov2_b14,full_merged_rank,5,21,3,21,0.8571428571428571,0.7777777777777777,0.0011048340302046975,0.03853495425266144,-0.0005987655548822312,0.7058823529411764,0.8571428571428571,0.7777777777777777,4.0,0.7142857142857143,1,False
dinov2_b14,kcenter_subspace,5,21,3,21,0.5238095238095238,0.38095238095238093,0.0021063687757558575,0.07304611750490292,0.002531856582278304,0.7058823529411764,0.5238095238095238,0.38888888888888884,5.0,0.6428571428571428,0,False
dinov2_b14,pool_vendi_subspace,5,21,3,21,0.5238095238095238,0.38095238095238093,0.0021063687757558575,0.07304611750490292,0.002531856582278304,0.7058823529411764,0.5238095238095238,0.38888888888888884,5.0,0.6428571428571428,0,False
