encoder,primary_method,overlap,budget,seeds,primary_minus_rank_mean,primary_minus_rank_std,primary_win_count,primary_tie_count,primary_loss_count,primary_win_rate,dpp_minus_rank_mean,dpp_minus_rank_std,dpp_win_count,dpp_tie_count,dpp_loss_count,dpp_win_rate
vit_b16,rank_l_gram,0.25,3,3,26.20122376566536,27.33198931290484,2,0,1,0.6666666666666666,29.25440710209544,24.843987818013726,3,0,0,1.0
vit_b16,rank_l_gram,0.25,5,3,5.295148550491945,2.088034428293225,3,0,0,1.0,17.52266477919424,2.4259140930115497,3,0,0,1.0
vit_b16,rank_l_gram,0.25,8,3,0.7825516475460669,1.5351439905614948,2,0,1,0.6666666666666666,2.1325288791224843,0.9352001007866457,3,0,0,1.0
vit_b16,rank_l_gram,0.25,10,3,-4.872443773771958,0.6026083567570519,0,0,3,0.0,3.206879261282552,0.5011966685728054,3,0,0,1.0
vit_b16,rank_l_gram,0.5,3,3,29.042488736224982,30.774098845554263,2,0,1,0.6666666666666666,30.612368897218612,28.15602257819608,3,0,0,1.0
vit_b16,rank_l_gram,0.5,5,3,-0.0030025182987477215,11.25961596110472,1,0,2,0.3333333333333333,10.917545635741362,11.523148741278478,3,0,0,1.0
vit_b16,rank_l_gram,0.5,8,3,0.9943835311867891,7.906563391619452,2,0,1,0.6666666666666666,5.917392184896016,2.2099793929594664,3,0,0,1.0
vit_b16,rank_l_gram,0.5,10,3,-2.2393881107607285,0.6403208659198039,0,0,3,0.0,6.525100725771381,1.2165015542416273,3,0,0,1.0
vit_b16,rank_l_gram,0.75,3,3,66.48901711007125,60.52117750223121,2,0,1,0.6666666666666666,69.53840905083621,58.41077317401905,3,0,0,1.0
vit_b16,rank_l_gram,0.75,5,3,10.36502220605602,15.865420303516489,2,0,1,0.6666666666666666,21.966617828581587,15.85796371439759,3,0,0,1.0
vit_b16,rank_l_gram,0.75,8,3,2.140835188092789,6.9370540524637825,2,0,1,0.6666666666666666,6.172668532294097,0.6720046988820622,3,0,0,1.0
vit_b16,rank_l_gram,0.75,10,3,1.060119826044873,0.5371451126745307,3,0,0,1.0,9.413436229952026,1.282110585259596,3,0,0,1.0
vit_b16,rank_l_gram,1.0,3,3,88.46262102385577,79.02323220349189,2,0,1,0.6666666666666666,91.51580436028541,77.03150469000576,3,0,0,1.0
vit_b16,rank_l_gram,1.0,5,3,24.218139787521068,2.2426392011711664,3,0,0,1.0,36.560601895157525,2.8021145367150724,3,0,0,1.0
vit_b16,rank_l_gram,1.0,8,3,8.096804889155843,11.126589673172527,2,0,1,0.6666666666666666,12.25618364002643,6.173294755467773,3,0,0,1.0
vit_b16,rank_l_gram,1.0,10,3,4.0285078818449165,0.5183443031395559,3,0,0,1.0,12.332805213798906,1.1119529291070447,3,0,0,1.0
