encoder,target_domain,readout,method,shortlist_size,repeat_count,score_seconds,resident_seconds,median_resident_seconds,test_brier_score,test_nll,test_error_rate,feature_seconds,source_blocks_charged,raw_additive_seconds,resident_vs_full_seconds,raw_vs_full_seconds,paired_test_brier_score,paired_test_nll,paired_test_error_rate
dinov2_b14,infograph,logistic,target_a,100,3,0.34798730413119,7.76719456911087,7.847650460898876,0.8692983082519822,3.4475180478880403,0.6552734375,48.34557081013918,15.0,56.11276537925005,-31.31673114001751,-24.325474113225937,0.0029595604190173486,0.0,0.0
dinov2_b14,infograph,logistic,target_a,227,3,0.34798730413119,18.150413274765015,18.529567189514637,0.8663387478329648,3.4475180478880403,0.6552734375,48.34557081013918,15.0,66.4959840849042,-20.933512434363365,-13.942255407571793,0.0,0.0,0.0
dinov2_b14,infograph,ridge,exhaustive,455,3,0.00034609188636144,1.4855149686336517,1.4792217686772346,0.9866412906321319,4.4638151317910175,0.634765625,41.35431378334761,15.0,42.83982875198126,0.0,0.0,0.0,0.0,0.0
dinov2_b14,infograph,ridge,random,10,3,0.0004761616388956706,0.044587619602680206,0.04418216645717621,0.9869892748833499,4.4763224049298325,0.6502278645833334,38.54959413409233,13.666666666666666,38.59418175369501,-1.4409273490309715,-4.245646998286247,0.00034798425121795873,0.012507273138814945,0.01546223958333337
dinov2_b14,infograph,ridge,random,25,3,0.0004761616388956706,0.09375536938508351,0.0939691886305809,0.9867473051854733,4.467832932398303,0.6442057291666666,41.35431378334761,15.0,41.44806915273269,-1.3917595992485683,-1.3917595992485658,0.00010601455334136034,0.0040178006072855155,0.00944010416666663
dinov2_b14,infograph,ridge,random,50,3,0.0004761616388956706,0.17351763943831125,0.172010600566864,0.9867473051854733,4.467832932398303,0.64453125,41.35431378334761,15.0,41.527831422785916,-1.3119973291953404,-1.3119973291953428,0.00010601455334136034,0.0040178006072855155,0.009765625
dinov2_b14,infograph,ridge,random,100,3,0.0004761616388956706,0.32966644565264386,0.3276703283190727,0.9867473051854733,4.467832932398303,0.64453125,41.35431378334761,15.0,41.68398022900025,-1.1558485229810078,-1.1558485229810103,0.00010601455334136034,0.0040178006072855155,0.009765625
dinov2_b14,infograph,ridge,random,227,3,0.0004761616388956706,0.7379448637366295,0.7282600104808807,0.9866412906321319,4.4638151317910175,0.64111328125,41.35431378334761,15.0,42.092258647084236,-0.7475701048970222,-0.7475701048970222,0.0,0.0,0.00634765625
dinov2_b14,infograph,ridge,second_moment_mmd,10,3,0.03481799612442652,0.07511631399393082,0.07272692769765854,0.9866412906321319,4.4638151317910175,0.6435546875,48.34557081013918,15.0,48.42068712413311,-1.410398654639721,5.580858372151852,0.0,0.0,0.0087890625
dinov2_b14,infograph,ridge,second_moment_mmd,25,3,0.03481799612442652,0.124700961013635,0.12787071615457535,0.9866412906321319,4.4638151317910175,0.6435546875,48.34557081013918,15.0,48.47027177115282,-1.3608140076200168,5.630443019171558,0.0,0.0,0.0087890625
dinov2_b14,infograph,ridge,second_moment_mmd,50,3,0.03481799612442652,0.20849113911390305,0.21046309918165207,0.9866412906321319,4.4638151317910175,0.64453125,48.34557081013918,15.0,48.55406194925308,-1.2770238295197487,5.714233197271824,0.0,0.0,0.009765625
dinov2_b14,infograph,ridge,second_moment_mmd,100,3,0.03481799612442652,0.37279226382573444,0.3651426210999489,0.9866412906321319,4.4638151317910175,0.634765625,48.34557081013918,15.0,48.718363073964916,-1.1127227048079174,5.878534321983658,0.0,0.0,0.0
dinov2_b14,infograph,ridge,second_moment_mmd,227,3,0.03481799612442652,0.7759669274091721,0.7653653174638748,0.9866412906321319,4.4638151317910175,0.634765625,48.34557081013918,15.0,49.12153773754835,-0.7095480412244797,6.281708985567093,0.0,0.0,0.0
dinov2_b14,infograph,ridge,target_a,10,3,0.3571598182121913,0.3932920570174853,0.3885759338736534,0.9870548512056541,4.478491466254045,0.64453125,48.34557081013918,15.0,48.73886286715666,-1.0922229116161664,5.899034115175404,0.0004135605735221537,0.01467633446302763,0.009765625
dinov2_b14,infograph,ridge,target_a,25,3,0.3571598182121913,0.4432712470491727,0.4402785375714302,0.9869681597394558,4.476235538752501,0.64453125,48.34557081013918,15.0,48.788842057188354,-1.042243721584479,5.949013305207096,0.0003268691073239349,0.012420406961483721,0.009765625
dinov2_b14,infograph,ridge,target_a,50,3,0.3571598182121913,0.5225560143589973,0.5224130973219872,0.986821894951594,4.470654028595251,0.634765625,48.34557081013918,15.0,48.86812682449818,-0.9629589542746544,6.028298072516918,0.00018060431946209654,0.006838896804233663,0.0
dinov2_b14,infograph,ridge,target_a,100,3,0.3571598182121913,0.6846483250459036,0.6862732395529747,0.9867701538014068,4.468672969325262,0.634765625,48.34557081013918,15.0,49.030219135185085,-0.8008666435877482,6.190390383203827,0.00012886316927485097,0.004857837534244069,0.0
dinov2_b14,infograph,ridge,target_a,227,3,0.3571598182121913,1.0896243676543236,1.0763067975640297,0.9866412906321319,4.4638151317910175,0.634765625,48.34557081013918,15.0,49.4351951777935,-0.39589060097932816,6.595366425812244,0.0,0.0,0.0
dinov2_b14,painting,logistic,exhaustive,455,3,0.00029808034499486286,41.503066090246044,41.463117480278015,0.7542496397087858,2.7228719120084186,0.408203125,43.30909287184477,15.0,84.81215896209082,0.0,0.0,0.0,0.0,0.0
dinov2_b14,painting,logistic,random,10,3,0.00044416139523188275,0.9101023028294245,0.9198617711663246,0.7898274714864625,2.9450508961713253,0.4632161458333333,39.01541395237048,13.0,39.9255162551999,-40.59296378741662,-44.88664270689092,0.035577831777676705,0.2221789841629067,0.055013020833333315
dinov2_b14,painting,logistic,random,25,3,0.00044416139523188275,2.2759698455532393,2.305108994245529,0.7675683730997584,2.748082072907858,0.4361979166666667,42.63089291006327,14.666666666666666,44.90686275561651,-39.2270962446928,-39.90529620647431,0.01331873339097267,0.025210160899439504,0.027994791666666685
dinov2_b14,painting,logistic,random,50,3,0.00044416139523188275,4.485018553833167,4.450136974453926,0.7591615883681454,2.738308763853008,0.4236653645833333,43.30909287184477,15.0,47.79411142567793,-37.01804753641288,-37.01804753641289,0.004911948659359622,0.015436851844589317,0.015462239583333315
dinov2_b14,painting,logistic,random,100,3,0.00044416139523188275,8.947868324816227,8.805874034762383,0.7547883082873085,2.738308763853008,0.4236653645833333,43.30909287184477,15.0,52.256961196660995,-32.55519776542982,-32.555197765429824,0.0005386685785226941,0.015436851844589317,0.015462239583333315
dinov2_b14,painting,logistic,random,227,3,0.00044416139523188275,20.66593726227681,20.676639273762703,0.7541581988992645,2.7228719120084186,0.408203125,43.30909287184477,15.0,63.97503013412158,-20.837128827969234,-20.837128827969238,-9.144080952128153e-05,0.0,0.0
dinov2_b14,painting,logistic,second_moment_mmd,10,3,0.03631715973218282,0.8095910474658012,0.8036200031638145,0.7561399678729178,2.7573771118219064,0.43359375,48.59903837740421,15.0,49.408629424870014,-40.69347504278024,-35.403529537220805,0.001890328164132038,0.034505199813487764,0.025390625
dinov2_b14,painting,logistic,second_moment_mmd,25,3,0.03631715973218282,1.9044307172298431,1.905222661793232,0.7542496397087858,2.7228719120084186,0.408203125,48.59903837740421,15.0,50.503469094634056,-39.5986353730162,-34.30868986745676,0.0,0.0,0.0
dinov2_b14,painting,logistic,second_moment_mmd,50,3,0.03631715973218282,3.7476474220554032,3.7639732360839844,0.7542496397087858,2.7228719120084186,0.408203125,48.59903837740421,15.0,52.346685799459614,-37.75541866819064,-32.465473162631206,0.0,0.0,0.0
dinov2_b14,painting,logistic,second_moment_mmd,100,3,0.03631715973218282,7.647850123544534,7.651871383190155,0.7542496397087858,2.7228719120084186,0.408203125,48.59903837740421,15.0,56.24688850094875,-33.85521596670151,-28.56527046114207,0.0,0.0,0.0
dinov2_b14,painting,logistic,second_moment_mmd,227,3,0.03631715973218282,18.5861662949125,18.59900115430355,0.7542496397087858,2.7228719120084186,0.408203125,48.59903837740421,15.0,67.18520467231671,-22.916899795333546,-17.626954289774105,0.0,0.0,0.0
dinov2_b14,painting,logistic,target_a,10,3,0.3501156071821849,1.0607344632347424,1.057275041937828,0.7561399678729178,2.7573771118219064,0.42431640625,48.59903837740421,15.0,49.65977284063896,-40.4423316270113,-35.15238612145186,0.001890328164132038,0.034505199813487764,0.01611328125
dinov2_b14,painting,logistic,target_a,25,3,0.3501156071821849,2.195809786518415,2.193429931998253,0.7542496397087858,2.7228719120084186,0.408203125,48.59903837740421,15.0,50.79484816392263,-39.30725630372763,-34.01731079816819,0.0,0.0,0.0
dinov2_b14,painting,logistic,target_a,50,3,0.3501156071821849,4.0831300492088,4.060014598071575,0.7542496397087858,2.7228719120084186,0.408203125,48.59903837740421,15.0,52.68216842661301,-37.419936041037246,-32.12999053547781,0.0,0.0,0.0
dinov2_b14,painting,logistic,target_a,100,3,0.3501156071821849,8.088501053551832,8.105482906103134,0.7542496397087858,2.7228719120084186,0.408203125,48.59903837740421,15.0,56.68753943095604,-33.41456503669421,-28.124619531134776,0.0,0.0,0.0
dinov2_b14,painting,logistic,target_a,227,3,0.3501156071821849,19.04251042753458,19.219176337122917,0.7542496397087858,2.7228719120084186,0.408203125,48.59903837740421,15.0,67.6415488049388,-22.460555662711464,-17.170610157152026,0.0,0.0,0.0
dinov2_b14,painting,ridge,exhaustive,455,3,0.0002908483147621155,1.4691441829005878,1.4698328748345375,0.9844236918693886,4.377190273070074,0.419921875,43.30909287184477,15.0,44.778237054745354,0.0,0.0,0.0,0.0,0.0
dinov2_b14,painting,ridge,random,10,3,0.0005031997958819071,0.04060159623622894,0.03878474980592728,0.9850217270804115,4.399630314918862,0.4625651041666667,39.01541395237048,13.0,39.05601554860671,-1.4285425866643588,-5.722221506138645,0.0005980352110228626,0.022440041848788006,0.042643229166666685
dinov2_b14,painting,ridge,random,25,3,0.0005031997958819071,0.09219141552845637,0.09180537611246109,0.9846566631666072,4.386920690535578,0.4532877604166667,42.63089291006327,14.666666666666666,42.72308432559172,-1.3769527673721313,-2.055152729153633,0.0002329712972185538,0.009730417465504182,0.033365885416666685
dinov2_b14,painting,ridge,random,50,3,0.0005031997958819071,0.17505371322234473,0.17440789937973022,0.9845139048292539,4.3815074671796745,0.4420572916666667,43.30909287184477,15.0,43.484146585067116,-1.2940904696782431,-1.2940904696782383,9.021295986533229e-05,0.004317194109600742,0.022135416666666685
