readout,method,shortlist_size,task_count,score_seconds,resident_seconds,median_resident_seconds,feature_seconds,raw_additive_seconds,resident_vs_full_seconds,raw_vs_full_seconds,test_brier_score,test_nll,test_error_rate,paired_test_brier_score,paired_test_nll,paired_test_error_rate,cached_two_encoder_batch_seconds,batch_preparation_seconds
logistic,target_a,50,12,0.35445170332160264,4.489211835588018,4.463478372742732,39.055234207461275,43.5444460430493,-38.339088683534,-33.831847999451895,0.8631701013032828,3.4068180840090356,0.6293538411458334,0.00017808303190625097,0.010275142747273517,-4.0690104166666664e-05,56.771991699934006,2.9014496728777885
logistic,target_a,100,12,0.35445170332160264,8.827125123598508,8.803347195809087,39.055234207461275,47.88235933105978,-34.00117539552351,-29.4939347114414,0.8633630231084122,3.402173093125892,0.6279296875,0.00037100483703578213,0.0056301518641289254,-0.00146484375,108.8269511560599,2.9014496728777885
logistic,target_a,227,12,0.35445170332160264,20.436512068327932,20.461986916139722,39.055234207461275,59.49174627578921,-22.391788450794092,-17.88454776671198,0.8629920182713765,3.3965429412617625,0.62939453125,0.0,0.0,0.0,248.13959449281296,2.9014496728777885
ridge,exhaustive,455,12,0.00030237601863013376,1.4825541793058319,1.4853337425738573,34.54799352337917,36.030547702685,0.0,0.0,0.9866385394817128,4.462854275247988,0.6151529947916666,0.0,0.0,0.0,19.181240245699883,1.3905900940299034
ridge,random,10,12,0.0004681628197431564,0.04397447262373235,0.0435282705972592,30.94178018118772,30.98575465381146,-1.4385797066820993,-5.044793048873544,0.9869241472463823,4.473680128815857,0.647311740451389,0.0002856077646696357,0.01082585356786884,0.032158745659722224,1.9182837655146918,1.3905900940299034
ridge,random,25,12,0.0004681628197431564,0.09452850661343999,0.09360818192362785,34.40382085844046,34.498349365053905,-1.3880256726923916,-1.532198337631093,0.9868057364729971,4.469462585651611,0.6357286241319444,0.00016719699128430374,0.006608310403622235,0.020575629340277776,2.524932173391183,1.3905900940299034
ridge,random,50,12,0.0004681628197431564,0.17653215593761865,0.1734413243830204,34.54799352337917,34.724525679316784,-1.3060220233682127,-1.3060220233682134,0.9867572128092791,4.467699404930694,0.633517795138889,0.00011867332756631173,0.004845129682705229,0.018364800347222227,3.5089759652813277,1.3905900940299034
ridge,random,100,12,0.0004681628197431564,0.33875679845611256,0.3331873870144288,34.54799352337917,34.88675032183528,-1.143797380849719,-1.14379738084972,0.986710980371322,4.466032895978197,0.6260443793402778,7.244088960918955e-05,0.003178620730207804,0.010891384548611105,5.455671675503254,1.3905900940299034
ridge,random,227,12,0.0004681628197431564,0.7507297046896483,0.739860433464249,34.54799352337917,35.298723228068816,-0.7318244746161833,-0.7318244746161836,0.9866531460974454,4.463633846941318,0.6210259331597222,1.4606615732742911e-05,0.0007795716933289842,0.005872938368055557,10.399346550305685,1.3905900940299034
ridge,second_moment_mmd,10,12,0.03694335826569133,0.07552498682505554,0.0749259473135074,39.055234207461275,39.130759194286334,-1.4070291924807758,3.100211491601335,0.9866900737983144,4.464791362165947,0.6229248046875,5.153431660189408e-05,0.001937086917959574,0.007771809895833333,3.836105731626352,2.929805889725685
ridge,second_moment_mmd,25,12,0.03694335826569133,0.12664431913031474,0.12596599198877811,39.055234207461275,39.181878526591596,-1.355909860175517,3.151330823906593,0.9866516593566569,4.463432628756851,0.6188557942708334,1.311987494425256e-05,0.0005783535088628167,0.0037027994791666665,4.449537719289461,2.929805889725685
ridge,second_moment_mmd,50,12,0.03694335826569133,0.21049031532473036,0.20878803419570127,39.055234207461275,39.26572452278601,-1.2720638639811013,3.23517682010101,0.986642825552265,4.463119752902462,0.6195068359375,4.286070552361743e-06,0.00026547765447289723,0.004353841145833333,5.45568967362245,2.929805889725685
ridge,second_moment_mmd,100,12,0.03694335826569133,0.37544346911211807,0.37026931531727314,39.055234207461275,39.430677676573396,-1.1071107101937134,3.400129973888396,0.9866385394817128,4.462854275247988,0.6167805989583334,0.0,0.0,0.0016276041666666667,7.435127519071102,2.929805889725685
ridge,second_moment_mmd,227,12,0.03694335826569133,0.7906058182319006,0.7869646418839693,39.055234207461275,39.84584002569318,-0.6919483610739311,3.8152923230081797,0.9866385394817128,4.462854275247988,0.6151529947916666,0.0,0.0,0.0,12.417075708508492,2.929805889725685
ridge,target_a,10,12,0.36252077875865835,0.4030795006288422,0.4012436947474877,39.055234207461275,39.45831370809012,-1.0794746786769893,3.4277660054051204,0.9867182562388349,4.466185400246548,0.6202799479166666,7.971675712238151e-05,0.003331124998560364,0.005126953125,7.766759897271792,2.929805889725685
ridge,target_a,25,12,0.36252077875865835,0.4524679517166483,0.4506687956551711,39.055234207461275,39.50770215917793,-1.0300862275891833,3.477154456492928,0.9867020973984347,4.4654111324453964,0.6187337239583334,6.355791672196798e-05,0.002556857197408391,0.0035807291666666665,8.359421310325462,2.929805889725685
ridge,target_a,50,12,0.36252077875865835,0.5348110590130091,0.5345298734803995,39.055234207461275,39.590045266474284,-0.9477431202928227,3.559497563789288,0.9866554764892271,4.463720702863074,0.6182861328125,1.6937007514446673e-05,0.0008664276150843383,0.0031331380208333335,9.347538597881794,2.929805889725685
ridge,target_a,100,12,0.36252077875865835,0.6990572116855119,0.6997413467615843,39.055234207461275,39.75429141914679,-0.7834969676203198,3.7237437164617915,0.9866492780791524,4.463259095042509,0.6156005859375,1.0738597439570915e-05,0.0004048197945203391,0.0004475911458333333,11.318492429951826,2.929805889725685
ridge,target_a,227,12,0.36252077875865835,1.1140048847430282,1.1142443530261517,39.055234207461275,40.169239092204315,-0.3685492945628033,4.138691389519308,0.9866385394817128,4.462854275247988,0.6151529947916666,0.0,0.0,0.0,16.297864506642025,2.929805889725685
