method,shortlist_size,target,encoders,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean
kcenter_subspace,3,flowers102,4,0.25,0.41666666666666663,0.002075163920720463,0.1461574956530763,-0.001710021495819114,0.85,0.25,0.41666666666666663,3.0,0.8125
kcenter_subspace,3,food101,4,0.75,0.3333333333333333,0.00010333350102109673,0.004015550233520149,0.00037999749183655063,0.85,0.75,0.375,3.0,0.8125
kcenter_subspace,3,gtsrb,4,1.0,0.5,0.0,0.0,0.0,0.85,1.0,0.5833333333333333,3.0,0.8125
kcenter_subspace,3,oxford_pets,4,1.0,0.3333333333333333,0.0,0.0,0.0,0.85,1.0,0.375,3.0,0.8125
kcenter_subspace,5,beans,4,0.25,0.3333333333333333,0.002304965060691805,0.12413336053484714,0.005078124999999989,0.75,0.5,0.375,5.0,0.6875
kcenter_subspace,5,dtd,4,0.75,0.3333333333333333,2.6597976684583635e-05,0.0010792269925420797,-0.0027393668889999223,0.75,0.75,0.375,5.0,0.6875
kcenter_subspace,5,eurosat,4,0.5,0.41666666666666663,0.0003400028540691269,0.03323802305705397,0.000333333015441889,0.75,0.5,0.5,5.0,0.6875
kcenter_subspace,5,flowers102,4,0.5,0.5833333333333333,0.0010620913902918139,0.04140966882584103,-0.00020000338554382324,0.75,0.5,0.5833333333333333,5.0,0.6875
kcenter_subspace,5,food101,4,0.75,0.41666666666666663,0.00010333350102109673,0.004015550233520149,0.00037999749183655063,0.75,0.75,0.4583333333333333,5.0,0.6875
kcenter_subspace,5,gtsrb,4,1.0,0.5,0.0,0.0,0.0,0.75,1.0,0.5833333333333333,5.0,0.6875
kcenter_subspace,5,oxford_pets,4,1.0,0.3333333333333333,0.0,0.0,0.0,0.75,1.0,0.375,5.0,0.6875
kcenter_subspace,10,beans,4,0.75,0.6666666666666666,0.00024178219006798507,0.03378416110571986,0.006249999999999978,0.5,1.0,0.9166666666666666,9.75,0.390625
kcenter_subspace,10,dtd,4,0.75,0.3333333333333333,2.6597976684583635e-05,0.0010792269925420797,-0.0027393668889999223,0.5,0.75,0.375,9.75,0.390625
kcenter_subspace,10,eurosat,4,0.5,0.5,0.00027667060573902114,0.028046859601875827,0.0009629607200622448,0.5,0.5,0.5833333333333333,9.75,0.390625
kcenter_subspace,10,flowers102,4,0.75,0.6666666666666666,0.0010130721330642578,0.019350816370410535,-0.00019000768661497913,0.5,0.75,0.6666666666666666,9.75,0.390625
kcenter_subspace,10,food101,4,0.75,0.5833333333333333,0.00010333350102109673,0.004015550233520149,0.00037999749183655063,0.5,0.75,0.625,9.75,0.390625
kcenter_subspace,10,gtsrb,4,1.0,0.5833333333333333,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,9.75,0.390625
kcenter_subspace,10,oxford_pets,4,1.0,0.3333333333333333,0.0,0.0,0.0,0.5,1.0,0.4583333333333333,9.75,0.390625
pool_vendi_subspace,3,beans,4,0.25,0.08333333333333333,0.00362669308288574,0.25621858921005514,0.005078124999999989,0.85,0.25,0.08333333333333333,3.0,0.8125
pool_vendi_subspace,3,dtd,4,0.75,0.3333333333333333,2.6597976684583635e-05,0.0010792269925420797,-0.0027393668889999223,0.85,0.75,0.375,3.0,0.8125
pool_vendi_subspace,3,eurosat,4,0.5,0.41666666666666663,0.0003400028540691269,0.03323802305705397,0.000333333015441889,0.85,0.5,0.5,3.0,0.8125
pool_vendi_subspace,3,flowers102,4,0.5,0.5,0.0012581680218378688,0.12964489983217337,-0.0002500087022781483,0.85,0.5,0.5,3.0,0.8125
pool_vendi_subspace,3,food101,4,0.75,0.41666666666666663,0.00010333350102109673,0.004015550233520149,0.00037999749183655063,0.85,0.75,0.4583333333333333,3.0,0.8125
pool_vendi_subspace,3,gtsrb,4,1.0,0.5,0.0,0.0,0.0,0.85,1.0,0.5833333333333333,3.0,0.8125
pool_vendi_subspace,3,oxford_pets,4,1.0,0.3333333333333333,0.0,0.0,0.0,0.85,1.0,0.375,3.0,0.8125
pool_vendi_subspace,5,beans,4,0.25,0.16666666666666666,0.002852997326950768,0.16734531251608803,-0.0027343749999999833,0.75,0.25,0.16666666666666666,5.0,0.6875
pool_vendi_subspace,5,dtd,4,0.75,0.3333333333333333,2.6597976684583635e-05,0.0010792269925420797,-0.0027393668889999223,0.75,0.75,0.375,5.0,0.6875
pool_vendi_subspace,5,eurosat,4,0.5,0.41666666666666663,0.0003400028540691269,0.03323802305705397,0.000333333015441889,0.75,0.5,0.5,5.0,0.6875
pool_vendi_subspace,5,flowers102,4,0.75,0.5833333333333333,0.0010130721330642578,0.019350816370410535,-0.00019000768661497913,0.75,0.75,0.5833333333333333,5.0,0.6875
pool_vendi_subspace,5,food101,4,0.75,0.5833333333333333,0.00010333350102109673,0.004015550233520149,0.00037999749183655063,0.75,0.75,0.625,5.0,0.6875
pool_vendi_subspace,5,gtsrb,4,1.0,0.5833333333333333,0.0,0.0,0.0,0.75,1.0,0.6666666666666666,5.0,0.6875
pool_vendi_subspace,5,oxford_pets,4,1.0,0.3333333333333333,0.0,0.0,0.0,0.75,1.0,0.375,5.0,0.6875
pool_vendi_subspace,10,beans,4,0.5,0.5833333333333333,0.0017569326589677026,0.09482306868417816,0.007031249999999989,0.5,0.75,0.625,9.75,0.390625
pool_vendi_subspace,10,dtd,4,0.75,0.41666666666666663,2.6597976684583635e-05,0.0010792269925420797,-0.0027393668889999223,0.5,0.75,0.4583333333333333,9.75,0.390625
pool_vendi_subspace,10,eurosat,4,1.0,0.6666666666666666,0.0,0.0,0.0,0.5,1.0,0.75,9.75,0.390625
pool_vendi_subspace,10,flowers102,4,0.75,0.75,0.0010130721330642578,0.019350816370410535,-0.00019000768661497913,0.5,0.75,0.75,9.75,0.390625
pool_vendi_subspace,10,food101,4,0.75,0.5833333333333333,0.00010333350102109673,0.004015550233520149,0.00037999749183655063,0.5,0.75,0.625,9.75,0.390625
pool_vendi_subspace,10,gtsrb,4,1.0,0.6666666666666666,0.0,0.0,0.0,0.5,1.0,0.75,9.75,0.390625
pool_vendi_subspace,10,oxford_pets,4,1.0,0.3333333333333333,0.0,0.0,0.0,0.5,1.0,0.375,9.75,0.390625
rank_only,3,beans,4,0.0,0.0,0.007076079130826057,0.3801036177438797,0.0054687499999999944,0.85,0.0,0.08333333333333333,2.25,0.859375
rank_only,3,dtd,4,1.0,0.75,0.0,0.0,0.0,0.85,1.0,0.8333333333333333,2.25,0.859375
rank_only,3,eurosat,4,0.5,0.5,0.00024000294486681284,0.020439408163327837,0.0006481528282165361,0.85,0.5,0.5833333333333333,2.25,0.859375
rank_only,3,flowers102,4,0.25,0.41666666666666663,0.002026145855585776,0.12409917964397721,-0.0017300158739090021,0.85,0.5,0.5,2.25,0.859375
rank_only,3,food101,4,1.0,0.6666666666666666,0.0,0.0,0.0,0.85,1.0,0.75,2.25,0.859375
rank_only,3,gtsrb,4,1.0,0.5,0.0,0.0,0.0,0.85,1.0,0.5416666666666666,2.25,0.859375
