construction,readout,metric,method,shortlist_size,domain_count,repeated_task_count,test_loss,oracle_loss,full_validation_test_loss,gap_to_full,absolute_omission,recall_at_top_q,worst_repeated_task_gap
original,logistic,nll,mean_matching,10,6,12,3.4629553896621963,3.389995651278193,3.3965429412617625,0.06641244840043374,0.07079883421870255,0.15833333333333335,0.24416427180597555
original,logistic,nll,mean_matching,25,6,12,3.4202314066405974,3.389995651278193,3.3965429412617625,0.02368846537883429,0.02719664697653072,0.35833333333333334,0.06780589593539332
original,logistic,nll,mean_matching,50,6,12,3.4062690247776772,3.389995651278193,3.3965429412617625,0.009726083515915307,0.008047867307498993,0.6333333333333334,0.03524686274366218
original,logistic,nll,mean_matching,100,6,12,3.395051128473117,3.389995651278193,3.3965429412617625,-0.0014918127886447419,0.0016466776350094008,0.8250000000000001,0.0
original,logistic,nll,mean_matching,227,6,12,3.39609747625209,3.389995651278193,3.3965429412617625,-0.00044546500967279634,0.0016466776350094008,0.9500000000000001,0.0
original,logistic,nll,random,10,6,12,3.5528744280202336,3.3899956512781926,3.3965429412617625,0.15633148675847106,0.15499375328227613,0.021666666666666667,0.26906322800017757
original,logistic,nll,random,25,6,12,3.488935391595259,3.3899956512781926,3.3965429412617625,0.09239245033349618,0.09392937420005275,0.051666666666666666,0.170669386070991
original,logistic,nll,random,50,6,12,3.454038867725353,3.3899956512781926,3.3965429412617625,0.057495926463590134,0.05970282913558308,0.10875,0.1211142581978921
original,logistic,nll,random,100,6,12,3.4273733501148382,3.3899956512781926,3.3965429412617625,0.030830408853075687,0.034047500745084384,0.21333333333333335,0.0833193723578685
original,logistic,nll,random,227,6,12,3.406935728217831,3.3899956512781926,3.3965429412617625,0.010392786956068899,0.012833345329070552,0.4891666666666667,0.028703775047811676
original,logistic,nll,second_moment_mmd,10,6,12,3.4325673924155446,3.389995651278193,3.3965429412617625,0.036024451153782056,0.03892618556869746,0.24166666666666667,0.10521417037411851
original,logistic,nll,second_moment_mmd,25,6,12,3.4093825823389383,3.389995651278193,3.3965429412617625,0.012839641077176167,0.011037993189147962,0.4666666666666666,0.03831903891382549
original,logistic,nll,second_moment_mmd,50,6,12,3.396544589911374,3.389995651278193,3.3965429412617625,1.648649611274422e-06,0.003079901980168905,0.725,0.005365363911408849
original,logistic,nll,second_moment_mmd,100,6,12,3.3965429412617625,3.389995651278193,3.3965429412617625,0.0,0.0,0.9333333333333332,0.0
original,logistic,nll,second_moment_mmd,227,6,12,3.3965429412617625,3.389995651278193,3.3965429412617625,0.0,0.0,1.0,0.0
original,logistic,nll,target_a,10,6,12,3.423913620005692,3.389995651278193,3.3965429412617625,0.02737067874392936,0.030932318263973208,0.225,0.10628887708884527
original,logistic,nll,target_a,25,6,12,3.4089592984654824,3.389995651278193,3.3965429412617625,0.012416357203719771,0.015106724878531671,0.4750000000000001,0.08161091436243506
original,logistic,nll,target_a,50,6,12,3.4068180840090356,3.389995651278193,3.3965429412617625,0.01027514274727348,0.009846408990081787,0.625,0.08161091436243506
original,logistic,nll,target_a,100,6,12,3.402173093125892,3.389995651278193,3.3965429412617625,0.0056301518641289254,0.005797731842919318,0.7999999999999999,0.03831903891382549
original,logistic,nll,target_a,227,6,12,3.3965429412617625,3.389995651278193,3.3965429412617625,0.0,0.0,0.9833333333333334,0.0
original,ridge,brier_score,domain_moment,10,6,12,0.9867174973988356,0.9866270068343567,0.9866385394817128,7.895791712281275e-05,8.437930345442379e-05,0.2416666666666667,0.0004332322671314337
original,ridge,brier_score,domain_moment,25,6,12,0.9866966680101416,0.9866270068343567,0.9866385394817128,5.8128528428689576e-05,6.70600912098344e-05,0.38333333333333336,0.0004332322671314337
original,ridge,brier_score,domain_moment,50,6,12,0.9866556911123617,0.9866270068343567,0.9866385394817128,1.715163064888725e-05,2.249332563359722e-05,0.6166666666666667,0.0001139238828720135
original,ridge,brier_score,domain_moment,100,6,12,0.9866451414369841,0.9866270068343567,0.9866385394817128,6.601955271301474e-06,1.2477713709084052e-05,0.775,6.323757520076967e-05
original,ridge,brier_score,domain_moment,227,6,12,0.9866385394817128,0.9866270068343567,0.9866385394817128,0.0,0.0,1.0,0.0
original,ridge,brier_score,exhaustive,455,6,12,0.9866385394817128,0.9866270068343567,0.9866385394817128,0.0,0.0,1.0,0.0
original,ridge,brier_score,mean_matching,10,6,12,0.98672741293497,0.9866270068343567,0.9866385394817128,8.887345325728213e-05,0.0001004061006132928,0.24166666666666667,0.00044189260963611865
original,ridge,brier_score,mean_matching,25,6,12,0.9866899762632371,0.9866270068343567,0.9866385394817128,5.1436781524324036e-05,5.1485144143761007e-05,0.43333333333333335,0.00030984610329776174
original,ridge,brier_score,mean_matching,50,6,12,0.9866478995337941,0.9866270068343567,0.9866385394817128,9.360052081205014e-06,1.4777722519676573e-05,0.6083333333333334,0.00014485302883937567
original,ridge,brier_score,mean_matching,100,6,12,0.9866456980862188,0.9866270068343567,0.9866385394817128,7.1586045061281895e-06,3.2285918015739767e-06,0.7833333333333333,7.283906862398659e-05
original,ridge,brier_score,mean_matching,227,6,12,0.9866396281638335,0.9866270068343567,0.9866385394817128,1.0886821207959734e-06,5.219550185120436e-07,0.9333333333333335,1.306418544955168e-05
original,ridge,brier_score,random,10,6,12,0.986950622263417,0.9866270068343569,0.9866385394817129,0.0003120827817042089,0.0003171590538345925,0.022083333333333333,0.0006317689107119939
original,ridge,brier_score,random,25,6,12,0.98683084055902,0.9866270068343569,0.9866385394817129,0.00019230107730731547,0.00019513876642964596,0.0575,0.00037996235442143146
original,ridge,brier_score,random,50,6,12,0.9867621939500903,0.9866270068343569,0.9866385394817129,0.0001236544683775658,0.00012860144037168998,0.11208333333333335,0.0002460090835146089
original,ridge,brier_score,random,100,6,12,0.9867139932072423,0.9866270068343569,0.9866385394817129,7.54537255295414e-05,7.615653840132482e-05,0.22916666666666666,0.00015460758145894316
original,ridge,brier_score,random,227,6,12,0.9866688670057306,0.9866270068343569,0.9866385394817129,3.032752401766065e-05,3.0282331627053586e-05,0.5058333333333332,0.00010527865382440327
original,ridge,brier_score,second_moment_mmd,10,6,12,0.9866900737983147,0.9866270068343567,0.9866385394817128,5.153431660189408e-05,5.213366372086581e-05,0.3,0.00030984610329776174
original,ridge,brier_score,second_moment_mmd,25,6,12,0.986651659356657,0.9866270068343567,0.9866385394817128,1.3119874944261811e-05,1.8207466135113554e-05,0.5083333333333334,6.323757520076967e-05
