construction,readout,metric,method,shortlist_size,absolute_gap_threshold,failure_rate,worst_domain_failure_rate,domain_count
original,ridge,brier_score,mean_matching,25,0.005,0.0,0.0,6
original,ridge,brier_score,mean_matching,25,0.01,0.0,0.0,6
original,ridge,brier_score,mean_matching,50,0.001,0.0,0.0,6
original,ridge,brier_score,mean_matching,50,0.005,0.0,0.0,6
original,ridge,brier_score,mean_matching,50,0.01,0.0,0.0,6
original,ridge,brier_score,mean_matching,100,0.001,0.0,0.0,6
original,ridge,brier_score,mean_matching,100,0.005,0.0,0.0,6
original,ridge,brier_score,mean_matching,100,0.01,0.0,0.0,6
original,ridge,brier_score,mean_matching,227,0.001,0.0,0.0,6
original,ridge,brier_score,mean_matching,227,0.005,0.0,0.0,6
original,ridge,brier_score,mean_matching,227,0.01,0.0,0.0,6
original,ridge,brier_score,random,10,0.001,0.024999999999999998,0.15,6
original,ridge,brier_score,random,10,0.005,0.0,0.0,6
original,ridge,brier_score,random,10,0.01,0.0,0.0,6
original,ridge,brier_score,random,25,0.001,0.0,0.0,6
original,ridge,brier_score,random,25,0.005,0.0,0.0,6
original,ridge,brier_score,random,25,0.01,0.0,0.0,6
original,ridge,brier_score,random,50,0.001,0.0,0.0,6
original,ridge,brier_score,random,50,0.005,0.0,0.0,6
original,ridge,brier_score,random,50,0.01,0.0,0.0,6
original,ridge,brier_score,random,100,0.001,0.0,0.0,6
original,ridge,brier_score,random,100,0.005,0.0,0.0,6
original,ridge,brier_score,random,100,0.01,0.0,0.0,6
original,ridge,brier_score,random,227,0.001,0.0,0.0,6
original,ridge,brier_score,random,227,0.005,0.0,0.0,6
original,ridge,brier_score,random,227,0.01,0.0,0.0,6
original,ridge,brier_score,second_moment_mmd,10,0.001,0.0,0.0,6
original,ridge,brier_score,second_moment_mmd,10,0.005,0.0,0.0,6
original,ridge,brier_score,second_moment_mmd,10,0.01,0.0,0.0,6
original,ridge,brier_score,second_moment_mmd,25,0.001,0.0,0.0,6
original,ridge,brier_score,second_moment_mmd,25,0.005,0.0,0.0,6
original,ridge,brier_score,second_moment_mmd,25,0.01,0.0,0.0,6
original,ridge,brier_score,second_moment_mmd,50,0.001,0.0,0.0,6
original,ridge,brier_score,second_moment_mmd,50,0.005,0.0,0.0,6
original,ridge,brier_score,second_moment_mmd,50,0.01,0.0,0.0,6
original,ridge,brier_score,second_moment_mmd,100,0.001,0.0,0.0,6
original,ridge,brier_score,second_moment_mmd,100,0.005,0.0,0.0,6
original,ridge,brier_score,second_moment_mmd,100,0.01,0.0,0.0,6
original,ridge,brier_score,second_moment_mmd,227,0.001,0.0,0.0,6
original,ridge,brier_score,second_moment_mmd,227,0.005,0.0,0.0,6
original,ridge,brier_score,second_moment_mmd,227,0.01,0.0,0.0,6
original,ridge,brier_score,target_a,10,0.001,0.0,0.0,6
original,ridge,brier_score,target_a,10,0.005,0.0,0.0,6
original,ridge,brier_score,target_a,10,0.01,0.0,0.0,6
original,ridge,brier_score,target_a,25,0.001,0.0,0.0,6
original,ridge,brier_score,target_a,25,0.005,0.0,0.0,6
original,ridge,brier_score,target_a,25,0.01,0.0,0.0,6
original,ridge,brier_score,target_a,50,0.001,0.0,0.0,6
original,ridge,brier_score,target_a,50,0.005,0.0,0.0,6
original,ridge,brier_score,target_a,50,0.01,0.0,0.0,6
original,ridge,brier_score,target_a,100,0.001,0.0,0.0,6
original,ridge,brier_score,target_a,100,0.005,0.0,0.0,6
original,ridge,brier_score,target_a,100,0.01,0.0,0.0,6
original,ridge,brier_score,target_a,227,0.001,0.0,0.0,6
original,ridge,brier_score,target_a,227,0.005,0.0,0.0,6
original,ridge,brier_score,target_a,227,0.01,0.0,0.0,6
original,ridge,error_rate,domain_moment,10,0.005,0.5833333333333334,1.0,6
original,ridge,error_rate,domain_moment,10,0.01,0.5833333333333334,1.0,6
original,ridge,error_rate,domain_moment,10,0.02,0.3333333333333333,0.5,6
original,ridge,error_rate,domain_moment,25,0.005,0.5833333333333334,1.0,6
original,ridge,error_rate,domain_moment,25,0.01,0.5833333333333334,1.0,6
original,ridge,error_rate,domain_moment,25,0.02,0.25,0.5,6
original,ridge,error_rate,domain_moment,50,0.005,0.5833333333333334,1.0,6
original,ridge,error_rate,domain_moment,50,0.01,0.4166666666666667,1.0,6
original,ridge,error_rate,domain_moment,50,0.02,0.0,0.0,6
