encoder,source,source_domain,adapter_seed,target,validation_accuracy,validation_accuracy_std,validation_fold_accuracies,validation_partition_accuracies,validation_accuracy_std_across_partitions,validation_examples,unique_validation_examples,target_validation_protocol,target_cv_folds,target_cv_partitions,target_cv_seed,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
resnet50,bloodmnist,medical,3,beans,0.8536428236177397,0.016902105129229336,0.8798077703|0.8647342920|0.8502415419|0.8592233658|0.8592233062|0.8413462043|0.8405796289|0.8792270422|0.8640776873|0.8446601629|0.8605769873|0.8212560415|0.8695652485|0.8252427578|0.8446601629,0.8626692730|0.8539651727|0.8442940252,0.007505125554566259,3102,1034,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.8984375,500,600,256,128,0.01,1.1632319875061512,0.09911694936454296,npu:6
resnet50,bloodmnist,medical,3,dtd,0.6217198967933655,0.011282224550166118,0.6170213223|0.6369680762|0.6329787970|0.6077128053|0.6210106611|0.6303192377|0.6010638475|0.6170213223|0.6289893985|0.6143617630|0.6196808815|0.6103723645|0.6289893985|0.6156915426|0.6436170340,0.6231383324|0.6183511138|0.6236702442,0.0023919666546389933,11280,3760,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.6244680881500244,500,600,256,128,0.01,1.1632319875061512,0.11067989096045494,npu:6
resnet50,bloodmnist,medical,3,eurosat,0.9034666461666424,0.0064721445973019735,0.8986083269|0.9031936526|0.9149149656|0.9057171345|0.8935742378|0.9085485935|0.9011975527|0.9049049616|0.8986960649|0.8995983601|0.9095426798|0.9021955729|0.9169169664|0.8966900706|0.8975902796,0.9031999983|0.9025999666|0.9045999736,0.000837986829394165,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9048148393630981,500,600,256,128,0.01,1.1632319875061512,0.10432522930204868,npu:6
resnet50,bloodmnist,medical,3,flowers102,0.6617647846539815,0.036726567884080394,0.6764706373|0.6813726425|0.6813726425|0.5833333731|0.6813726425|0.6323530078|0.7401961684|0.6421569586|0.6617647409|0.6127451658|0.6715686917|0.7058824301|0.6421569586|0.6715687513|0.6421569586,0.6607843876|0.6578432083|0.6666667581,0.0036683003640204117,3060,1020,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.6669999361038208,500,600,256,128,0.01,1.1632319875061512,0.11860160529613495,npu:6
resnet50,bloodmnist,medical,3,food101,0.3929333503842354,0.010413274645195968,0.3792079091|0.4000000358|0.3851485252|0.4039604068|0.3979167044|0.3772277236|0.4069306850|0.3940594196|0.3831683397|0.3916667104|0.3861386478|0.4059405923|0.4108911157|0.3851485252|0.3864583671,0.3932000164|0.3906000143|0.3950000204,0.0018061647246186583,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.4368000030517578,500,600,256,128,0.01,1.1632319875061512,0.13504603877663612,npu:6
resnet50,bloodmnist,medical,3,gtsrb,0.6777333448251088,0.010440979648541139,0.6882989407|0.6905472875|0.6663336754|0.6710262299|0.6673449278|0.6991150379|0.6756218672|0.6803196669|0.6710261106|0.6703968048|0.6745329499|0.6736318469|0.6623376608|0.6820925474|0.6927772164,0.6768000384|0.6793999939|0.6770000021,0.001181322940255357,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.5861999988555908,500,600,256,128,0.01,1.1632319875061512,0.11262930743396282,npu:6
resnet50,bloodmnist,medical,3,oxford_pets,0.9067028926496489,0.008961343024287204,0.9066305161|0.9035326242|0.9021739364|0.9061224461|0.9100817442|0.9120432138|0.9076087475|0.8967391849|0.9115646482|0.9141688943|0.9133963585|0.9184782505|0.8953804970|0.9183673859|0.8841961622,0.9057065158|0.9084239125|0.9059782497,0.001221990682698345,11040,3680,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.8822567462921143,500,600,256,128,0.01,1.1632319875061512,0.10962997563183308,npu:6
resnet50,bloodmnist,medical,4,beans,0.8384913143459863,0.01950315487938244,0.8076923490|0.8550724387|0.8357487917|0.8106796145|0.8737864494|0.8317308426|0.8115942478|0.8550724387|0.8592233062|0.8349514604|0.8365385532|0.8454105854|0.8502415419|0.8155339956|0.8543689847,0.8365570720|0.8384913165|0.8404255545,0.0015793013683614112,3102,1034,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.8359375,500,600,256,128,0.01,1.2166481167078018,0.09735402464866638,npu:6
resnet50,bloodmnist,medical,4,dtd,0.6189716577529908,0.013252285831016128,0.6289893985|0.6143617034|0.6223404408|0.5944148898|0.6183511019|0.6316489577|0.5944149494|0.6023936272|0.6409574747|0.6236702204|0.6316489577|0.6143617630|0.6316489577|0.6156915426|0.6196808815,0.6156915069|0.6186170459|0.6226064205,0.002834115958270895,11280,3760,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.6191489100456238,500,600,256,128,0.01,1.2166481167078018,0.1194610483944416,npu:6
resnet50,bloodmnist,medical,4,eurosat,0.8997999848524728,0.006145625883473162,0.8956261873|0.8922156096|0.9129129052|0.9007021189|0.8935742378|0.9075546265|0.8982036114|0.8998999000|0.8956869841|0.8975903392|0.8996022940|0.9101796746|0.9009009600|0.8906719685|0.9016064405,0.8989999862|0.8997999748|0.9005999936,0.000653200296734568,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9099999666213989,500,600,256,128,0.01,1.2166481167078018,0.11642594821751118,npu:6
resnet50,bloodmnist,medical,4,flowers102,0.6581699967384339,0.03118134150061363,0.6617648005|0.6421569586|0.6764706373|0.6372549534|0.6519608498|0.6078431606|0.7352942228|0.6715686917|0.6666667461|0.6323529482|0.6911765337|0.6862745285|0.6274510622|0.6617647409|0.6225491166,0.6539216399|0.6627451539|0.6578431964,0.0036095889525221123,3060,1020,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.6661999225616455,500,600,256,128,0.01,1.2166481167078018,0.1288390215486288,npu:6
resnet50,bloodmnist,medical,4,food101,0.3962666876713435,0.0112523553317315,0.4000000358|0.4069306850|0.3881188035|0.3930693269|0.3968750238|0.3990099132|0.4049505293|0.3930693269|0.4000000358|0.3729166985|0.3821782470|0.4079208076|0.4158416092|0.4019802213|0.3791666925,0.3970000125|0.3942000268|0.3976000237,0.0014817374688727448,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.43699997663497925,500,600,256,128,0.01,1.2166481167078018,0.1276963483542204,npu:6
resnet50,bloodmnist,medical,4,gtsrb,0.6669333391348521,0.014209448333967322,0.6568338871|0.6955224276|0.6553446651|0.6911468506|0.6632757187|0.6843658090|0.6676616669|0.6513485909|0.6619718075|0.6592065692|0.6843657494|0.6547263265|0.6613386869|0.6509054899|0.6653102636,0.6724000227|0.6649999953|0.6633999994,0.003920328957866162,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.5712000131607056,500,600,256,128,0.01,1.2166481167078018,0.10833627171814442,npu:6
resnet50,bloodmnist,medical,4,oxford_pets,0.9007246221213236,0.004769493722499341,0.8971582651|0.8940217495|0.9048913121|0.9006803036|0.8910081387|0.9039241076|0.9048913121|0.8940217495|0.9074830413|0.8991824985|0.9012177587|0.9048913121|0.9021739364|0.9061224461|0.8991825581,0.8975543392|0.9019021516|0.9027173755,0.0022662991805143403,11040,3680,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.8773507475852966,500,600,256,128,0.01,1.2166481167078018,0.11351032927632332,npu:6
resnet50,breastmnist,medical,0,beans,0.8446163924027842,0.015486613490944481,0.8413462639|0.8454105854|0.8550724983|0.8398058414|0.8737863898|0.8317307830|0.8164250851|0.8599033952|0.8543689251|0.8398058414|0.8509616256|0.8212560415|0.8599033952|0.8543689251|0.8252427578,0.8510638500|0.8404255321|0.8423597952,0.0046269230342858535,3102,1034,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.8828125,500,600,256,128,0.01,1.2349300608038902,0.08968244679272175,npu:6
resnet50,breastmnist,medical,0,dtd,0.5972517927487692,0.014933676416567945,0.6063829660|0.6130319834|0.5877659917|0.5625000000|0.6063830256|0.6023936272|0.5851063728|0.5904255509|0.6156915426|0.5771276951|0.6050531864|0.5824468136|0.6103723645|0.6037234068|0.6103723645,0.5952127934|0.5941489577|0.6023936272,0.003661673792452281,11280,3760,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.6069148778915405,500,600,256,128,0.01,1.2349300608038902,0.11692386120557785,npu:6
resnet50,breastmnist,medical,0,eurosat,0.894066643734773,0.006589586645046226,0.8876738548|0.8832335472|0.9059059024|0.9037110806|0.8875501156|0.8866798878|0.8912175894|0.8958958983|0.8966900110|0.8965862989|0.8956261873|0.8882235885|0.9039039612|0.8956870437|0.8925702572,0.8935999542|0.8933999778|0.8951999992,0.0008055509944848388,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9029629826545715,500,600,256,128,0.01,1.2349300608038902,0.10552528314292431,npu:6
resnet50,breastmnist,medical,0,flowers102,0.6375817735989888,0.028998540197819927,0.6421569586|0.6568628550|0.6372550130|0.5882353783|0.6715686917|0.5931373239|0.7009804249|0.6176471710|0.6029412746|0.6225490570|0.6519608498|0.6568627954|0.6519608498|0.6323530078|0.6372549534,0.6392157793|0.6274510503|0.6460784912,0.007691894863163166,3060,1020,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.6521999835968018,500,600,256,128,0.01,1.2349300608038902,0.11895160749554634,npu:6
resnet50,breastmnist,medical,0,food101,0.3846666808525721,0.012986603405825714,0.3792079389|0.4009901285|0.3782178164|0.3851485252|0.3791667223|0.3742574453|0.3950495124|0.3861386180|0.3712871373|0.3843750060|0.3554455638|0.4128713012|0.3851485252|0.3881188035|0.3947916925,0.3846000213|0.3822000092|0.3872000121,0.0020417867866590017,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.420199990272522,500,600,256,128,0.01,1.2349300608038902,0.12919855117797852,npu:6
resnet50,breastmnist,medical,0,gtsrb,0.6716666709701221,0.012547398367396741,0.6578171253|0.6646766067|0.6643356681|0.7062374353|0.6724313498|0.6666666269|0.6666666269|0.6883116961|0.6690140963|0.6673449278|0.6607669592|0.6636815667|0.6653347015|0.6740442514|0.6887080669,0.6730000075|0.6716000006|0.6704000048,0.001062493039529716,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.5851999521255493,500,600,256,128,0.01,1.2349300608038902,0.12061996199190617,npu:6
resnet50,breastmnist,medical,0,oxford_pets,0.9013586997068015,0.007090638405616484,0.9079837203|0.8831522465|0.8967391253|0.9006803036|0.9032697082|0.9133964181|0.8953804970|0.9035326242|0.9061225057|0.9019073248|0.8971582651|0.9103261232|0.8953804970|0.9006803036|0.9046320915,0.8983695673|0.9040760946|0.9016304371,0.0023375905499266798,11040,3680,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.8798037767410278,500,600,256,128,0.01,1.2349300608038902,0.11468310467898846,npu:6
resnet50,breastmnist,medical,1,beans,0.8655706216526523,0.01774875053832053,0.8701924086|0.8357487917|0.8840579391|0.8640776277|0.8932039142|0.8509615660|0.8599033356|0.8840579987|0.8398058414|0.8932039142|0.8798077703|0.8550724983|0.8550724983|0.8495146036|0.8689320683,0.8694390830|0.8655706108|0.8617021711,0.0031585810625059992,3102,1034,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.8359375,500,600,256,128,0.01,1.1790685821324587,0.10170391015708447,npu:6
resnet50,breastmnist,medical,1,dtd,0.6062943538029989,0.015990412764205462,0.6143617630|0.6130319834|0.6037234068|0.5944148898|0.6130319834|0.6356382966|0.5731382966|0.5997340679|0.6183511019|0.5944149494|0.6103723645|0.5771276951|0.6236702204|0.6090425849|0.6143617034,0.6077128053|0.6042553425|0.6069149137,0.0014781369194065443,11280,3760,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.6196808218955994,500,600,256,128,0.01,1.1790685821324587,0.11418076418340206,npu:6
resnet50,breastmnist,medical,1,eurosat,0.8885333022356033,0.007938876000632603,0.8827037215|0.8872255087|0.8928928971|0.8966900110|0.8805220127|0.8886679411|0.8782435060|0.8938938975|0.8786358833|0.9006023407|0.8996022940|0.8832335472|0.8998999596|0.8786358833|0.8865461349,0.8879999547|0.8879999705|0.8895999815,0.0007542561740446229,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9051852226257324,500,600,256,128,0.01,1.1790685821324587,0.11945769004523754,npu:6
resnet50,breastmnist,medical,1,flowers102,0.659477190176646,0.032311663790250265,0.6764706373|0.6519608498|0.6617648005|0.6323529482|0.7156863809|0.6127451658|0.7009804249|0.6274510622|0.6568627954|0.6372549534|0.6813726425|0.7156863809|0.6617648005|0.6470588446|0.6127451658,0.6676471233|0.6470588803|0.6637255669,0.008925822684546293,3060,1020,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.6647999286651611,500,600,256,128,0.01,1.1790685821324587,0.12620449997484684,npu:6
resnet50,breastmnist,medical,1,food101,0.3876666847070058,0.010661402946981171,0.3722772300|0.3900990486|0.3712871373|0.3970297277|0.3791666925|0.3841584325|0.3920792341|0.4029703140|0.3821782172|0.3875000477|0.3693069220|0.4029703140|0.3960396051|0.3910891414|0.3968750238,0.3820000200|0.3898000211|0.3912000130,0.004047493982098128,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.42559999227523804,500,600,256,128,0.01,1.1790685821324587,0.12621690146625042,npu:6
resnet50,breastmnist,medical,1,gtsrb,0.6682000076174736,0.011958886041165477,0.6637168527|0.6895521879|0.6573426127|0.6780683994|0.6632756591|0.6843658090|0.6855721474|0.6583416462|0.6488933563|0.6673449278|0.6676499844|0.6726368070|0.6493507028|0.6649899483|0.6714140773,0.6703999811|0.6690000168|0.6652000250,0.0021969519308154316,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.5779999494552612,500,600,256,128,0.01,1.1790685821324587,0.11177160404622555,npu:6
resnet50,breastmnist,medical,1,oxford_pets,0.9029891243825356,0.006598863943324772,0.9066305161|0.8899456859|0.9035326242|0.9074830413|0.9019073248|0.8998646140|0.9048913121|0.8940217495|0.9129252434|0.9087193012|0.8958050609|0.9130434990|0.8953804970|0.9047619104|0.9059944749,0.9019021737|0.9040760826|0.9029891168,0.0008874945908685298,11040,3680,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.888252854347229,500,600,256,128,0.01,1.1790685821324587,0.10462694056332111,npu:6
resnet50,breastmnist,medical,2,beans,0.8694390846520835,0.019271913119163,0.8750000596|0.8743960857|0.8937197924|0.8349514604|0.8834952116|0.8750000596|0.8454105854|0.8840579987|0.8592232466|0.8834952116|0.8605769873|0.8454106450|0.9082125425|0.8640776873|0.8543689251,0.8723404387|0.8694390829|0.8665377324,0.00236894491016649,3102,1034,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.8671875,500,600,256,128,0.01,1.1713344529271126,0.10870318301022053,npu:6
