dataset,encoder,target_domain,budget,method,repeat,combination,selected_sample_count,brier_score,oracle_brier,normalized_brier_regret,brier_rank,top_q,in_brier_top_q,target_a_proxy_rank
pacs,dinov2_b14,art_painting,5,bayesian_d,-1,cartoon__block_02|photo__block_00|photo__block_03|sketch__block_00|sketch__block_01,3452,0.6194212148029818,0.6135398408932865,0.009585969023840938,186,10,0,73
pacs,dinov2_b14,art_painting,5,collapse_4s,-1,cartoon__block_00|cartoon__block_02|photo__block_00|sketch__block_00|sketch__block_01,3621,0.6226853911175082,0.6135398408932865,0.014906204315772205,399,10,0,124
pacs,dinov2_b14,art_painting,5,domain_balance,-1,cartoon__block_00|cartoon__block_03|photo__block_00|sketch__block_00|sketch__block_01,3632,0.6244846833883767,0.6135398408932865,0.017838845606432015,505,10,0,153
pacs,dinov2_b14,art_painting,5,dpp_subspace,-1,cartoon__block_00|cartoon__block_02|cartoon__block_03|photo__block_00|sketch__block_00,3240,0.6256400686098124,0.6135398408932865,0.01972199180889128,561,10,0,106
pacs,dinov2_b14,art_painting,5,effective_rank,-1,cartoon__block_02|photo__block_00|photo__block_01|photo__block_03|sketch__block_00,2891,0.6191568023303832,0.6135398408932865,0.009155006835283303,164,10,0,143
pacs,dinov2_b14,art_painting,5,facility_subspace,-1,cartoon__block_03|photo__block_00|photo__block_01|photo__block_02|sketch__block_00,2870,0.6207337937153826,0.6135398408932865,0.011725323023231945,266,10,0,463
pacs,dinov2_b14,art_painting,5,kcenter_subspace,-1,cartoon__block_03|photo__block_01|photo__block_02|photo__block_03|sketch__block_00,2864,0.6209853272663745,0.6135398408932865,0.012135294037706917,283,10,0,416
pacs,dinov2_b14,art_painting,5,random,0,cartoon__block_00|cartoon__block_01|photo__block_02|sketch__block_00|sketch__block_02,3555,0.6252087220320958,0.6135398408932865,0.01901894605869424,542,10,0,489
pacs,dinov2_b14,art_painting,5,random,1,cartoon__block_03|photo__block_03|sketch__block_00|sketch__block_01|sketch__block_02,3993,0.6293618082177531,0.6135398408932865,0.025788003109024734,667,10,0,597
pacs,dinov2_b14,art_painting,5,random,2,cartoon__block_01|cartoon__block_02|sketch__block_00|sketch__block_02|sketch__block_03,4106,0.6530440717662868,0.6135398408932865,0.06438739302648035,759,10,0,782
pacs,dinov2_b14,art_painting,5,random,3,cartoon__block_01|photo__block_00|photo__block_03|sketch__block_00|sketch__block_02,3424,0.6214182859338924,0.6135398408932865,0.012840967310509455,315,10,0,168
pacs,dinov2_b14,art_painting,5,random,4,cartoon__block_02|photo__block_00|photo__block_01|photo__block_02|sketch__block_03,2785,0.6164168285930717,0.6135398408932865,0.00468916198758406,35,10,0,539
pacs,dinov2_b14,art_painting,5,random,5,cartoon__block_02|photo__block_01|photo__block_02|photo__block_03|sketch__block_01,2797,0.6146986295337676,0.6135398408932865,0.0018886933875296346,6,10,1,423
pacs,dinov2_b14,art_painting,5,random,6,cartoon__block_01|cartoon__block_02|cartoon__block_03|sketch__block_00|sketch__block_01,3756,0.6522023765590258,0.6135398408932865,0.06301552578793966,751,10,0,731
pacs,dinov2_b14,art_painting,5,random,7,cartoon__block_03|photo__block_03|sketch__block_00|sketch__block_01|sketch__block_02,3993,0.6293618082177531,0.6135398408932865,0.025788003109024734,667,10,0,597
pacs,dinov2_b14,art_painting,5,random,8,cartoon__block_02|photo__block_00|sketch__block_00|sketch__block_02|sketch__block_03,3970,0.62556518457907,0.6135398408932865,0.019599939375208448,558,10,0,610
pacs,dinov2_b14,art_painting,5,random,9,cartoon__block_02|photo__block_03|sketch__block_00|sketch__block_02|sketch__block_03,3964,0.6272394218526747,0.6135398408932865,0.022328755276009776,624,10,0,600
pacs,dinov2_b14,art_painting,5,random,10,cartoon__block_02|photo__block_00|photo__block_02|photo__block_03|sketch__block_02,2802,0.619089687306898,0.6135398408932865,0.009045616997799393,160,10,0,481
pacs,dinov2_b14,art_painting,5,random,11,cartoon__block_00|cartoon__block_02|photo__block_01|sketch__block_00|sketch__block_03,3585,0.6233119690124024,0.6135398408932865,0.015927454857516822,439,10,0,250
pacs,dinov2_b14,art_painting,5,random,12,cartoon__block_03|photo__block_02|sketch__block_01|sketch__block_02|sketch__block_03,3887,0.6264698565976508,0.6135398408932865,0.021074451637140185,595,10,0,676
pacs,dinov2_b14,art_painting,5,random,13,cartoon__block_01|cartoon__block_03|photo__block_03|sketch__block_01|sketch__block_02,3530,0.6255835165853112,0.6135398408932865,0.01962981845561918,559,10,0,379
pacs,dinov2_b14,art_painting,5,random,14,cartoon__block_00|photo__block_00|photo__block_01|photo__block_03|sketch__block_03,2829,0.6193483841988334,0.6135398408932865,0.009467263441425323,177,10,0,279
pacs,dinov2_b14,art_painting,5,random,15,cartoon__block_01|cartoon__block_02|cartoon__block_03|photo__block_02|sketch__block_02,3106,0.6246900109581941,0.6135398408932865,0.01817350613885717,511,10,0,541
pacs,dinov2_b14,art_painting,5,random,16,cartoon__block_00|cartoon__block_02|photo__block_00|photo__block_02|sketch__block_00,3040,0.6213949062986873,0.6135398408932865,0.012802861170293677,312,10,0,58
pacs,dinov2_b14,art_painting,5,random,17,cartoon__block_00|cartoon__block_01|photo__block_01|photo__block_03|sketch__block_03,2965,0.6182121702907297,0.6135398408932865,0.007615364294257595,113,10,0,47
pacs,dinov2_b14,art_painting,5,random,18,cartoon__block_03|photo__block_01|photo__block_03|sketch__block_01|sketch__block_02,3376,0.6204050973933083,0.6135398408932865,0.011189585488085472,250,10,0,338
pacs,dinov2_b14,art_painting,5,random,19,cartoon__block_01|photo__block_00|sketch__block_00|sketch__block_01|sketch__block_03,3968,0.6236212768513266,0.6135398408932865,0.016431591375324545,456,10,0,601
pacs,dinov2_b14,art_painting,5,second_moment_mmd,-1,cartoon__block_00|photo__block_00|photo__block_01|photo__block_02|photo__block_03,2266,0.6338382737135028,0.6135398408932865,0.03308413157108535,722,10,0,704
pacs,dinov2_b14,art_painting,5,size,-1,cartoon__block_00|sketch__block_00|sketch__block_01|sketch__block_02|sketch__block_03,4525,0.6618039860810352,0.6135398408932865,0.07866505477049095,791,10,0,789
pacs,dinov2_b14,art_painting,5,spectrum_rank_l,-1,cartoon__block_02|photo__block_01|photo__block_02|photo__block_03|sketch__block_02,2784,0.6182358194011047,0.6135398408932865,0.007653909648281499,114,10,0,510
pacs,dinov2_b14,art_painting,5,target_a,-1,cartoon__block_00|cartoon__block_02|photo__block_00|photo__block_03|sketch__block_00,3072,0.6216437928220024,0.6135398408932865,0.013208517831404306,327,10,0,1
pacs,dinov2_b14,art_painting,5,target_energy,-1,cartoon__block_00|sketch__block_00|sketch__block_01|sketch__block_02|sketch__block_03,4525,0.6618039860810352,0.6135398408932865,0.07866505477049095,791,10,0,789
pacs,dinov2_b14,cartoon,1,bayesian_d,-1,art_painting__block_03,519,0.6862639845830826,0.6706562572237164,0.023272320493924536,5,10,1,7
pacs,dinov2_b14,cartoon,1,collapse_4s,-1,sketch__block_00,1032,0.6788795901201758,0.6706562572237164,0.01226162107321749,3,10,1,1
pacs,dinov2_b14,cartoon,1,domain_balance,-1,sketch__block_00,1032,0.6788795901201758,0.6706562572237164,0.01226162107321749,3,10,1,1
pacs,dinov2_b14,cartoon,1,dpp_subspace,-1,sketch__block_00,1032,0.6788795901201758,0.6706562572237164,0.01226162107321749,3,10,1,1
pacs,dinov2_b14,cartoon,1,effective_rank,-1,sketch__block_00,1032,0.6788795901201758,0.6706562572237164,0.01226162107321749,3,10,1,1
pacs,dinov2_b14,cartoon,1,facility_subspace,-1,sketch__block_00,1032,0.6788795901201758,0.6706562572237164,0.01226162107321749,3,10,1,1
pacs,dinov2_b14,cartoon,1,kcenter_subspace,-1,sketch__block_00,1032,0.6788795901201758,0.6706562572237164,0.01226162107321749,3,10,1,1
pacs,dinov2_b14,cartoon,1,random,0,art_painting__block_02,501,0.694165615758559,0.6706562572237164,0.03505425958771064,8,10,1,8
pacs,dinov2_b14,cartoon,1,random,1,photo__block_01,415,0.7473320510487542,0.6706562572237164,0.11432949890372898,10,10,1,11
pacs,dinov2_b14,cartoon,1,random,2,photo__block_02,395,0.7518559632556515,0.6706562572237164,0.12107499953563947,12,10,0,12
pacs,dinov2_b14,cartoon,1,random,3,sketch__block_00,1032,0.6788795901201758,0.6706562572237164,0.01226162107321749,3,10,1,1
pacs,dinov2_b14,cartoon,1,random,4,art_painting__block_03,519,0.6862639845830826,0.6706562572237164,0.023272320493924536,5,10,1,7
pacs,dinov2_b14,cartoon,1,random,5,art_painting__block_00,506,0.6872775086496625,0.6706562572237164,0.024783562737120162,6,10,1,6
pacs,dinov2_b14,cartoon,1,random,6,art_painting__block_03,519,0.6862639845830826,0.6706562572237164,0.023272320493924536,5,10,1,7
pacs,dinov2_b14,cartoon,1,random,7,art_painting__block_01,522,0.6873479079900052,0.6706562572237164,0.024888533561718332,7,10,1,5
pacs,dinov2_b14,cartoon,1,random,8,art_painting__block_02,501,0.694165615758559,0.6706562572237164,0.03505425958771064,8,10,1,8
pacs,dinov2_b14,cartoon,1,random,9,sketch__block_01,976,0.6714954279273891,0.6706562572237164,0.0012512679851026244,2,10,1,3
pacs,dinov2_b14,cartoon,1,random,10,art_painting__block_02,501,0.694165615758559,0.6706562572237164,0.03505425958771064,8,10,1,8
pacs,dinov2_b14,cartoon,1,random,11,sketch__block_02,963,0.6793991551941877,0.6706562572237164,0.013036332512073917,4,10,1,2
pacs,dinov2_b14,cartoon,1,random,12,sketch__block_01,976,0.6714954279273891,0.6706562572237164,0.0012512679851026244,2,10,1,3
pacs,dinov2_b14,cartoon,1,random,13,art_painting__block_01,522,0.6873479079900052,0.6706562572237164,0.024888533561718332,7,10,1,5
pacs,dinov2_b14,cartoon,1,random,14,art_painting__block_02,501,0.694165615758559,0.6706562572237164,0.03505425958771064,8,10,1,8
pacs,dinov2_b14,cartoon,1,random,15,photo__block_01,415,0.7473320510487542,0.6706562572237164,0.11432949890372898,10,10,1,11
pacs,dinov2_b14,cartoon,1,random,16,sketch__block_00,1032,0.6788795901201758,0.6706562572237164,0.01226162107321749,3,10,1,1
pacs,dinov2_b14,cartoon,1,random,17,photo__block_01,415,0.7473320510487542,0.6706562572237164,0.11432949890372898,10,10,1,11
pacs,dinov2_b14,cartoon,1,random,18,sketch__block_00,1032,0.6788795901201758,0.6706562572237164,0.01226162107321749,3,10,1,1
pacs,dinov2_b14,cartoon,1,random,19,art_painting__block_02,501,0.694165615758559,0.6706562572237164,0.03505425958771064,8,10,1,8
pacs,dinov2_b14,cartoon,1,second_moment_mmd,-1,art_painting__block_01,522,0.6873479079900052,0.6706562572237164,0.024888533561718332,7,10,1,5
pacs,dinov2_b14,cartoon,1,size,-1,sketch__block_00,1032,0.6788795901201758,0.6706562572237164,0.01226162107321749,3,10,1,1
