encoder,target,candidate_sources,primary_oracles,distinct_primary_oracles,shared_tie_optimal_sources,has_shared_tie_optimal_source,pairwise_spearman_mean,pairwise_spearman_min,top1_margin_mean,top1_margin_min,utility_range_mean,source_split_std_mean
clip_b32,beans,21,20260905:cifar10|20260906:cifar10|20260907:cifar10,1,cifar10,True,0.8844155844155844,0.861038961038961,0.003932946901179994,0.0034816277442173416,0.02488716939892947,0.003362718114239548
dinov2_b14,food101,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.9532467532467533,0.9363636363636364,0.0025333301941553956,0.0020399989366531868,0.031466659394899975,0.000779299992194804
dinov2_b14,gtsrb,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.9575757575757576,0.9545454545454546,0.009853328681786863,0.009639997851848658,0.03668000397443764,0.0012570570076216583
dinov2_b14,oxford_pets,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.9497835497835498,0.9415584415584416,0.0026811582033617145,0.001956511165784769,0.017880433853985595,0.0004948303296055379
resnet50,beans,21,20260905:rendered_sst2|20260906:rendered_sst2|20260907:rendered_sst2,1,rendered_sst2,True,0.8675324675324676,0.8350649350649351,0.012185687845096105,0.009284329506599298,0.033010957657637584,0.0022213501518325855
resnet50,dtd,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.964935064935065,0.951948051948052,0.0044148874282837385,0.0037233996391297097,0.06907802025477094,0.0010438283566117795
resnet50,eurosat,21,20260905:tiny_imagenet|20260906:dermamnist|20260907:dermamnist,2,,False,0.9623376623376624,0.9493506493506494,0.0008533311231930796,0.0003600023174283873,0.014453331604003972,0.0006430771593000399
resnet50,flowers102,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.8735930735930736,0.8519480519480519,0.004183004697163891,0.0007843136787414329,0.03679738998413092,0.0031467424637534047
resnet50,food101,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:stl10,2,,False,0.9458874458874459,0.938961038961039,0.00045333761771519193,2.443790392270273e-09,0.06222667390108105,0.0013665597233594225
resnet50,gtsrb,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.9731601731601732,0.9688311688311688,0.007973336756229354,0.007280018062591487,0.047480001373291,0.0012896204260409965
resnet50,oxford_pets,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.9406926406926407,0.9246753246753247,0.003442034309972919,0.0020652198985866566,0.043894928130118784,0.0008325439926402242
vit_b16,beans,21,20260905:stl10|20260906:stl10|20260907:fashion_mnist,2,,False,0.7103896103896105,0.6454545454545455,0.0036105732161486235,0.0005802613508308907,0.027981941523973153,0.0026270079239541283
vit_b16,dtd,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:cifar100,2,,False,0.9251082251082251,0.9246753246753247,0.0009751717249552779,0.0002127528190613015,0.025797873338063604,0.0011290033887951369
vit_b16,eurosat,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.9813852813852814,0.9766233766233766,0.0013200117158889506,0.0011600156092643754,0.01934668383598322,0.0005315442571759319
vit_b16,flowers102,21,20260905:stl10|20260906:tiny_imagenet|20260907:stl10,2,,False,0.7841548035681462,0.7623376623376623,0.002941186428070064,0.00019608020782468927,0.048300655682881666,0.002891864943446421
vit_b16,food101,21,20260905:cifar100|20260906:cifar100|20260907:tiny_imagenet,2,,False,0.9125541125541125,0.9064935064935065,0.001613332748413095,0.000320006811618867,0.035666670215129835,0.0014091395714886852
vit_b16,gtsrb,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.9640692640692641,0.9597402597402598,0.005573328237533537,0.004440000131130217,0.042959998554388625,0.0008706637967672781
vit_b16,oxford_pets,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.8987012987012987,0.8792207792207792,0.0016666669906049147,0.0013043516777132558,0.013297104528848655,0.0006943762830937401
