encoder,source,source_domain,adapter_seed,target,validation_accuracy,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
resnet50,pathmnist,medical,0,eurosat,0.9125248193740845,0.9022222757339478,500,600,256,128,0.01,1.2791780456900597,0.01940854825079441,npu:6
resnet50,pathmnist,medical,0,flowers102,0.6372549533843994,0.6749999523162842,500,600,256,128,0.01,1.2791780456900597,0.020712336525321007,npu:6
resnet50,pathmnist,medical,0,food101,0.4188119173049927,0.4485999643802643,500,600,256,128,0.01,1.2791780456900597,0.022591250017285347,npu:6
resnet50,pathmnist,medical,0,gtsrb,0.6715830564498901,0.5733999609947205,500,600,256,128,0.01,1.2791780456900597,0.021315576508641243,npu:6
resnet50,pathmnist,medical,0,oxford_pets,0.8876859545707703,0.8934314250946045,500,600,256,128,0.01,1.2791780456900597,0.020497454330325127,npu:6
resnet50,pathmnist,medical,1,beans,0.8701923489570618,0.8671875,500,600,256,128,0.01,1.266591852530837,0.016497217118740082,npu:6
resnet50,pathmnist,medical,1,dtd,0.625,0.6218085289001465,500,600,256,128,0.01,1.266591852530837,0.01932481862604618,npu:6
resnet50,pathmnist,medical,1,eurosat,0.9045724868774414,0.9092592597007751,500,600,256,128,0.01,1.266591852530837,0.02171819843351841,npu:6
resnet50,pathmnist,medical,1,flowers102,0.6862745881080627,0.6827999353408813,500,600,256,128,0.01,1.266591852530837,0.019313238561153412,npu:6
resnet50,pathmnist,medical,1,food101,0.4128713011741638,0.4421999752521515,500,600,256,128,0.01,1.266591852530837,0.021728476509451866,npu:6
resnet50,pathmnist,medical,1,gtsrb,0.6794494390487671,0.5866000056266785,500,600,256,128,0.01,1.266591852530837,0.021188024431467056,npu:6
resnet50,pathmnist,medical,1,oxford_pets,0.8930987119674683,0.8931588530540466,500,600,256,128,0.01,1.266591852530837,0.02057068422436714,npu:6
resnet50,pathmnist,medical,2,beans,0.822115421295166,0.8671875,500,600,256,128,0.01,1.2178076580166817,0.017070190981030464,npu:6
resnet50,pathmnist,medical,2,dtd,0.6289893388748169,0.6234042644500732,500,600,256,128,0.01,1.2178076580166817,0.019498292356729507,npu:6
resnet50,pathmnist,medical,2,eurosat,0.9145128726959229,0.9077777862548828,500,600,256,128,0.01,1.2178076580166817,0.020309703424572945,npu:6
resnet50,pathmnist,medical,2,flowers102,0.6519608497619629,0.6733999252319336,500,600,256,128,0.01,1.2178076580166817,0.019249947741627693,npu:6
resnet50,pathmnist,medical,2,food101,0.40792080760002136,0.4411999583244324,500,600,256,128,0.01,1.2178076580166817,0.038606468588113785,npu:6
resnet50,pathmnist,medical,2,gtsrb,0.6843658089637756,0.5741999745368958,500,600,256,128,0.01,1.2178076580166817,0.0254067312926054,npu:6
resnet50,pathmnist,medical,2,oxford_pets,0.894451916217804,0.8907058835029602,500,600,256,128,0.01,1.2178076580166817,0.02169571816921234,npu:6
resnet50,pathmnist,medical,3,beans,0.831730842590332,0.859375,500,600,256,128,0.01,1.1712487190961838,0.01675396040081978,npu:6
resnet50,pathmnist,medical,3,dtd,0.6422872543334961,0.6382979154586792,500,600,256,128,0.01,1.1712487190961838,0.034883713349699974,npu:6
resnet50,pathmnist,medical,3,eurosat,0.903578519821167,0.9029629826545715,500,600,256,128,0.01,1.1712487190961838,0.024031389504671097,npu:6
resnet50,pathmnist,medical,3,flowers102,0.6568628549575806,0.6823999881744385,500,600,256,128,0.01,1.1712487190961838,0.019873611629009247,npu:6
resnet50,pathmnist,medical,3,food101,0.4277228116989136,0.43719998002052307,500,600,256,128,0.01,1.1712487190961838,0.02312932163476944,npu:6
resnet50,pathmnist,medical,3,gtsrb,0.6755162477493286,0.58079993724823,500,600,256,128,0.01,1.1712487190961838,0.023582283407449722,npu:6
resnet50,pathmnist,medical,3,oxford_pets,0.907983660697937,0.8877077698707581,500,600,256,128,0.01,1.1712487190961838,0.020081212744116783,npu:6
resnet50,pathmnist,medical,4,beans,0.841346263885498,0.875,500,600,256,128,0.01,1.2395203653723001,0.016388989984989166,npu:6
resnet50,pathmnist,medical,4,dtd,0.6223404407501221,0.6265957355499268,500,600,256,128,0.01,1.2395203653723001,0.01917656697332859,npu:6
resnet50,pathmnist,medical,4,eurosat,0.9085487127304077,0.9100000262260437,500,600,256,128,0.01,1.2395203653723001,0.02106008492410183,npu:6
resnet50,pathmnist,medical,4,flowers102,0.6568628549575806,0.6669999361038208,500,600,256,128,0.01,1.2395203653723001,0.019660308957099915,npu:6
resnet50,pathmnist,medical,4,food101,0.42277228832244873,0.4413999617099762,500,600,256,128,0.01,1.2395203653723001,0.02336127497255802,npu:6
resnet50,pathmnist,medical,4,gtsrb,0.6774827837944031,0.5776000022888184,500,600,256,128,0.01,1.2395203653723001,0.021270783618092537,npu:6
resnet50,pathmnist,medical,4,oxford_pets,0.8958051204681396,0.8890705108642578,500,600,256,128,0.01,1.2395203653723001,0.01973058097064495,npu:6
resnet50,pneumoniamnist,medical,0,beans,0.8509616255760193,0.8828125,500,600,256,128,0.01,1.27354577742517,0.017903214320540428,npu:6
resnet50,pneumoniamnist,medical,0,dtd,0.6196808815002441,0.6228722929954529,500,600,256,128,0.01,1.27354577742517,0.02191247045993805,npu:6
resnet50,pneumoniamnist,medical,0,eurosat,0.8926440477371216,0.8992592096328735,500,600,256,128,0.01,1.27354577742517,0.02160573936998844,npu:6
resnet50,pneumoniamnist,medical,0,flowers102,0.6029412746429443,0.670799970626831,500,600,256,128,0.01,1.27354577742517,0.01916447840631008,npu:6
resnet50,pneumoniamnist,medical,0,food101,0.393069326877594,0.43699997663497925,500,600,256,128,0.01,1.27354577742517,0.024627037346363068,npu:6
resnet50,pneumoniamnist,medical,0,gtsrb,0.6538839936256409,0.5787999629974365,500,600,256,128,0.01,1.27354577742517,0.02238547056913376,npu:6
resnet50,pneumoniamnist,medical,0,oxford_pets,0.9066305160522461,0.8890705108642578,500,600,256,128,0.01,1.27354577742517,0.021025415509939194,npu:6
resnet50,pneumoniamnist,medical,1,beans,0.8557692766189575,0.875,500,600,256,128,0.01,1.2148509249091148,0.01594325713813305,npu:6
resnet50,pneumoniamnist,medical,1,dtd,0.644946813583374,0.6164894104003906,500,600,256,128,0.01,1.2148509249091148,0.02161460556089878,npu:6
resnet50,pneumoniamnist,medical,1,eurosat,0.9015903472900391,0.8933333158493042,500,600,256,128,0.01,1.2148509249091148,0.021298276260495186,npu:6
