encoder,target,shortlist_size,dpp_minus_rank_best_recall,dpp_minus_rank_top3_recall,dpp_minus_rank_validation_regret,dpp_minus_rank_normalized_validation_regret,dpp_minus_rank_test_regret,shortlist_jaccard
resnet50,dtd,5,0.0,-0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
resnet50,dtd,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
resnet50,eurosat,3,0.0,0.0,0.000596427917480491,0.030928109084144104,-0.0037036895751952903,0.5
resnet50,eurosat,5,0.0,0.0,0.000596427917480491,0.030928109084144104,-0.0037036895751952903,0.6666666666666666
resnet50,eurosat,10,-1.0,-0.3333333333333333,0.0019881010055541326,0.10309410905817641,-0.001703727245330855,0.8181818181818182
resnet50,flowers102,3,0.0,0.0,-0.0019608020782470037,-0.03571461141111287,-0.012919986248016269,0.5
resnet50,flowers102,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
resnet50,flowers102,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
resnet50,food101,3,0.0,-0.3333333333333333,0.0005940675735473522,0.009063569937843977,-0.011479997634887718,0.5
resnet50,food101,5,0.0,-0.3333333333333333,0.0005940675735473522,0.009063569937843977,-0.011479997634887718,0.6666666666666666
resnet50,food101,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
resnet50,gtsrb,3,0.0,0.3333333333333333,0.0,0.0,0.0,0.5
resnet50,gtsrb,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
resnet50,gtsrb,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
resnet50,oxford_pets,3,0.0,0.0,0.0,0.0,0.0,0.5
resnet50,oxford_pets,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
resnet50,oxford_pets,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
vit_b16,beans,3,0.0,0.0,0.0,0.0,0.0,0.5
vit_b16,beans,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
vit_b16,beans,10,0.0,-0.6666666666666667,0.0,0.0,0.0,0.6666666666666666
vit_b16,dtd,3,0.0,-0.3333333333333333,0.0,0.0,0.0,0.5
vit_b16,dtd,5,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666
vit_b16,dtd,10,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
vit_b16,eurosat,3,-1.0,-0.3333333333333333,0.0025845050811768022,0.14130492166129496,-0.0015555620193481445,0.5
vit_b16,eurosat,5,-1.0,-0.3333333333333333,0.0025845050811768022,0.14130492166129496,-0.0015555620193481445,0.6666666666666666
vit_b16,eurosat,10,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
vit_b16,flowers102,3,1.0,0.3333333333333333,-0.00784312486648564,-0.15094314083253058,0.005840051174163863,0.5
vit_b16,flowers102,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
vit_b16,flowers102,10,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
vit_b16,food101,3,0.0,0.0,0.0,0.0,0.0,0.5
vit_b16,food101,5,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666
vit_b16,food101,10,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
vit_b16,gtsrb,3,0.0,0.0,0.0,0.0,0.0,0.5
vit_b16,gtsrb,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
vit_b16,gtsrb,10,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
vit_b16,oxford_pets,3,0.0,-0.3333333333333333,0.002706360816955633,0.14925394721617735,-0.00043610334396371186,0.5
vit_b16,oxford_pets,5,0.0,-0.3333333333333333,0.00027061700820929513,0.01492434283190116,0.009157800674438388,0.6666666666666666
vit_b16,oxford_pets,10,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
