encoder,construction_seed,overlap,budget,method,replicate,selected,merged_reff,unique_lineages,lineage_duplicate_count,unique_datasets,selected_alias_parent_pairs,max_selected_sample_overlap,mean_selected_sample_overlap,selection_seconds_for_max_budget,metric_seconds,shared_statistics_seconds,alignment_global_lineage_auroc,alignment_global_lineage_auprc,alignment_parent_matched_auroc,alignment_parent_matched_auprc,alignment_parent_top1_accuracy,alignment_parent_mean_reciprocal_rank,alignment_parent_ground_truth_defined,alignment_zero_overlap_designated_parent_top1_accuracy,collapse_differs_from_rank,rank_l_differs_from_rank,rank_l_certified_steps,rank_l_all_steps_certified,rank_l_max_chosen_log_error_bound,collapse_minus_rank_reff,dpp_minus_rank_reff,rank_l_minus_rank_reff,rank_l_selected_approximate_log_reff,rank_l_selected_exact_log_reff,rank_l_selected_absolute_log_error,rank_l_selected_log_error_bound,rank_l_selected_interval_covers_exact,rank_l_matches_exact_greedy_prefix,collection_seconds
vit_b16,20260910,0.75,3,lineage_deduplicated_rank,0,dtd__pool3|cifar100__pool2|cifar100__pool1,506.1272346706938,3,0,2,0,0.0,0.0,3.132037818431854e-05,0.11610757559537888,2.2035582326352596,1.0,1.0,1.0,1.0,1.0,1.0,True,nan,True,True,0,False,6.000208969150639,-31.436691673891517,3.1077487295851256,-28.033303497774966,3.296160841586926,6.1698072219161,2.8736463803291743,6.000208969150639,True,,7.786635264754295
vit_b16,20260910,0.75,5,lineage_deduplicated_rank,0,dtd__pool3|cifar100__pool2|cifar100__pool1|cifar100__pool3|dtd__pool2,572.3980986015315,5,0,2,0,0.0,0.0,3.132037818431854e-05,0.11499430052936077,2.2035582326352596,1.0,1.0,1.0,1.0,1.0,1.0,True,nan,True,True,0,False,6.079563346531396,-54.1308655153025,-6.391145930849916,-9.301337889694082,3.7275279025191774,6.33345147964562,2.605923577126443,6.071082627744327,True,,7.786639025434852
vit_b16,20260910,0.75,8,lineage_deduplicated_rank,0,dtd__pool3|cifar100__pool2|cifar100__pool1|cifar100__pool3|dtd__pool2|dtd__alias|cifar100__pool0|dtd__pool1,598.3587900000462,8,0,2,0,0.0,0.0,3.132037818431854e-05,0.13068828731775284,2.2035582326352596,1.0,1.0,1.0,1.0,1.0,1.0,True,nan,True,True,0,False,6.079563346531396,-2.0131066724242146,4.693247790212581,-6.386604811601842,4.084782417757585,6.372558078231323,2.2877756604737387,5.953452927748106,True,,7.786643164232373
vit_b16,20260910,0.75,10,lineage_deduplicated_rank,0,dtd__pool3|cifar100__pool2|cifar100__pool1|cifar100__pool3|dtd__pool2|dtd__alias|cifar100__pool0|dtd__pool1|cifar10__pool3|cifar10__pool1,611.2112516293357,10,0,3,0,0.0,0.0,3.132037818431854e-05,0.14418240077793598,2.2035582326352596,1.0,1.0,1.0,1.0,1.0,1.0,True,nan,True,True,0,False,6.079563346531396,-1.5916157281026244e-12,1.428378809167043,1.002773152675445,4.24875218257997,6.394289236208157,2.1455370536281864,5.922140993229951,True,,7.786646254360676
vit_b16,20260910,1.0,3,rank_only,0,dtd__pool3|cifar100__pool2|cifar100__pool1,506.1272346706938,3,0,2,0,0.0,0.0,2.6639550924301147e-05,0.113467738032341,3.298022571951151,1.0,1.0,1.0,1.0,1.0,1.0,True,nan,True,True,0,False,6.0002089691506395,-32.34434388915008,3.1077487295851256,-28.033303497774966,3.296160841586927,6.1698072219161,2.8736463803291734,6.0002089691506395,True,,9.686645584180951
vit_b16,20260910,1.0,5,rank_only,0,dtd__pool3|cifar100__pool2|cifar100__pool1|cifar100__alias|cifar100__pool3,542.6824224849433,4,1,2,1,1.0,0.1,2.6639550924301147e-05,0.1224660873413086,3.298022571951151,1.0,1.0,1.0,1.0,1.0,1.0,True,nan,True,True,0,False,6.079563346531395,-31.697816178153857,23.232691833215313,20.414338226895552,3.7275279025191765,6.333451479645623,2.6059235771264464,6.071082627744327,True,,9.686654705554247
vit_b16,20260910,1.0,8,rank_only,0,dtd__pool3|cifar100__pool2|cifar100__pool1|cifar100__alias|cifar100__pool3|dtd__pool2|cifar100__pool0|dtd__pool0,589.5890221511636,7,1,2,1,1.0,0.03571428571428571,2.6639550924301147e-05,0.12750467658042908,3.298022571951151,1.0,1.0,1.0,1.0,1.0,1.0,True,nan,True,True,0,False,6.079563346531395,-1.9952256864744413,7.145589871370703,-3.479397029416873,4.0837388045830565,6.37350684566753,2.289768041084473,5.953592273155934,True,,9.686663884669542
vit_b16,20260910,1.0,10,rank_only,0,dtd__pool3|cifar100__pool2|cifar100__pool1|cifar100__alias|cifar100__pool3|dtd__pool2|cifar100__pool0|dtd__pool0|dtd__alias|dtd__pool1,594.32989773066,8,2,2,2,1.0,0.044444444444444446,2.6639550924301147e-05,0.14939062297344208,3.298022571951151,1.0,1.0,1.0,1.0,1.0,1.0,True,nan,True,True,0,False,6.079563346531395,-1.0231815394945443e-12,4.261298358212002,4.456338678816223,4.247909870625611,6.394904666993192,2.146994796367581,5.92224859293926,True,,9.68667214550078
vit_b16,20260910,1.0,3,rank_l_gram,0,dtd__alias|cifar10__alias|eurosat__alias,478.0939311729188,3,0,3,0,0.0,0.0,2.894355982542038,0.11083216033875942,3.298022571951151,1.0,1.0,1.0,1.0,1.0,1.0,True,nan,True,True,0,False,6.0002089691506395,-32.34434388915008,3.1077487295851256,-28.033303497774966,3.296160841586927,6.1698072219161,2.8736463803291734,6.0002089691506395,True,,9.686677204445004
vit_b16,20260910,1.0,5,rank_l_gram,0,dtd__alias|cifar10__alias|eurosat__alias|cifar100__pool2|dtd__pool1,563.0967607118389,5,0,4,0,0.0,0.0,2.894355982542038,0.10589711926877499,3.298022571951151,1.0,1.0,1.0,1.0,1.0,1.0,True,nan,True,True,0,False,6.079563346531395,-31.697816178153857,23.232691833215313,20.414338226895552,3.7275279025191765,6.333451479645623,2.6059235771264464,6.071082627744327,True,,9.686681745573878
vit_b16,20260910,1.0,8,rank_l_gram,0,dtd__alias|cifar10__alias|eurosat__alias|cifar100__pool2|dtd__pool1|dtd__pool3|svhn__pool2|cifar100__alias,586.1096251217467,8,0,5,0,0.0,0.0,2.894355982542038,0.11608337797224522,3.298022571951151,1.0,1.0,1.0,1.0,1.0,1.0,True,nan,True,True,0,False,6.079563346531395,-1.9952256864744413,7.145589871370703,-3.479397029416873,4.0837388045830565,6.37350684566753,2.289768041084473,5.953592273155934,True,,9.686685984954238
vit_b16,20260910,1.0,10,rank_l_gram,0,dtd__alias|cifar10__alias|eurosat__alias|cifar100__pool2|dtd__pool1|dtd__pool3|svhn__pool2|cifar100__alias|dtd__pool2|cifar10__pool1,598.7862364094763,10,0,5,0,0.0,0.0,2.894355982542038,0.12983280420303345,3.298022571951151,1.0,1.0,1.0,1.0,1.0,1.0,True,nan,True,True,0,False,6.079563346531395,-1.0231815394945443e-12,4.261298358212002,4.456338678816223,4.247909870625611,6.394904666993192,2.146994796367581,5.92224859293926,True,,9.686690213158727
vit_b16,20260910,1.0,3,collapse_sketch,0,dtd__pool3|dtd__pool2|dtd__pool0,473.7828907815437,3,0,1,0,0.0,0.0,0.14377617835998535,0.09332180768251419,3.298022571951151,1.0,1.0,1.0,1.0,1.0,1.0,True,nan,True,True,0,False,6.0002089691506395,-32.34434388915008,3.1077487295851256,-28.033303497774966,3.296160841586927,6.1698072219161,2.8736463803291734,6.0002089691506395,True,,9.686694333329797
vit_b16,20260910,1.0,5,collapse_sketch,0,dtd__pool3|dtd__pool2|dtd__pool0|dtd__alias|dtd__pool1,510.9846063067895,4,1,1,1,1.0,0.1,0.14377617835998535,0.1010874155908823,3.298022571951151,1.0,1.0,1.0,1.0,1.0,1.0,True,nan,True,True,0,False,6.079563346531395,-31.697816178153857,23.232691833215313,20.414338226895552,3.7275279025191765,6.333451479645623,2.6059235771264464,6.071082627744327,True,,9.686698373407125
vit_b16,20260910,1.0,8,collapse_sketch,0,dtd__pool3|dtd__pool2|dtd__pool0|dtd__alias|dtd__pool1|cifar100__pool2|cifar100__pool1|cifar100__alias,587.5937964646891,7,1,2,1,1.0,0.03571428571428571,0.14377617835998535,0.12218489497900009,3.298022571951151,1.0,1.0,1.0,1.0,1.0,1.0,True,nan,True,True,0,False,6.079563346531395,-1.9952256864744413,7.145589871370703,-3.479397029416873,4.0837388045830565,6.37350684566753,2.289768041084473,5.953592273155934,True,,9.686702804639935
