encoder,method,budget,configurations,merged_reff_mean,merged_reff_std,unique_lineages_mean,lineage_duplicate_count_mean,unique_datasets_mean,selected_alias_parent_pairs_mean,max_selected_sample_overlap_mean,selection_seconds_for_max_budget_mean,metric_seconds_mean
dinov2_b14,lineage_oracle,5,60,604.3672335121898,0.9728259360517724,5.0,0.0,2.0,0.0,0.0,3.3653744806845984e-05,0.08586144729827841
dinov2_b14,lineage_oracle,8,60,628.1713487990913,0.8104055396790129,8.0,0.0,2.0,0.0,0.0,3.3653744806845984e-05,0.08822233406826854
dinov2_b14,lineage_oracle,10,60,648.2162430873451,0.6490327326329752,10.0,0.0,3.0,0.0,0.0,3.3653744806845984e-05,0.09059947216883302
dinov2_b14,rank_only,3,60,513.0268341853133,36.55723799261992,2.8,0.2,1.0,0.2,0.11006666666666667,2.4977605789899826e-05,0.07733991798013448
dinov2_b14,rank_only,5,60,586.7215770566039,10.185251706820365,4.0,1.0,1.0,1.0,0.43333333333333335,2.4977605789899826e-05,0.08587714213257035
dinov2_b14,rank_only,8,60,625.6964718330263,5.779519755450886,6.683333333333334,1.3166666666666667,2.0,1.3166666666666667,0.43333333333333335,2.4977605789899826e-05,0.08817390200371543
dinov2_b14,rank_only,10,60,631.4870662988957,4.547166369252096,8.0,2.0,2.0,2.0,0.43333333333333335,2.4977605789899826e-05,0.09042899167786042
resnet50,collapse,3,60,556.2997929526636,1.2526174464879432,2.95,0.05,2.0,0.05,0.0,19.020724285331866,0.08792569634194175
resnet50,collapse,5,60,819.2138231821025,30.85801032234,4.683333333333334,0.31666666666666665,2.0,0.31666666666666665,0.0774,19.020724285331866,0.22785705824693045
resnet50,collapse,8,60,1057.5835232871848,55.865625366885894,6.65,1.35,2.0,1.35,0.43333333333333335,19.020724285331866,0.5605668818267683
resnet50,collapse,10,60,1166.7088925247067,35.6417734248978,8.0,2.0,2.0,2.0,0.43333333333333335,19.020724285331866,0.6552532978045443
resnet50,dpp_subspace,3,60,555.9666088876085,1.5917262907807077,2.966666666666667,0.03333333333333333,2.0,0.03333333333333333,0.0,0.008876831705371539,0.08813274471710125
resnet50,dpp_subspace,5,60,825.112868202112,6.679443080237159,4.966666666666667,0.03333333333333333,3.716666666666667,0.03333333333333333,0.0,0.008876831705371539,0.22801390485838055
resnet50,dpp_subspace,8,60,1114.696276459622,3.727969034008168,7.75,0.25,4.0,0.25,0.012466666666666664,0.008876831705371539,0.5670565406170984
resnet50,dpp_subspace,10,60,1205.4032256533285,5.909100805594507,9.383333333333333,0.6166666666666667,4.0,0.6166666666666667,0.058,0.008876831705371539,0.6581058971273402
resnet50,facility_subspace,3,60,529.3516398344905,2.556373182066798,3.0,0.0,3.0,0.0,0.0,0.0016526870739956697,0.08878845712170005
resnet50,facility_subspace,5,60,766.4327865051639,2.76125495081306,5.0,0.0,5.0,0.0,0.0,0.0016526870739956697,0.22799633865555127
resnet50,facility_subspace,8,60,1083.6866377240306,5.39011285100194,7.766666666666667,0.23333333333333334,5.0,0.23333333333333334,0.006666666666666667,0.0016526870739956697,0.5706912977310519
resnet50,facility_subspace,10,60,1181.509662228855,5.156794539508543,9.583333333333334,0.4166666666666667,5.0,0.4166666666666667,0.019133333333333336,0.0016526870739956697,0.6618883088851969
resnet50,lineage_oracle,3,60,525.4531662793672,2.1288988298988616,3.0,0.0,1.0,0.0,0.0,4.101206238071124e-05,0.0886735759365062
resnet50,lineage_oracle,5,60,806.9757871914844,2.7822804352766286,5.0,0.0,2.0,0.0,0.0,4.101206238071124e-05,0.22808314564948282
resnet50,lineage_oracle,8,60,1121.5437332372485,2.666663749392302,8.0,0.0,2.0,0.0,0.0,4.101206238071124e-05,0.5674407760612666
resnet50,lineage_oracle,10,60,1215.1813235943362,2.1747347609266052,10.0,0.0,3.0,0.0,0.0,4.101206238071124e-05,0.6566371484349172
resnet50,rank_only,3,60,481.92849744209906,58.80727196368847,2.466666666666667,0.5333333333333333,1.0,0.5333333333333333,0.29013333333333335,2.838165188829104e-05,0.08902684530864159
resnet50,rank_only,5,60,707.7148152481954,42.10051321862509,4.0,1.0,1.0,1.0,0.43333333333333335,2.838165188829104e-05,0.21571361956497034
resnet50,rank_only,8,60,1054.1123466003396,59.1058453497759,6.6,1.4,2.0,1.4,0.43333333333333335,2.838165188829104e-05,0.5538917049455147
resnet50,rank_only,10,60,1166.7095852727773,35.640572706536645,8.0,2.0,2.0,2.0,0.43333333333333335,2.838165188829104e-05,0.6537729968316853
vit_b16,collapse,3,60,503.5414842328052,1.3255952221176854,2.95,0.05,2.0,0.05,0.0,3.972681613514821,0.07041894334057967
vit_b16,collapse,5,60,570.9599713625394,1.484430877270204,4.833333333333333,0.16666666666666666,2.0,0.16666666666666666,0.014933333333333331,3.972681613514821,0.07767112394794821
vit_b16,collapse,8,60,601.1852645886971,2.5253494433282118,7.516666666666667,0.48333333333333334,2.8,0.48333333333333334,0.07400000000000001,3.972681613514821,0.0808690325046579
vit_b16,collapse,10,60,607.7252481858626,2.4033735217149776,8.75,1.25,3.0,1.25,0.4,3.972681613514821,0.0828083126184841
vit_b16,dpp_subspace,3,60,507.3130348026058,0.7560271188500902,3.0,0.0,3.0,0.0,0.0,0.00858186511322856,0.07042929505308469
vit_b16,dpp_subspace,5,60,576.1951336941581,0.9112815939322192,4.933333333333334,0.06666666666666667,3.0,0.06666666666666667,0.0,0.00858186511322856,0.07801829433689515
vit_b16,dpp_subspace,8,60,597.7136338996271,0.8653384180687467,7.833333333333333,0.16666666666666666,4.0,0.16666666666666666,0.005000000000000001,0.00858186511322856,0.0810583562279741
