encoder,target,shortlist_size,dpp_minus_rank_best_recall,dpp_minus_rank_top3_recall,dpp_minus_rank_validation_regret,dpp_minus_rank_normalized_validation_regret,dpp_minus_rank_test_regret,shortlist_jaccard
vit_b16,eurosat,10,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
vit_b16,flowers102,3,0.0,0.0,-0.0019607782363891824,-0.027777683955678145,0.005840051174163863,0.5
vit_b16,flowers102,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
vit_b16,flowers102,10,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
vit_b16,food101,3,-1.0,0.0,0.008910894393920898,0.17241383287137194,0.0015199899673462025,0.5
vit_b16,food101,5,-1.0,-0.33333333333333337,0.008910894393920898,0.17241383287137194,0.0015199899673462025,0.6666666666666666
vit_b16,food101,10,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
vit_b16,gtsrb,3,0.0,0.0,0.0,0.0,0.0,0.5
vit_b16,gtsrb,5,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
vit_b16,gtsrb,10,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666
vit_b16,oxford_pets,3,0.0,-0.3333333333333333,0.0,0.0,0.0,0.5
vit_b16,oxford_pets,5,0.0,-0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
vit_b16,oxford_pets,10,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666
