encoder,target,shortlist_size,oracle_source_family,dpp_best_candidate_recall,rank_best_candidate_recall,dpp_validation_regret,rank_validation_regret,dpp_minus_rank_best_recall,dpp_minus_rank_top3_recall,dpp_minus_rank_validation_regret,dpp_minus_rank_normalized_validation_regret,dpp_minus_rank_test_regret,shortlist_jaccard,dpp_best_candidate_family_recall,rank_best_candidate_family_recall,dpp_minus_rank_best_family_recall
resnet50,flowers102,3,handwritten_digits,0.0,0.0,0.014771244525909388,0.01627451181411743,0.0,0.0,-0.0015032672882080433,-0.05122491187182798,0.006599986553192161,0.2,0.0,0.0,0.0
resnet50,flowers102,5,handwritten_digits,0.0,0.0,0.009411764144897528,0.014771244525909388,0.0,0.0,-0.005359480381011861,-0.18262814094982766,-0.0037999749183654785,0.42857142857142855,0.0,0.0,0.0
resnet50,flowers102,8,handwritten_digits,0.0,0.0,0.006405231952667179,0.014771244525909388,0.0,0.3333333333333333,-0.00836601257324221,-0.28507788345064333,0.002999985218048118,0.6,1.0,0.0,1.0
resnet50,food101,3,handwritten_digits,0.0,0.0,0.0013733349879582746,0.003146668887138382,0.0,0.3333333333333333,-0.0017733338991801073,-0.03197116128318096,-0.006800007820129406,0.2,0.0,0.0,0.0
resnet50,food101,5,handwritten_digits,0.0,0.0,0.0013733349879582746,0.0013733349879582746,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0
resnet50,food101,8,handwritten_digits,1.0,0.0,0.0,0.0013733349879582746,1.0,0.3333333333333333,-0.0013733349879582746,-0.024759643074634526,0.0019200086593628152,0.6,1.0,0.0,1.0
resnet50,gtsrb,3,dermamnist,0.0,0.0,0.007026662109692938,0.007333331323464698,0.0,0.3333333333333333,-0.0003066692137717597,-0.009319364611691361,-0.008719992637634233,0.2,0.0,0.0,0.0
resnet50,gtsrb,5,dermamnist,0.0,0.0,0.007026662109692938,0.007026662109692938,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0
resnet50,gtsrb,8,dermamnist,0.0,0.0,0.007026662109692938,0.007026662109692938,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
resnet50,oxford_pets,3,octmnist,0.0,0.0,0.0008695612577858114,0.00027173822556703087,0.0,-0.3333333333333333,0.0005978230322187805,0.015543964725205939,0.004088318347930886,0.2,0.0,0.0,0.0
resnet50,oxford_pets,5,octmnist,0.0,0.0,0.0008695612577858114,0.00027173822556703087,0.0,-0.3333333333333333,0.0005978230322187805,0.015543964725205939,0.004088318347930886,0.42857142857142855,0.0,0.0,0.0
resnet50,oxford_pets,8,octmnist,0.0,0.0,0.00027173822556703087,0.00027173822556703087,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
vit_b16,beans,3,fashion_mnist,1.0,0.0,0.0,0.005931653740481324,1.0,0.6666666666666666,-0.005931653740481324,-0.23115571370201363,0.03125,0.2,1.0,0.0,1.0
vit_b16,beans,5,fashion_mnist,1.0,1.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.42857142857142855,1.0,1.0,0.0
vit_b16,beans,8,fashion_mnist,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
vit_b16,dtd,3,organmnist_views,1.0,1.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,0.2,1.0,1.0,0.0
vit_b16,dtd,5,organmnist_views,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,1.0,1.0,0.0
vit_b16,dtd,8,organmnist_views,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
vit_b16,eurosat,3,handwritten_digits,0.0,0.0,0.0011466648006438485,0.0026533304961523507,0.0,0.0,-0.0015066656955085023,-0.09800514943980067,0.0016296386718750444,0.2,0.0,0.0,0.0
vit_b16,eurosat,5,handwritten_digits,0.0,0.0,0.0005466640901564679,0.0011466648006438485,0.0,0.3333333333333333,-0.0006000007104873806,-0.03902867070684592,0.00014815330505368873,0.42857142857142855,0.0,0.0,0.0
vit_b16,eurosat,8,handwritten_digits,0.0,0.0,0.0005466640901564679,0.0005466640901564679,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0
vit_b16,flowers102,3,breastmnist,0.0,0.0,0.0008496721585590228,0.0016993506749469756,0.0,0.3333333333333333,-0.0008496785163879528,-0.020472565395545015,0.0010799765586853027,0.2,0.0,0.0,0.0
vit_b16,flowers102,5,breastmnist,0.0,0.0,0.0008496721585590228,0.0008496721585590228,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0
vit_b16,flowers102,8,breastmnist,0.0,0.0,0.0008496721585590228,0.0008496721585590228,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0
vit_b16,food101,3,organmnist_views,1.0,1.0,0.0,0.0,0.0,-0.6666666666666667,0.0,0.0,0.0,0.2,1.0,1.0,0.0
vit_b16,food101,5,organmnist_views,1.0,1.0,0.0,0.0,0.0,-0.6666666666666667,0.0,0.0,0.0,0.42857142857142855,1.0,1.0,0.0
vit_b16,food101,8,organmnist_views,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
vit_b16,gtsrb,3,svhn,1.0,0.0,0.0,0.0002533346382775914,1.0,0.3333333333333333,-0.0002533346382775914,-0.007140208472647496,-0.018959993124008145,0.2,1.0,0.0,1.0
vit_b16,gtsrb,5,svhn,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.42857142857142855,1.0,1.0,0.0
vit_b16,gtsrb,8,svhn,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
vit_b16,oxford_pets,3,organmnist_views,0.0,1.0,0.0026449251434078613,0.0,-1.0,-0.6666666666666667,0.0026449251434078613,0.23472645672010448,0.001417291164398149,0.2,1.0,1.0,0.0
vit_b16,oxford_pets,5,organmnist_views,0.0,1.0,0.0026449251434078613,0.0,-1.0,-0.6666666666666667,0.0026449251434078613,0.23472645672010448,0.001417291164398149,0.42857142857142855,1.0,1.0,0.0
vit_b16,oxford_pets,8,organmnist_views,0.0,1.0,0.0013043450218613861,0.0,-1.0,-0.33333333333333337,0.0013043450218613861,0.11575536876160969,0.0008721709251403587,0.7777777777777778,1.0,1.0,0.0
