method,shortlist_size,target,encoders,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean
facility_subspace,8,beans,4,0.75,0.75,0.00024178219006798507,0.026596032733899024,0.006249999999999978,0.5,1.0,0.9166666666666666,8.0,0.3846153846153846
facility_subspace,8,dtd,4,1.0,0.41666666666666663,0.0,0.0,0.0,0.5,1.0,0.7083333333333334,8.0,0.3846153846153846
facility_subspace,8,eurosat,4,0.75,0.5,0.00044000115076703317,0.031398728437102674,0.0008888840675354004,0.5,0.75,0.625,8.0,0.3846153846153846
facility_subspace,8,flowers102,4,0.25,0.5,0.0021405255794524902,0.06746633170386333,0.0034799963235855325,0.5,0.75,0.8333333333333334,8.0,0.3846153846153846
facility_subspace,8,food101,4,1.0,0.6666666666666666,0.0,0.0,0.0,0.5,1.0,1.0,8.0,0.3846153846153846
facility_subspace,8,gtsrb,4,0.75,0.6666666666666666,0.0006966682038704319,0.019635515481499697,0.0017599940299987682,0.5,0.75,0.8333333333333333,8.0,0.3846153846153846
facility_subspace,8,oxford_pets,4,0.5,0.41666666666666663,0.0008786216002984182,0.0643339681330275,0.001294636726379389,0.5,0.75,0.875,8.0,0.3846153846153846
full_merged_rank,3,beans,4,0.5,0.41666666666666663,0.0042875557119503305,0.15744242557283888,0.0,0.8125,0.5,0.4583333333333333,2.5,0.8076923076923077
full_merged_rank,3,dtd,4,0.5,0.25,0.0009264206886291371,0.0487094514769615,0.002978718280792214,0.8125,0.5,0.375,2.5,0.8076923076923077
full_merged_rank,3,eurosat,4,0.25,0.08333333333333333,0.0022166667850812005,0.16733303635319532,0.0037963062524795643,0.8125,0.25,0.08333333333333333,2.5,0.8076923076923077
full_merged_rank,3,flowers102,4,0.0,0.16666666666666666,0.005816991130510957,0.20680755857030925,0.0007900089025497381,0.8125,0.0,0.29166666666666663,2.5,0.8076923076923077
full_merged_rank,3,food101,4,0.75,0.25,0.0008266668607791322,0.014903848364738358,0.00020999759435653964,0.8125,0.75,0.5,2.5,0.8076923076923077
full_merged_rank,3,gtsrb,4,0.5,0.41666666666666663,0.002440000575184814,0.0796731311937392,0.0034399956464767345,0.8125,0.5,0.5416666666666666,2.5,0.8076923076923077
full_merged_rank,3,oxford_pets,4,0.5,0.3333333333333333,0.0008786216002984182,0.0643339681330275,0.001294636726379389,0.8125,0.75,0.5416666666666666,2.5,0.8076923076923077
full_merged_rank,5,beans,4,0.5,0.5,0.00425531695555445,0.156419883282777,-0.00390625,0.6875,0.5,0.5416666666666666,4.0,0.6923076923076923
full_merged_rank,5,dtd,4,0.75,0.5,0.0007579777638117569,0.040103145611714935,-0.00021276473999023993,0.6875,0.75,0.5416666666666666,4.0,0.6923076923076923
full_merged_rank,5,eurosat,4,0.25,0.16666666666666666,0.002066667162179958,0.15662897929122277,0.004481488466262812,0.6875,0.25,0.16666666666666666,4.0,0.6923076923076923
full_merged_rank,5,flowers102,4,0.25,0.25,0.00522875626881919,0.18888322755061782,0.002900007367134083,0.6875,0.25,0.375,4.0,0.6923076923076923
full_merged_rank,5,food101,4,0.75,0.5,0.00034333374698956864,0.006189910768658631,-0.0004800021648407038,0.6875,0.75,0.6666666666666666,4.0,0.6923076923076923
full_merged_rank,5,gtsrb,4,0.5,0.5,0.0023633332717418742,0.07734329004081636,0.0012599974870681763,0.6875,0.5,0.625,4.0,0.6923076923076923
full_merged_rank,5,oxford_pets,4,0.75,0.5833333333333333,6.793455639175772e-05,0.0017663627716998863,-8.176565170286976e-05,0.6875,0.75,0.7083333333333333,4.0,0.6923076923076923
full_merged_rank,8,beans,4,0.5,0.6666666666666666,0.003707284553830348,0.1390375035096324,-0.001953125,0.5,0.5,0.7083333333333333,6.5,0.5
full_merged_rank,8,dtd,4,1.0,0.75,0.0,0.0,0.0,0.5,1.0,0.8333333333333334,6.5,0.5
full_merged_rank,8,eurosat,4,0.25,0.41666666666666663,0.0015500007067124066,0.11681722438625383,0.004018518328666676,0.5,0.25,0.4583333333333333,6.5,0.5
full_merged_rank,8,flowers102,4,0.5,0.5833333333333333,0.0018627438942591668,0.08581563894293759,0.004280000925064087,0.5,0.75,0.6666666666666666,6.5,0.5
full_merged_rank,8,food101,4,1.0,0.8333333333333333,0.0,0.0,0.0,0.5,1.0,0.8333333333333333,6.5,0.5
full_merged_rank,8,gtsrb,4,0.5,0.6666666666666666,0.0023633332717418742,0.07734329004081636,0.0012599974870681763,0.5,0.5,0.75,6.5,0.5
full_merged_rank,8,oxford_pets,4,0.75,0.75,6.793455639175772e-05,0.0017663627716998863,-8.176565170286976e-05,0.5,0.75,0.7916666666666666,6.5,0.5
kcenter_subspace,3,beans,4,0.75,0.3333333333333333,0.001063829555694451,0.04145728846672235,-0.0031250000000000167,0.8125,0.75,0.5,3.0,0.7692307692307692
kcenter_subspace,3,dtd,4,0.5,0.16666666666666666,0.002637412150700874,0.08025567183497972,0.0002925515174865556,0.8125,0.5,0.29166666666666663,3.0,0.7692307692307692
kcenter_subspace,3,eurosat,4,0.25,0.08333333333333333,0.0025933342820405603,0.1918343935146848,0.004814824461936956,0.8125,0.25,0.16666666666666666,3.0,0.7692307692307692
