encoder,target_domain,metric,combination,empirical_loss,empirical_rank,bootstrap_top_q_frequency
resnet50,clipart,brier_score,infograph__clip_pc1_low|painting__clip_pc1_low|real__clip_pc1_low,0.9881151518785141,127,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|painting__clip_pc1_low|real__clip_pc1_middle,0.9883686855572187,252,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|painting__clip_pc1_low|sketch__clip_pc1_high,0.9886188328679398,385,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|painting__clip_pc1_low|sketch__clip_pc1_low,0.9882351751370944,185,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|painting__clip_pc1_low|sketch__clip_pc1_middle,0.9884716132675223,314,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|painting__clip_pc1_middle|quickdraw__clip_pc1_high,0.9887538608820325,427,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|painting__clip_pc1_middle|quickdraw__clip_pc1_low,0.9886331215412038,391,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|painting__clip_pc1_middle|quickdraw__clip_pc1_middle,0.9887012277882782,414,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|painting__clip_pc1_middle|real__clip_pc1_high,0.9884530842102323,302,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|painting__clip_pc1_middle|real__clip_pc1_low,0.9880383690926384,87,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|painting__clip_pc1_middle|real__clip_pc1_middle,0.9883399104723803,239,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|painting__clip_pc1_middle|sketch__clip_pc1_high,0.9885868323940374,372,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|painting__clip_pc1_middle|sketch__clip_pc1_low,0.9881880317412538,161,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|painting__clip_pc1_middle|sketch__clip_pc1_middle,0.9884230191074493,286,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|quickdraw__clip_pc1_high|quickdraw__clip_pc1_low,0.9890808277230667,453,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|quickdraw__clip_pc1_high|quickdraw__clip_pc1_middle,0.9891604757782219,454,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|quickdraw__clip_pc1_high|real__clip_pc1_high,0.9886247762175818,387,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|quickdraw__clip_pc1_high|real__clip_pc1_low,0.9882265738231101,181,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|quickdraw__clip_pc1_high|real__clip_pc1_middle,0.9885237545953739,339,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|quickdraw__clip_pc1_high|sketch__clip_pc1_high,0.9888716675616116,443,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|quickdraw__clip_pc1_high|sketch__clip_pc1_low,0.9883376633439187,237,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|quickdraw__clip_pc1_high|sketch__clip_pc1_middle,0.9886612974415292,403,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|quickdraw__clip_pc1_low|quickdraw__clip_pc1_middle,0.9890212209027591,452,0.0
