method,shortlist_size,target,encoders,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean
dpp_subspace,10,eurosat,4,0.5,0.75,0.00017667069653670708,0.014304400396308682,0.0012777805328368919,0.5238095238095238,0.5,0.75,8.5,0.5
dpp_subspace,10,flowers102,4,1.0,0.6666666666666666,0.0,0.0,0.0,0.5238095238095238,1.0,0.6666666666666666,8.5,0.5
dpp_subspace,10,food101,4,1.0,1.0,0.0,0.0,0.0,0.5238095238095238,1.0,1.0,8.5,0.5
dpp_subspace,10,gtsrb,4,1.0,0.75,0.0,0.0,0.0,0.5238095238095238,1.0,0.75,8.5,0.5
dpp_subspace,10,oxford_pets,4,1.0,0.8333333333333333,0.0,0.0,0.0,0.5238095238095238,1.0,0.9166666666666666,8.5,0.5
facility_subspace,3,beans,4,0.0,0.16666666666666666,0.009139268343330231,0.32772270456821423,0.004687499999999983,0.8571428571428572,0.25,0.25,3.0,0.8235294117647058
facility_subspace,3,dtd,4,0.25,0.3333333333333333,0.003036346634228998,0.08987033360207321,0.001063838601112338,0.8571428571428572,0.25,0.375,3.0,0.8235294117647058
facility_subspace,3,eurosat,4,0.0,0.3333333333333333,0.002363338238000834,0.17442539001121107,0.0032777845859527366,0.8571428571428572,0.0,0.3333333333333333,3.0,0.8235294117647058
facility_subspace,3,flowers102,4,0.25,0.3333333333333333,0.003954249819119793,0.10046555673124673,0.0005599975585937611,0.8571428571428572,0.25,0.41666666666666663,3.0,0.8235294117647058
facility_subspace,3,food101,4,0.25,0.3333333333333333,0.002280001166462889,0.05672358248886259,0.003099992871284485,0.8571428571428572,0.25,0.375,3.0,0.8235294117647058
facility_subspace,3,gtsrb,4,0.0,0.16666666666666666,0.00790000066975749,0.22080857485161415,0.004310008883476241,0.8571428571428572,0.0,0.25,3.0,0.8235294117647058
facility_subspace,3,oxford_pets,4,0.0,0.3333333333333333,0.002649457805344535,0.11489027531370975,0.002085044980049161,0.8571428571428572,0.0,0.41666666666666663,3.0,0.8235294117647058
facility_subspace,5,beans,4,0.5,0.41666666666666663,0.0015151532051026206,0.07789468411882039,0.009374999999999994,0.7619047619047619,0.75,0.5,5.0,0.7058823529411764
facility_subspace,5,dtd,4,0.25,0.5,0.0030230494340260927,0.08935666086758115,0.0043085157871246005,0.7619047619047619,0.25,0.5416666666666666,5.0,0.7058823529411764
facility_subspace,5,eurosat,4,0.0,0.41666666666666663,0.001596672049164749,0.11805287939073673,0.002888891100883473,0.7619047619047619,0.0,0.41666666666666663,5.0,0.7058823529411764
facility_subspace,5,flowers102,4,0.5,0.41666666666666663,0.0017973852157592562,0.056872396123689266,-0.0011799961328506359,0.7619047619047619,0.5,0.5,5.0,0.7058823529411764
facility_subspace,5,food101,4,0.25,0.41666666666666663,0.002280001166462889,0.05672358248886259,0.003099992871284485,0.7619047619047619,0.25,0.4583333333333333,5.0,0.7058823529411764
facility_subspace,5,gtsrb,4,0.0,0.25,0.007593332626819577,0.20774033045546375,0.004530003666877724,0.7619047619047619,0.0,0.3333333333333333,5.0,0.7058823529411764
facility_subspace,5,oxford_pets,4,0.0,0.5,0.002649457805344535,0.11489027531370975,0.002085044980049161,0.7619047619047619,0.0,0.5833333333333333,5.0,0.7058823529411764
facility_subspace,10,beans,4,0.75,0.9166666666666666,0.00024178219006798507,0.026596032733899024,0.006249999999999978,0.5238095238095238,1.0,1.0,10.0,0.4117647058823529
facility_subspace,10,dtd,4,0.25,0.5,0.0030230494340260927,0.08935666086758115,0.0043085157871246005,0.5238095238095238,0.25,0.5416666666666666,10.0,0.4117647058823529
facility_subspace,10,eurosat,4,0.25,0.5,0.00070667113244538,0.04510204698278013,0.001981487870216375,0.5238095238095238,0.25,0.5,10.0,0.4117647058823529
facility_subspace,10,flowers102,4,0.5,0.41666666666666663,0.0017973852157592562,0.056872396123689266,-0.0011799961328506359,0.5238095238095238,0.5,0.5833333333333333,10.0,0.4117647058823529
