target_domain,method,shortlist_size,shortlist_reduction,true_top_q_recall,selected_normalized_regret,best_shortlist_normalized_regret,screen_spearman_vs_test_brier
clipart,target_energy,10,0.978021978021978,0.0,0.0006213491149180356,0.0006213491149180356,-0.2930618650998897
clipart,target_energy,25,0.945054945054945,0.0,0.0006116731093087695,0.0006116731093087695,-0.2930618650998897
clipart,target_energy,50,0.8901098901098901,0.0,0.0003334026569302342,0.0003334026569302342,-0.2930618650998897
clipart,target_energy,100,0.7802197802197802,0.0,0.0003334026569302342,0.0003334026569302342,-0.2930618650998897
clipart,target_energy,227,0.5010989010989011,0.35,0.0001357117716909385,0.0001357117716909385,-0.2930618650998897
infograph,bayesian_d,10,0.978021978021978,0.1,0.0001308476790734399,0.0001308476790734399,0.5345609873548663
infograph,bayesian_d,25,0.945054945054945,0.15,9.241779869740863e-05,9.241779869740863e-05,0.5345609873548663
infograph,bayesian_d,50,0.8901098901098901,0.3,9.241779869740863e-05,9.241779869740863e-05,0.5345609873548663
infograph,bayesian_d,100,0.7802197802197802,0.44999999999999996,4.074412195769016e-05,4.074412195769016e-05,0.5345609873548663
infograph,bayesian_d,227,0.5010989010989011,1.0,7.682401059837711e-07,0.0,0.5345609873548663
infograph,domain_balance,10,0.978021978021978,0.0,0.0003832476156718155,0.0003711970375289683,0.08418294550337212
infograph,domain_balance,25,0.945054945054945,0.0,0.0003367265507822555,0.0003278226298382628,0.08418294550337212
infograph,domain_balance,50,0.8901098901098901,0.0,0.00020533165298888177,0.00019687501058575943,0.08418294550337212
infograph,domain_balance,100,0.7802197802197802,0.05,9.175528918985322e-05,9.175528918985322e-05,0.08418294550337212
infograph,domain_balance,227,0.5010989010989011,0.44999999999999996,4.715936001937734e-05,3.9975881851706386e-05,0.08418294550337212
infograph,dpp_subspace,10,0.978021978021978,0.0,0.000463820864751331,0.000463820864751331,-0.11150903351227952
infograph,dpp_subspace,25,0.945054945054945,0.0,0.00040144236155782904,0.00040144236155782904,-0.11150903351227952
infograph,dpp_subspace,50,0.8901098901098901,0.05,0.0002819903626904552,0.0002819903626904552,-0.11150903351227952
infograph,dpp_subspace,100,0.7802197802197802,0.05,0.00010277275761898485,0.00010277275761898485,-0.11150903351227952
infograph,dpp_subspace,227,0.5010989010989011,0.25,9.241779869740863e-05,9.241779869740863e-05,-0.11150903351227952
infograph,merged_effective_rank,10,0.978021978021978,0.1,0.00018076361404376849,0.00018076361404376849,0.5257590137662014
infograph,merged_effective_rank,25,0.945054945054945,0.15,9.241779869740863e-05,9.241779869740863e-05,0.5257590137662014
infograph,merged_effective_rank,50,0.8901098901098901,0.3,9.241779869740863e-05,9.241779869740863e-05,0.5257590137662014
infograph,merged_effective_rank,100,0.7802197802197802,0.44999999999999996,4.074412195769016e-05,4.074412195769016e-05,0.5257590137662014
infograph,merged_effective_rank,227,0.5010989010989011,0.95,7.682401059837711e-07,0.0,0.5257590137662014
infograph,random,10,0.9780219780219779,0.0125,0.00023531920174226152,0.00023268900192118468,-0.0086271825786085
infograph,random,25,0.945054945054945,0.042499999999999996,0.0001596162047781659,0.00015055674885888976,-0.0086271825786085
infograph,random,50,0.8901098901098902,0.10000000000000003,8.906205001200466e-05,8.760094591807537e-05,-0.0086271825786085
infograph,random,100,0.7802197802197803,0.215,5.5758093349801925e-05,5.4675461546858554e-05,-0.0086271825786085
infograph,random,227,0.5010989010989011,0.53,2.548023438158055e-05,2.2313055239168584e-05,-0.0086271825786085
infograph,second_moment_mmd,10,0.978021978021978,0.1,3.73039930735171e-05,3.73039930735171e-05,0.688382363057763
infograph,second_moment_mmd,25,0.945054945054945,0.3,3.73039930735171e-05,3.556980846960216e-05,0.688382363057763
infograph,second_moment_mmd,50,0.8901098901098901,0.55,7.183478167670956e-06,0.0,0.688382363057763
infograph,second_moment_mmd,100,0.7802197802197802,0.8,7.183478167670956e-06,0.0,0.688382363057763
infograph,second_moment_mmd,227,0.5010989010989011,1.0,7.682401059837711e-07,0.0,0.688382363057763
infograph,target_a,10,0.978021978021978,0.1,0.00011269125017377624,0.00011269125017377624,0.6792609488818624
infograph,target_a,25,0.945054945054945,0.15,0.00010008088974816783,0.00010008088974816783,0.6792609488818624
infograph,target_a,50,0.8901098901098901,0.35,4.074412195769016e-05,4.074412195769016e-05,0.6792609488818624
infograph,target_a,100,0.7802197802197802,0.65,4.074412195769016e-05,3.9975881851706386e-05,0.6792609488818624
infograph,target_a,227,0.5010989010989011,1.0,7.682401059837711e-07,0.0,0.6792609488818624
infograph,target_energy,10,0.978021978021978,0.0,0.0004383987805562193,0.0004383987805562193,0.04948774851394837
infograph,target_energy,25,0.945054945054945,0.0,0.0001862080511500677,0.0001862080511500677,0.04948774851394837
infograph,target_energy,50,0.8901098901098901,0.0,0.00017583163490911358,0.00017583163490911358,0.04948774851394837
infograph,target_energy,100,0.7802197802197802,0.2,7.183478167670956e-06,7.183478167670956e-06,0.04948774851394837
infograph,target_energy,227,0.5010989010989011,0.5,7.183478167670956e-06,0.0,0.04948774851394837
painting,bayesian_d,10,0.978021978021978,0.1,0.00028936400001249604,0.0002736821022746072,0.699108114236795
painting,bayesian_d,25,0.945054945054945,0.39999999999999997,0.0001104662235772796,0.0001104662235772796,0.699108114236795
painting,bayesian_d,50,0.8901098901098901,0.6499999999999999,4.6539186329921506e-05,4.6539186329921506e-05,0.699108114236795
painting,bayesian_d,100,0.7802197802197802,0.9,0.0,0.0,0.699108114236795
painting,bayesian_d,227,0.5010989010989011,1.0,0.0,0.0,0.699108114236795
painting,domain_balance,10,0.978021978021978,0.0,0.0004864527250638069,0.0004864527250638069,-0.03623997727290099
painting,domain_balance,25,0.945054945054945,0.0,0.00045075491755853093,0.00045075491755853093,-0.03623997727290099
painting,domain_balance,50,0.8901098901098901,0.1,0.00014909081576556965,0.00014909081576556965,-0.03623997727290099
painting,domain_balance,100,0.7802197802197802,0.15,0.00014909081576556965,0.00014909081576556965,-0.03623997727290099
painting,domain_balance,227,0.5010989010989011,0.3,0.0001614429815099457,0.00014909081576556965,-0.03623997727290099
painting,dpp_subspace,10,0.978021978021978,0.1,0.0005178984874482866,0.0005178984874482866,0.21554685171077473
painting,dpp_subspace,25,0.945054945054945,0.1,0.0005178984874482866,0.0005178984874482866,0.21554685171077473
painting,dpp_subspace,50,0.8901098901098901,0.2,0.0002982159107900461,0.0002982159107900461,0.21554685171077473
