encoder,target_domain,method,shortlist_size,shortlist_reduction,true_top_q_recall,selected_normalized_regret,best_shortlist_normalized_regret,screen_spearman_vs_test_brier
dinov2_b14,real,second_moment_mmd,25,0.945054945054945,0.7,2.778909426920241e-06,0.0,0.7890915020523182
dinov2_b14,real,second_moment_mmd,50,0.8901098901098901,1.0,2.778909426920241e-06,0.0,0.7890915020523182
dinov2_b14,real,second_moment_mmd,100,0.7802197802197802,1.0,2.778909426920241e-06,0.0,0.7890915020523182
dinov2_b14,real,second_moment_mmd,227,0.5010989010989011,1.0,2.778909426920241e-06,0.0,0.7890915020523182
dinov2_b14,real,target_a,10,0.978021978021978,0.3,0.0,0.0,0.8404634086062326
dinov2_b14,real,target_a,25,0.945054945054945,0.6,2.778909426920241e-06,0.0,0.8404634086062326
dinov2_b14,real,target_a,50,0.8901098901098901,0.9,2.778909426920241e-06,0.0,0.8404634086062326
dinov2_b14,real,target_a,100,0.7802197802197802,1.0,2.778909426920241e-06,0.0,0.8404634086062326
dinov2_b14,real,target_a,227,0.5010989010989011,1.0,2.778909426920241e-06,0.0,0.8404634086062326
dinov2_b14,real,target_energy,10,0.978021978021978,0.0,0.0019421747976583038,0.0019421747976583038,-0.32363822127327807
dinov2_b14,real,target_energy,25,0.945054945054945,0.0,0.0009067064765803645,0.0009067064765803645,-0.32363822127327807
dinov2_b14,real,target_energy,50,0.8901098901098901,0.0,0.0006981319652872779,0.0006981319652872779,-0.32363822127327807
dinov2_b14,real,target_energy,100,0.7802197802197802,0.0,0.0001714579648529151,0.0001714579648529151,-0.32363822127327807
dinov2_b14,real,target_energy,227,0.5010989010989011,0.6,2.778909426920241e-06,2.778909426920241e-06,-0.32363822127327807
dinov2_b14,sketch,bayesian_d,10,0.978021978021978,0.0,0.000388695945493246,0.000388695945493246,0.5989431389385018
dinov2_b14,sketch,bayesian_d,25,0.945054945054945,0.0,0.000388695945493246,0.000388695945493246,0.5989431389385018
dinov2_b14,sketch,bayesian_d,50,0.8901098901098901,0.1,0.00014813763837567086,0.00014813763837567086,0.5989431389385018
dinov2_b14,sketch,bayesian_d,100,0.7802197802197802,0.4,9.748711496939278e-05,4.606444075875816e-05,0.5989431389385018
dinov2_b14,sketch,bayesian_d,227,0.5010989010989011,1.0,9.748711496939278e-05,0.0,0.5989431389385018
dinov2_b14,sketch,domain_balance,10,0.978021978021978,0.0,0.000582259221792971,0.0005528955032929203,0.22843129511341892
dinov2_b14,sketch,domain_balance,25,0.945054945054945,0.0,0.000582259221792971,0.0005528955032929203,0.22843129511341892
dinov2_b14,sketch,domain_balance,50,0.8901098901098901,0.0,0.00039018286251794225,0.0003801260622661918,0.22843129511341892
dinov2_b14,sketch,domain_balance,100,0.7802197802197802,0.2,0.0001613308807670316,0.00014813763837567086,0.22843129511341892
dinov2_b14,sketch,domain_balance,227,0.5010989010989011,0.2,0.0001613308807670316,0.00014813763837567086,0.22843129511341892
dinov2_b14,sketch,dpp_subspace,10,0.978021978021978,0.0,0.0010118521851683509,0.0010118521851683509,-0.09648876511848921
dinov2_b14,sketch,dpp_subspace,25,0.945054945054945,0.0,0.0010118521851683509,0.0009464998581761452,-0.09648876511848921
dinov2_b14,sketch,dpp_subspace,50,0.8901098901098901,0.0,0.0007517452525438949,0.0007517452525438949,-0.09648876511848921
dinov2_b14,sketch,dpp_subspace,100,0.7802197802197802,0.0,0.0005232071085368201,0.0005232071085368201,-0.09648876511848921
dinov2_b14,sketch,dpp_subspace,227,0.5010989010989011,0.1,0.0001613308807670316,0.0001613308807670316,-0.09648876511848921
dinov2_b14,sketch,merged_effective_rank,10,0.978021978021978,0.0,0.0004597648405451125,0.0004597648405451125,0.5912091733909495
dinov2_b14,sketch,merged_effective_rank,25,0.945054945054945,0.0,0.000388695945493246,0.000388695945493246,0.5912091733909495
dinov2_b14,sketch,merged_effective_rank,50,0.8901098901098901,0.1,0.00014813763837567086,0.00014813763837567086,0.5912091733909495
dinov2_b14,sketch,merged_effective_rank,100,0.7802197802197802,0.4,9.748711496939278e-05,4.606444075875816e-05,0.5912091733909495
dinov2_b14,sketch,merged_effective_rank,227,0.5010989010989011,1.0,9.748711496939278e-05,0.0,0.5912091733909495
dinov2_b14,sketch,random,10,0.9780219780219779,0.02,0.00041025004985552566,0.00041025004985552566,-0.009582950089558019
dinov2_b14,sketch,random,25,0.945054945054945,0.05,0.00027855035277646166,0.00027555362029562123,-0.009582950089558019
dinov2_b14,sketch,random,50,0.8901098901098902,0.11500000000000002,0.00019898348431232515,0.00019159517175145794,-0.009582950089558019
dinov2_b14,sketch,random,100,0.7802197802197803,0.24500000000000002,0.00010359539142184098,8.109159776172688e-05,-0.009582950089558019
dinov2_b14,sketch,random,227,0.5010989010989011,0.5299999999999999,8.555500919636751e-05,2.6910326728537256e-05,-0.009582950089558019
dinov2_b14,sketch,second_moment_mmd,10,0.978021978021978,0.4,8.355221942170895e-05,0.0,0.7972123633380299
dinov2_b14,sketch,second_moment_mmd,25,0.945054945054945,0.5,8.355221942170895e-05,0.0,0.7972123633380299
dinov2_b14,sketch,second_moment_mmd,50,0.8901098901098901,0.9,9.748711496939278e-05,0.0,0.7972123633380299
dinov2_b14,sketch,second_moment_mmd,100,0.7802197802197802,1.0,9.748711496939278e-05,0.0,0.7972123633380299
dinov2_b14,sketch,second_moment_mmd,227,0.5010989010989011,1.0,9.748711496939278e-05,0.0,0.7972123633380299
dinov2_b14,sketch,target_a,10,0.978021978021978,0.1,0.00014813763837567086,0.00014813763837567086,0.7481168611124558
dinov2_b14,sketch,target_a,25,0.945054945054945,0.2,0.0001613308807670316,0.00014813763837567086,0.7481168611124558
dinov2_b14,sketch,target_a,50,0.8901098901098901,0.6,9.748711496939278e-05,0.0,0.7481168611124558
dinov2_b14,sketch,target_a,100,0.7802197802197802,0.9,9.748711496939278e-05,0.0,0.7481168611124558
dinov2_b14,sketch,target_a,227,0.5010989010989011,1.0,9.748711496939278e-05,0.0,0.7481168611124558
dinov2_b14,sketch,target_energy,10,0.978021978021978,0.0,0.001480642690327211,0.001480642690327211,-0.40985673264829303
dinov2_b14,sketch,target_energy,25,0.945054945054945,0.0,0.0013327725330344556,0.0013327725330344556,-0.40985673264829303
dinov2_b14,sketch,target_energy,50,0.8901098901098901,0.0,0.0007038375315108459,0.0007038375315108459,-0.40985673264829303
dinov2_b14,sketch,target_energy,100,0.7802197802197802,0.0,0.0006057506871227282,0.0005529073120950519,-0.40985673264829303
dinov2_b14,sketch,target_energy,227,0.5010989010989011,0.0,0.0005232071085368201,0.00048200667797581974,-0.40985673264829303
resnet50,clipart,bayesian_d,10,0.978021978021978,0.1,0.00016287373107335125,0.00016287373107335125,0.5232416435871108
resnet50,clipart,bayesian_d,25,0.945054945054945,0.1,0.00016287373107335125,0.00016287373107335125,0.5232416435871108
resnet50,clipart,bayesian_d,50,0.8901098901098901,0.3,0.0,0.0,0.5232416435871108
resnet50,clipart,bayesian_d,100,0.7802197802197802,0.5,0.0,0.0,0.5232416435871108
resnet50,clipart,bayesian_d,227,0.5010989010989011,0.9,2.4873852278509225e-05,0.0,0.5232416435871108
resnet50,clipart,domain_balance,10,0.978021978021978,0.0,0.0004563142087936004,0.0004563142087936004,-0.09316237900749841
resnet50,clipart,domain_balance,25,0.945054945054945,0.0,0.0003574322413083237,0.0003574322413083237,-0.09316237900749841
resnet50,clipart,domain_balance,50,0.8901098901098901,0.1,0.00011896741217270043,0.00011896741217270043,-0.09316237900749841
