encoder,source,source_domain,adapter_seed,target,validation_accuracy,validation_accuracy_std,validation_fold_accuracies,validation_examples,target_validation_protocol,target_cv_folds,target_cv_seed,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
resnet50,fashion_mnist,digits_characters,1,food101,0.404000026345253,0.01232457974131746,0.4138614237|0.4217821956|0.3881188333|0.4009901285|0.3947916925,5000,stratified_5_fold,5,20260906,0.4413999915122986,500,600,256,128,0.01,1.1327860411256552,0.05123377777636051,npu:6
resnet50,fashion_mnist,digits_characters,1,gtsrb,0.6754000151753425,0.014972676178875674,0.7020649314|0.6646766067|0.6613386273|0.6810865402|0.6673449278,5000,stratified_5_fold,5,20260906,0.5825999975204468,500,600,256,128,0.01,1.1327860411256552,0.05013444647192955,npu:6
resnet50,fashion_mnist,digits_characters,1,oxford_pets,0.9065217507436224,0.013828933882328255,0.9012178183|0.9130434990|0.8845108747|0.9265306592|0.9073569775,3680,stratified_5_fold,5,20260906,0.8904333114624023,500,600,256,128,0.01,1.1327860411256552,0.04699157550930977,npu:6
resnet50,fashion_mnist,digits_characters,2,beans,0.8636363541249842,0.03137618327206481,0.8461538553|0.8405796885|0.9227052927|0.8398058414|0.8689320087,1034,stratified_5_fold,5,20260906,0.8828125,500,600,256,128,0.01,1.1371137667447329,0.04414025507867336,npu:6
resnet50,fashion_mnist,digits_characters,2,dtd,0.6257978916168213,0.009901339218747356,0.6409574747|0.6210106611|0.6117021441|0.6316489577|0.6236702204,3760,stratified_5_fold,5,20260906,0.6260638236999512,500,600,256,128,0.01,1.1371137667447329,0.0457135196775198,npu:6
resnet50,fashion_mnist,digits_characters,2,eurosat,0.900199977695942,0.009109574895990001,0.8976142406|0.9151696563|0.8948948979|0.9047141075|0.8885542154,5000,stratified_5_fold,5,20260906,0.9096296429634094,500,600,256,128,0.01,1.1371137667447329,0.04667229391634464,npu:6
resnet50,fashion_mnist,digits_characters,2,flowers102,0.6696079134941101,0.02373279879355221,0.6862745881|0.6813726425|0.6764706373|0.6813726425|0.6225490570,1020,stratified_5_fold,5,20260906,0.668999969959259,500,600,256,128,0.01,1.1371137667447329,0.04882086254656315,npu:6
resnet50,fashion_mnist,digits_characters,2,food101,0.39700002455711364,0.015274637132058441,0.4009901285|0.4178218246|0.3990099132|0.3702970445|0.3968750238,5000,stratified_5_fold,5,20260906,0.44019997119903564,500,600,256,128,0.01,1.1371137667447329,0.05637853592634201,npu:6
resnet50,fashion_mnist,digits_characters,2,gtsrb,0.6780000103354454,0.013019135773095736,0.6735496521|0.6567164063|0.6963037252|0.6841046214|0.6795524359,5000,stratified_5_fold,5,20260906,0.5835999846458435,500,600,256,128,0.01,1.1371137667447329,0.04621207341551781,npu:6
resnet50,fashion_mnist,digits_characters,2,oxford_pets,0.9127717257517836,0.00984313171512924,0.9147496223|0.9225543141|0.8940217495|0.9183673859|0.9141688943,3680,stratified_5_fold,5,20260906,0.8915234804153442,500,600,256,128,0.01,1.1371137667447329,0.046700725331902504,npu:6
resnet50,fashion_mnist,digits_characters,3,beans,0.8413926654673637,0.020795646856526184,0.8461539149|0.8260869384|0.8695651889|0.8543689251|0.8106796741,1034,stratified_5_fold,5,20260906,0.8359375,500,600,256,128,0.01,1.1765806749463081,0.038908420130610466,npu:6
