encoder,source,source_domain,adapter_seed,target,validation_accuracy,validation_accuracy_std,validation_fold_accuracies,validation_partition_accuracies,validation_accuracy_std_across_partitions,validation_examples,unique_validation_examples,target_validation_protocol,target_cv_folds,target_cv_partitions,target_cv_seed,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
dinov2_b14,bloodmnist,medical,4,eurosat,0.9063999950289726,0.008457848997076379,0.8926440477|0.9001995921|0.9189189672|0.9207623005|0.9006023407|0.9065605998|0.9211577177|0.9019019604|0.9077231884|0.9006024003|0.9155068994|0.9011976719|0.8998999000|0.9067201614|0.9016063809,0.9065999793|0.9076000129|0.9049999929,0.0010708318582565138,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.907037079334259,500,600,256,128,0.01,1.1924917958676815,0.10688914731144905,npu:4
dinov2_b14,bloodmnist,medical,4,flowers102,0.9964052597681681,0.0037829243477054625,1.0000000000|1.0000000000|0.9950980544|0.9901961684|0.9950981140|1.0000000000|1.0000000000|0.9901961088|1.0000000000|1.0000000000|1.0000000000|0.9950980544|0.9950981140|0.9950981140|0.9901961684,0.9960784674|0.9980392218|0.9950980902,0.0012227451939912197,3060,1020,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9941999912261963,500,600,256,128,0.01,1.1924917958676815,0.11204595305025578,npu:4
dinov2_b14,bloodmnist,medical,4,food101,0.7570000327030817,0.01177303965074456,0.7702970505|0.7524752617|0.7495049834|0.7574257851|0.7531250715|0.7485148907|0.7455445528|0.7772277594|0.7415841818|0.7729167342|0.7415841818|0.7693069577|0.7445544600|0.7653465271|0.7666667700,0.7566000360|0.7570000327|0.7574000294,0.00032659593621993106,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.8009999990463257,500,600,256,128,0.01,1.1924917958676815,0.10962590388953686,npu:4
dinov2_b14,bloodmnist,medical,4,gtsrb,0.635800019756953,0.010592275009947081,0.6253687143|0.6358208656|0.6363636255|0.6509054899|0.6500509381|0.6430678964|0.6308457851|0.6353646517|0.6327967644|0.6164802313|0.6470010281|0.6159204245|0.6323676109|0.6368209124|0.6480163336,0.6396000142|0.6318000264|0.6360000187,0.0031874704489282296,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.5215999484062195,500,600,256,128,0.01,1.1924917958676815,0.11180341616272926,npu:4
dinov2_b14,bloodmnist,medical,4,oxford_pets,0.9410326071353494,0.006817012435439074,0.9364004135|0.9429348111|0.9375000000|0.9455782771|0.9373296499|0.9512854815|0.9361413121|0.9388587475|0.9319728613|0.9482288361|0.9377536774|0.9456521869|0.9456521869|0.9523810148|0.9277929068,0.9399456313|0.9413043569|0.9418478332,0.0007999912172768247,11040,3680,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9302261471748352,500,600,256,128,0.01,1.1924917958676815,0.14134512469172478,npu:4
dinov2_b14,breastmnist,medical,0,beans,0.9023211045199098,0.019071626500695826,0.9134616256|0.8840579987|0.9275362492|0.8786407709|0.9271844625|0.9038462639|0.8647342920|0.9178743958|0.9126213789|0.9126213789|0.8942308426|0.8985507488|0.8792270422|0.9271844625|0.8932038546,0.9061895798|0.9023211116|0.8984526222,0.0031585997244551554,3102,1034,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9375,500,600,256,128,0.01,1.1996954809874296,0.09233767725527287,npu:4
dinov2_b14,breastmnist,medical,0,dtd,0.7373227357864379,0.015400042827088048,0.7460106611|0.7353724241|0.7406915426|0.7167553902|0.7433511019|0.7513298392|0.7406915426|0.7539893985|0.7074468136|0.7433511019|0.7513298392|0.7180851102|0.7632979155|0.7247340679|0.7234042883,0.7364362240|0.7393617392|0.7361702442,0.0014458762909165224,11280,3760,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.7367020845413208,500,600,256,128,0.01,1.1996954809874296,0.1022812519222498,npu:4
dinov2_b14,breastmnist,medical,0,eurosat,0.9072666469256084,0.006920854084452125,0.8976142406|0.9071856737|0.9149149656|0.9097291827|0.9056224823|0.9125248194|0.9161676764|0.8938938379|0.9147441983|0.9016063809|0.9095426798|0.8972055912|0.9029028416|0.9127382040|0.9126505852,0.9070000019|0.9077999691|0.9069999698,0.00037711570168140625,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9096296429634094,500,600,256,128,0.01,1.1996954809874296,0.10664358921349049,npu:4
dinov2_b14,breastmnist,medical,0,flowers102,0.9954248627026875,0.005507266119721244,0.9901961088|0.9950981140|1.0000000000|0.9950980544|0.9950980544|1.0000000000|0.9803922176|0.9950981140|1.0000000000|1.0000000000|1.0000000000|1.0000000000|1.0000000000|0.9901961684|0.9901961088,0.9950980663|0.9950980663|0.9960784554,0.00046215986245128955,3060,1020,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9959999918937683,500,600,256,128,0.01,1.1996954809874296,0.11252798698842525,npu:4
dinov2_b14,breastmnist,medical,0,food101,0.7527333720525107,0.014179149041965418,0.7564356327|0.7613861561|0.7504950762|0.7524752617|0.7437500954|0.7435643673|0.7475247383|0.7742574215|0.7356436253|0.7677084208|0.7247525454|0.7772277594|0.7643564939|0.7534654140|0.7375000715,0.7530000279|0.7536000276|0.7516000607,0.000837972101298489,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.7949999570846558,500,600,256,128,0.01,1.1996954809874296,0.11104203201830387,npu:4
dinov2_b14,breastmnist,medical,0,gtsrb,0.6222000040690104,0.0116560091662568,0.6293019056|0.6009950042|0.6243756413|0.6358149052|0.6347914934|0.6194690466|0.6258705854|0.6193805933|0.6287726164|0.6032553315|0.6234021783|0.6159204245|0.6023976207|0.6368209124|0.6327568889,0.6250000176|0.6193999808|0.6222000138,0.002286205430640532,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.5313999652862549,500,600,256,128,0.01,1.1996954809874296,0.10877835191786289,npu:4
dinov2_b14,breastmnist,medical,0,oxford_pets,0.9424818731034579,0.008406994579399675,0.9445195794|0.9538043737|0.9388587475|0.9319728613|0.9400544167|0.9594044685|0.9347826242|0.9320652485|0.9387755394|0.9482288361|0.9323409796|0.9415761232|0.9551630020|0.9387755394|0.9468663931,0.9418478319|0.9426630227|0.9429347647,0.0004618564976792564,11040,3680,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9362223148345947,500,600,256,128,0.01,1.1996954809874296,0.13811570033431053,npu:4
dinov2_b14,breastmnist,medical,1,beans,0.9058671986418797,0.015131723131465666,0.8990385532|0.9130434990|0.8937198520|0.9029126167|0.9320388436|0.8942308426|0.9033816457|0.8937197924|0.9271844625|0.9029126167|0.9038462043|0.9082125425|0.8792270422|0.9368932247|0.8980582356,0.9081238236|0.9042553300|0.9052224423,0.0016437951099480322,3102,1034,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9375,500,600,256,128,0.01,1.2278657648712397,0.09911535307765007,npu:4
dinov2_b14,breastmnist,medical,1,dtd,0.7350177566210429,0.014890974020302691,0.7380319834|0.7340425849|0.7327128053|0.7167553902|0.7500000000|0.7460106611|0.7539893985|0.7460106611|0.7074468136|0.7247340679|0.7486702204|0.7127659917|0.7526595592|0.7420213223|0.7194148898,0.7343085527|0.7356383204|0.7351063967,0.0005464816746215717,11280,3760,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.7414893507957458,500,600,256,128,0.01,1.2278657648712397,0.10255306400358677,npu:4
dinov2_b14,breastmnist,medical,1,eurosat,0.9071333234111467,0.006162360520685744,0.9035784602|0.9161676764|0.9169169664|0.9067201614|0.9016064405|0.9055665135|0.9131736755|0.8968969584|0.9127382040|0.9026104212|0.9105367661|0.8962075710|0.9109109044|0.9047141075|0.9086344838,0.9090000016|0.9061999932|0.9061999755,0.001319940803815534,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9081481695175171,500,600,256,128,0.01,1.2278657648712397,0.09949404187500477,npu:4
dinov2_b14,breastmnist,medical,1,flowers102,0.9986928224563599,0.002811198531995429,1.0000000000|1.0000000000|1.0000000000|1.0000000000|1.0000000000|0.9950981140|1.0000000000|1.0000000000|1.0000000000|0.9950981140|1.0000000000|1.0000000000|0.9901961088|1.0000000000|1.0000000000,1.0000000000|0.9980392456|0.9980392218,0.0009243141053739684,3060,1020,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9947999715805054,500,600,256,128,0.01,1.2278657648712397,0.12000270001590252,npu:4
dinov2_b14,breastmnist,medical,1,food101,0.7481333627303441,0.009083150234487618,0.7554455400|0.7564356923|0.7495049238|0.7554455996|0.7333333492|0.7405940890|0.7425742745|0.7594059706|0.7396039963|0.7552083731|0.7297030091|0.7584158778|0.7425743341|0.7514851689|0.7520833611,0.7502000177|0.7474000304|0.7468000401,0.0014817318962106478,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.7929999828338623,500,600,256,128,0.01,1.2278657648712397,0.12006489932537079,npu:4
dinov2_b14,breastmnist,medical,1,gtsrb,0.631200010240078,0.010256807717153364,0.6342183352|0.6368159056|0.6283715963|0.6529175043|0.6327568889|0.6401180029|0.6179104447|0.6163836122|0.6468813419|0.6317396164|0.6342183352|0.6258705854|0.6193805933|0.6187123060|0.6317396164,0.6370000042|0.6306000197|0.6260000068,0.004510726243897782,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.527400016784668,500,600,256,128,0.01,1.2278657648712397,0.11949319019913673,npu:4
dinov2_b14,breastmnist,medical,1,oxford_pets,0.9392210029713485,0.0072452800077181115,0.9445195198|0.9320652485|0.9375000000|0.9442177415|0.9414168596|0.9418132305|0.9334238768|0.9239130616|0.9469388127|0.9441416264|0.9242218733|0.9429347515|0.9429347515|0.9469388723|0.9414168596,0.9399456421|0.9380434633|0.9396739035,0.0008400040302594493,11040,3680,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9378576874732971,500,600,256,128,0.01,1.2278657648712397,0.14737846329808235,npu:4
dinov2_b14,breastmnist,medical,2,beans,0.9145712437051715,0.012630377103562082,0.9086538553|0.9227052927|0.9275362492|0.8932038546|0.9320388436|0.9086539149|0.9082125425|0.9082125425|0.9174757004|0.9320387840|0.9134615660|0.9082125425|0.8985507488|0.9368932247|0.9029126167,0.9168278500|0.9148936080|0.9119922731,0.0019872325968972784,3102,1034,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.953125,500,600,256,128,0.01,1.2210459802299738,0.09607723169028759,npu:4
dinov2_b14,breastmnist,medical,2,dtd,0.7356383403142294,0.014681568345919608,0.7406915426|0.7313830256|0.7380319834|0.7114362121|0.7526596189|0.7327128053|0.7393617630|0.7539893985|0.7074468136|0.7460106611|0.7353724241|0.7087765932|0.7500000596|0.7433511019|0.7433511019,0.7348404765|0.7359042883|0.7361702561,0.0005745286229356217,11280,3760,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.7404254674911499,500,600,256,128,0.01,1.2210459802299738,0.09972510300576687,npu:4
