dataset,encoder,target_domain,budget,method,repeat,combination,selected_sample_count,brier_score,oracle_brier,normalized_brier_regret,brier_rank,top_q,in_brier_top_q,target_a_proxy_rank
pacs,resnet50,art_painting,5,random,3,cartoon__block_01|photo__block_00|photo__block_03|sketch__block_00|sketch__block_02,3424,0.7179915046666465,0.707022909971023,0.01551377549572339,457,10,0,382
pacs,resnet50,art_painting,5,random,4,cartoon__block_02|photo__block_00|photo__block_01|photo__block_02|sketch__block_03,2785,0.7182514804947325,0.707022909971023,0.015881480451842376,470,10,0,242
pacs,resnet50,art_painting,5,random,5,cartoon__block_02|photo__block_01|photo__block_02|photo__block_03|sketch__block_01,2797,0.7190702640495121,0.707022909971023,0.017039552620696362,503,10,0,172
pacs,resnet50,art_painting,5,random,6,cartoon__block_01|cartoon__block_02|cartoon__block_03|sketch__block_00|sketch__block_01,3756,0.73114976596538,0.707022909971023,0.034124574542210746,683,10,0,753
pacs,resnet50,art_painting,5,random,7,cartoon__block_03|photo__block_03|sketch__block_00|sketch__block_01|sketch__block_02,3993,0.7180298125676736,0.707022909971023,0.015567957475524682,459,10,0,636
pacs,resnet50,art_painting,5,random,8,cartoon__block_02|photo__block_00|sketch__block_00|sketch__block_02|sketch__block_03,3970,0.7139913464202999,0.707022909971023,0.009856026376235127,252,10,0,659
pacs,resnet50,art_painting,5,random,9,cartoon__block_02|photo__block_03|sketch__block_00|sketch__block_02|sketch__block_03,3964,0.7134335912653207,0.707022909971023,0.009067147901275802,214,10,0,626
pacs,resnet50,art_painting,5,random,10,cartoon__block_02|photo__block_00|photo__block_02|photo__block_03|sketch__block_02,2802,0.7169047591790596,0.707022909971023,0.013976702973375487,421,10,0,169
pacs,resnet50,art_painting,5,random,11,cartoon__block_00|cartoon__block_02|photo__block_01|sketch__block_00|sketch__block_03,3585,0.7129862347079098,0.707022909971023,0.008434415140990508,185,10,0,455
pacs,resnet50,art_painting,5,random,12,cartoon__block_03|photo__block_02|sketch__block_01|sketch__block_02|sketch__block_03,3887,0.7231758777013704,0.707022909971023,0.02284645589632927,626,10,0,706
pacs,resnet50,art_painting,5,random,13,cartoon__block_01|cartoon__block_03|photo__block_03|sketch__block_01|sketch__block_02,3530,0.7134997324411316,0.707022909971023,0.009160696745136676,217,10,0,549
pacs,resnet50,art_painting,5,random,14,cartoon__block_00|photo__block_00|photo__block_01|photo__block_03|sketch__block_03,2829,0.7233724739844594,0.707022909971023,0.02312451800763631,631,10,0,94
pacs,resnet50,art_painting,5,random,15,cartoon__block_01|cartoon__block_02|cartoon__block_03|photo__block_02|sketch__block_02,3106,0.7123567607818501,0.707022909971023,0.0075440989755843285,147,10,0,373
pacs,resnet50,art_painting,5,random,16,cartoon__block_00|cartoon__block_02|photo__block_00|photo__block_02|sketch__block_00,3040,0.7125111447785383,0.707022909971023,0.007762456817333105,155,10,0,142
pacs,resnet50,art_painting,5,random,17,cartoon__block_00|cartoon__block_01|photo__block_01|photo__block_03|sketch__block_03,2965,0.7148875772120421,0.707022909971023,0.0111236384706988,304,10,0,93
