dataset,encoder,target_domain,budget,combination,selected_sample_count,selected_sample_ids_sha256,target_test_count,ridge_regularization,ridge_solver,evaluation_seconds,target_a_proxy_estimate,target_a_proxy_first_half,target_a_proxy_second_half,target_a_proxy_half_relative_difference,squared_loss,brier_score,nll,accuracy,macro_f1,ece,brier_rank,target_a_proxy_rank,in_brier_top_q,normalized_brier_regret
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_00|cartoon__block_03|photo__block_01,2647,5ce4a5cc5273d8fe7265dc871a2158b34579ded8680a7d77c255b36445e15236,2752,1.0,primal,0.3244010079652071,0.243410933071598,0.22717092609418033,0.25965094004901573,0.13343695595333668,0.7135125924225374,0.8078437300781484,1.7877845389263156,0.42369186046511625,0.3860157338495714,0.23417757267484826,175,130,0,0.0046163052907804486
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_00|cartoon__block_03|photo__block_02,2627,6af4b54d25d93bc1624c1bf3cb18f913d4175824f8e362f2433a9a92cca6ae01,2752,1.0,primal,0.33673488907516,0.24329123708494899,0.22709659257458595,0.25948588159531205,0.1331296984174439,0.7147904260964499,0.8086318677764986,1.7901781321551191,0.42296511627906974,0.39560101263086817,0.23411809275743833,261,128,0,0.005596415617935494
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_00|cartoon__block_03|photo__block_03,2659,7fd8ab6ba352ca8dba05a204dd32c11a9967332a59cef36a7c4e0338ba29fcab,2752,1.0,primal,0.32195346988737583,0.24266441843485526,0.22625851505833122,0.25907032181137934,0.1352147420898324,0.7138911792383779,0.8069373014600749,1.7855888908973752,0.42914244186046513,0.3911240524153121,0.2387095394966077,83,122,0,0.003489091034614002
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_00|photo__block_00|photo__block_01,2485,7c0d212fb59869aaf691f4ab0c91a8255489795b4b025337015099b9ef66b866,2752,1.0,primal,0.32904489152133465,0.27792894713497407,0.2571853475720742,0.29867254669787396,0.14927268121392137,0.7129002981457547,0.8108696623037783,1.7977851242918632,0.4258720930232558,0.3825745391445112,0.2365639331514407,533,481,0,0.008379286594452405
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_00|photo__block_00|photo__block_02,2465,b08ae57edee1f8c5f88c248e861051b350d0fc3042df1b4ad3bd9ab3b8d8c3eb,2752,1.0,primal,0.33583602868020535,0.27820238408356207,0.2573294097137692,0.2990753584533549,0.15005604239195416,0.71515324981335,0.811894919078543,1.8008260679946666,0.42478197674418605,0.3865676330254189,0.2361600984729754,625,484,0,0.009654272875448662
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_00|photo__block_00|photo__block_03,2497,0c6d9a6b488ace52886112c957bbe00189ee51bca1d845d775ec0fe8c61feffd,2752,1.0,primal,0.3092515878379345,0.27748423230383507,0.25648977375295756,0.29847869085471257,0.15132001106202922,0.7146287136060343,0.8102870037606893,1.796472518714764,0.4269622093023256,0.3788498937812314,0.23634148313094427,473,476,0,0.007654705526344607
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_00|photo__block_01|photo__block_02,2447,4916e55814f870855d0b8061f22fd19d6a261dc061b30ac467db30ad53d53c3c,2752,1.0,primal,0.3109601326286793,0.2783756557505813,0.2577399181250113,0.2990113933761514,0.14825820576824605,0.7157779631002056,0.8126261254472521,1.8029877857390118,0.4178779069767442,0.37852292725016234,0.22984488424461458,667,485,0,0.010563584680674296
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_00|photo__block_01|photo__block_03,2479,d0fd145f4564824c8a381d9009bbf7336e1290559ad1e153f655b21c85d82655,2752,1.0,primal,0.31367803551256657,0.27764711005143156,0.25686572898795923,0.29842849111490394,0.14969636139647047,0.7142575764909985,0.8108262355476102,1.7979411756916184,0.42296511627906974,0.37548915219412576,0.23290591274727804,525,478,0,0.008325282056559753
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_00|photo__block_02|photo__block_03,2459,fe0b99066a27b82f775f557bed8f81beb4931e675d1903d574d05b0246a95498,2752,1.0,primal,0.3068874403834343,0.2779097071696368,0.25705367093250586,0.2987657434067678,0.15009217525748675,0.7179077316239518,0.8120044542707053,1.8015156363872094,0.41969476744186046,0.3769470276447279,0.23027580341073106,635,480,0,0.009790488378462765
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_01|cartoon__block_02|cartoon__block_03,2789,5331e257ff11914418772f91332d6501ffccda3be4f2b1162d621138e337326f,2752,1.0,primal,0.3228200525045395,0.23089900688929188,0.21562150141296446,0.24617651236561933,0.13233062958692127,0.713560300943514,0.8049673196558811,1.7785404298613887,0.41933139534883723,0.3935341572744385,0.2272158751098226,12,51,0,0.0010392659410555934
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_01|cartoon__block_02|photo__block_00,2627,fd554917ee16c7296a9f81eb38121c20da62c593f40fd77ba8075a0ee654ee3d,2752,1.0,primal,0.32525939121842384,0.2555877561145222,0.2366730323487514,0.2745024798802931,0.14800962341322524,0.7006739469642828,0.8066965872320064,1.7836736106521935,0.43495639534883723,0.4179930664710459,0.24521975854787598,65,332,0,0.0031897442309819567
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_01|cartoon__block_02|photo__block_01,2609,c98169dcc28f795c18a8e1cae971952263ec220aca6beb92554573808e7216c2,2752,1.0,primal,0.3084389176219702,0.25594428600909397,0.2371969752046619,0.27469159681352595,0.1464952478272237,0.6986072965325617,0.8070867154236463,1.7846319186812916,0.4331395348837209,0.41573075288428435,0.2438559447481178,95,340,0,0.003674898881420471
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_01|cartoon__block_02|photo__block_02,2589,e92a4605a27897b804284065c09c32e60e33dbdb4cfca837e05253debcc1c41d,2752,1.0,primal,0.3400011397898197,0.2561276389995787,0.2373398807554144,0.27491539724374303,0.14670621505393425,0.7022757002844889,0.8079600951583086,1.7870549335262307,0.4262354651162791,0.41155067251562666,0.23743991518602123,186,342,0,0.004761014288997363
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_01|cartoon__block_02|photo__block_03,2621,c0b9fdecce457f71be3d6e18b2d3aecbefedb1ac831c39b237c06acded668e1d,2752,1.0,primal,0.3364471588283777,0.255215837619692,0.23627009152516565,0.27416158371421845,0.14846842007319516,0.7034108389987738,0.806168942818614,1.7823393356929933,0.4269622093023256,0.39746860450111654,0.23604959523389807,45,324,0,0.0025335774980441437
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_01|cartoon__block_03|photo__block_00,2638,e637cfdda1ae9bf1846ad42af3c6d6c26fbf2621f7ddd25fe81ec0a8cf1b7fa0,2752,1.0,primal,0.30584925785660744,0.25340555417818655,0.2352272141974537,0.2715838941589194,0.14347230896091914,0.7012791023891026,0.8054022748396559,1.7807054985860455,0.43931686046511625,0.4218391659909873,0.24906690956897207,20,296,0,0.001580166431362833
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_01|cartoon__block_03|photo__block_01,2620,1c839fc2167ceb75eefce5327db4c0a028c930202efa1e8c9f07d5fbdfce0303,2752,1.0,primal,0.3302478473633528,0.2535605356180586,0.23549829076230935,0.27162278047380783,0.1424688965238394,0.6999758097329439,0.8058384582280875,1.7817965417431243,0.4414970930232558,0.4239111454947202,0.25165565771828946,33,300,0,0.0021225942893757094
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_01|cartoon__block_03|photo__block_02,2600,df87d3068365e0d3a20b8420c3817b0325805fcb194901251321b6f398fd28cf,2752,1.0,primal,0.3348875045776367,0.2536264412885153,0.23560116842758694,0.27165171414944367,0.1421403286609501,0.7012333774467885,0.8065707459668657,1.7838922906426349,0.43786337209302323,0.4215721060180121,0.2485549972451956,58,302,0,0.003033250862114019
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_01|cartoon__block_03|photo__block_03,2632,23c4c45fdcf135efef59f21d0a76ac58c695c1374780d0d0e9f9e2f46e68ea37,2752,1.0,primal,0.30953252129256725,0.25288059355278253,0.23462712859226675,0.2711340585132983,0.1443643001945566,0.7021690832611527,0.8048649657852669,1.7793906964698472,0.4382267441860465,0.4158376173292742,0.24695443817358786,9,283,1,0.0009119809681082979
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_01|photo__block_00|photo__block_01,2458,e9976c368ed0632abf97a8288e1212a711282bd162b27413a78f4dd18c7e81dc,2752,1.0,primal,0.33621817640960217,0.2976620878057332,0.2729435991558594,0.322380576455607,0.16608422545236012,0.6846522069686694,0.8082233774106625,1.7895363254789936,0.4640261627906977,0.4512056562895398,0.2768549954877267,224,652,0,0.005088426180382434
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_01|photo__block_00|photo__block_02,2438,802b7fbdd5c26b82890a04e07d4d8a930297f0adf23e48457a46a1edcb6b1262,2752,1.0,primal,0.32703313790261745,0.2983996957728783,0.27347733639264765,0.32332205515310886,0.16704011252879977,0.6855307361449002,0.8089273402559904,1.7914455338065027,0.46075581395348836,0.45475384425939047,0.274258528310096,288,661,0,0.005963858552268155
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_01|photo__block_00|photo__block_03,2470,3e98d3ab98daf9c7d94c913e694f76c16f639cc3b923618e0756de6d1212a4e5,2752,1.0,primal,0.32145295292139053,0.2976016042149513,0.2725484914675019,0.32265471696240083,0.16836678561285007,0.6868911432432694,0.8074020795879101,1.7874609754485384,0.45566860465116277,0.4370087697757649,0.26691823014649124,131,650,0,0.004067078667841757
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_01|photo__block_01|photo__block_02,2420,76231432ca57ef9d2cf6f0e8e6fe8e28a804bb252b6842b3a9f932b2ff7cc763,2752,1.0,primal,0.3251284211874008,0.29772828182388444,0.2732333515957224,0.32222321205204657,0.1645455384896999,0.6858946372842365,0.8095753805899402,1.793323539932733,0.4596656976744186,0.447252457221115,0.2738091158029218,378,655,0,0.006769746945941756
pacs,resnet50,sketch,5,art_painting__block_01|art_painting__block_03|cartoon__block_01|photo__block_01|photo__block_03,2452,01bb67e0c3c121f3f0d70b14482ffba8d03d7a7d80c86dce2e3ac7ac52f2f013,2752,1.0,primal,0.3154172711074352,0.29692202105817683,0.27226528768806446,0.3215787544282892,0.1660822143284637,0.6849104310793602,0.807744547573627,1.788356753315423,0.4578488372093023,0.43228406700498595,0.26965376379531836,165,641,0,0.004492964157425263
