alpha_target,gamma_target,repeat,alpha_actual,gamma_actual,r_eff_A,r_eff_B,r_eff_dominant,r_eff_subordinate,r_eff_merged,r_eff_ideal,collapse_ratio,delta_r,is_superadditive,nuclear_A,nuclear_B,q,r_pred_theory,pred_error,dominant_cause
0.05,10.0,2,0.04999999999999998,10.000000000000004,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,49.64954007344896,73.58576622904738,0.32528337180173017,12.85665695892527,True,31.622776601683775,316.22776601683785,0.9112291770074532,49.64954007344896,0.0,energy
0.05,10.0,3,0.05,9.999999999999998,36.792883114523676,36.79288311452369,36.79288311452369,36.792883114523676,49.64954007344896,73.58576622904737,0.32528337180173006,12.85665695892527,True,31.622776601683793,316.22776601683785,0.9112291770074532,49.64954007344896,0.0,energy
0.05,10.0,4,0.05000000000000004,10.0,36.792883114523676,36.792883114523676,36.792883114523676,36.792883114523676,49.64954007344894,73.58576622904735,0.3252833718017302,12.856656958925264,True,31.622776601683796,316.22776601683796,0.9112291770074532,49.64954007344894,0.0,energy
0.1,0.1,0,0.10000000000000002,0.09999999999999996,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,49.39405161900823,73.58576622904738,0.32875535378321125,12.60116850448454,True,31.622776601683796,3.1622776601683786,0.9134316214517166,49.39405161900821,2.1316282072803006e-14,energy
0.1,0.1,1,0.10000000000000005,0.10000000000000003,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,49.39405161900825,73.58576622904738,0.32875535378321097,12.601168504484562,True,31.62277660168379,3.16227766016838,0.9134316214517166,49.39405161900821,4.263256414560601e-14,energy
0.1,0.1,2,0.10000000000000002,0.10000000000000002,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,49.39405161900825,73.58576622904738,0.32875535378321097,12.601168504484562,True,31.62277660168379,3.1622776601683795,0.9134316214517166,49.39405161900821,4.263256414560601e-14,energy
0.1,0.1,3,0.1,0.09999999999999996,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,49.39405161900823,73.58576622904738,0.32875535378321125,12.60116850448454,True,31.622776601683796,3.1622776601683786,0.9134316214517166,49.39405161900821,2.1316282072803006e-14,energy
0.1,0.1,4,0.09999999999999996,0.09999999999999999,36.79288311452369,36.792883114523676,36.79288311452369,36.792883114523676,49.39405161900821,73.58576622904737,0.3287553537832114,12.60116850448452,True,31.62277660168379,3.1622776601683786,0.9134316214517166,49.39405161900821,0.0,energy
0.1,0.33,0,0.10000000000000002,0.33000000000000007,36.792883114523676,36.792883114523676,36.792883114523676,36.792883114523676,63.56275423750177,73.58576622904735,0.13620857001539358,26.769871122978095,True,31.622776601683793,10.435516278555653,0.763746123911563,63.56275423750183,5.684341886080802e-14,superadditive
0.1,0.33,1,0.10000000000000002,0.3299999999999999,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,63.56275423750177,73.58576622904738,0.1362085700153939,26.76987112297808,True,31.622776601683796,10.43551627855565,0.763746123911563,63.562754237501885,1.1368683772161603e-13,energy
0.1,0.33,2,0.1,0.33000000000000024,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,63.56275423750177,73.58576622904738,0.1362085700153939,26.76987112297808,True,31.622776601683782,10.435516278555655,0.7637461239115627,63.562754237501885,1.1368683772161603e-13,superadditive
0.1,0.33,3,0.1,0.33000000000000007,36.79288311452369,36.792883114523676,36.79288311452369,36.792883114523676,63.56275423750183,73.58576622904737,0.13620857001539297,26.769871122978138,True,31.622776601683782,10.43551627855565,0.763746123911563,63.562754237501885,5.684341886080802e-14,superadditive
