dataset,encoder,target_domain,budget,method,repeat,combination,selected_sample_count,brier_score,oracle_brier,normalized_brier_regret,brier_rank,top_q,in_brier_top_q,target_a_proxy_rank
office_home,resnet50,Art,5,random,5,Clipart__block_01|Clipart__block_02|Clipart__block_03|Product__block_01|Real World__block_03,5486,0.9666140526653182,0.9658656119490723,0.0007748911515087424,449,10,0,656
office_home,resnet50,Art,5,random,6,Product__block_00|Product__block_01|Product__block_03|Real World__block_00|Real World__block_03,5515,0.9668006179101941,0.9658656119490723,0.0009680497468328317,538,10,0,417
office_home,resnet50,Art,5,random,7,Clipart__block_02|Product__block_01|Product__block_03|Real World__block_02|Real World__block_03,5468,0.9663814634878566,0.9658656119490723,0.0005340821045935593,311,10,0,198
office_home,resnet50,Art,5,random,8,Clipart__block_00|Clipart__block_03|Product__block_01|Product__block_03|Real World__block_01,5470,0.9668551136162855,0.9658656119490723,0.001024471370521686,580,10,0,644
office_home,resnet50,Art,5,random,9,Clipart__block_01|Product__block_00|Product__block_02|Real World__block_01|Real World__block_02,5491,0.9664851630013594,0.9658656119490723,0.0006414464337714075,401,10,0,267
office_home,resnet50,Art,5,random,10,Clipart__block_02|Clipart__block_03|Product__block_02|Product__block_03|Real World__block_00,5411,0.9669074114951833,0.9658656119490723,0.001078617494217184,620,10,0,668
office_home,resnet50,Art,5,random,11,Clipart__block_02|Clipart__block_03|Product__block_02|Real World__block_00|Real World__block_01,5399,0.9662537771830269,0.9658656119490723,0.00040188327356564053,183,10,0,396
office_home,resnet50,Art,5,random,12,Clipart__block_00|Clipart__block_01|Clipart__block_02|Real World__block_01|Real World__block_02,5412,0.9663705879222316,0.9658656119490723,0.0005228221886275993,299,10,0,444
office_home,resnet50,Art,5,random,13,Clipart__block_00|Clipart__block_01|Clipart__block_02|Product__block_00|Product__block_02,5524,0.9679198959616697,0.9658656119490723,0.002126883892731195,756,10,0,771
office_home,resnet50,Art,5,random,14,Clipart__block_00|Clipart__block_02|Clipart__block_03|Product__block_01|Real World__block_01,5452,0.9666074561925386,0.9658656119490723,0.0007680615546187033,448,10,0,707
office_home,resnet50,Art,5,random,15,Clipart__block_00|Clipart__block_02|Clipart__block_03|Product__block_00|Real World__block_01,5495,0.9666479456092513,0.9658656119490723,0.000809981896550057,462,10,0,698
office_home,resnet50,Art,5,random,16,Clipart__block_00|Clipart__block_01|Clipart__block_03|Product__block_02|Real World__block_01,5492,0.9669340736650777,0.9658656119490723,0.0011062219244448305,633,10,0,716
office_home,resnet50,Art,5,random,17,Clipart__block_00|Product__block_00|Product__block_02|Real World__block_00|Real World__block_01,5503,0.9665031001146117,0.9658656119490723,0.0006600174575560394,406,10,0,236
office_home,resnet50,Art,5,random,18,Clipart__block_00|Product__block_01|Product__block_02|Real World__block_01|Real World__block_03,5557,0.9665055770130984,0.9658656119490723,0.000662581891423448,407,10,0,141
office_home,resnet50,Art,5,random,19,Clipart__block_02|Product__block_02|Real World__block_00|Real World__block_01|Real World__block_02,5381,0.9660029640791888,0.9658656119490723,0.00014220625355880866,44,10,0,75
office_home,resnet50,Art,5,second_moment_mmd,-1,Clipart__block_01|Real World__block_00|Real World__block_01|Real World__block_02|Real World__block_03,5425,0.9659326175570956,0.9658656119490723,6.93736345867962e-05,14,10,0,3
office_home,resnet50,Art,5,size,-1,Clipart__block_00|Clipart__block_03|Product__block_00|Product__block_02|Real World__block_03,5639,0.9668988435273974,0.9658656119490723,0.0010697467282639037,613,10,0,461
office_home,resnet50,Art,5,spectrum_rank_l,-1,Clipart__block_00|Product__block_02|Real World__block_00|Real World__block_01|Real World__block_03,5508,0.966112951917538,0.9658656119490723,0.00025608114152297955,103,10,0,20
office_home,resnet50,Art,5,target_a,-1,Clipart__block_00|Real World__block_00|Real World__block_01|Real World__block_02|Real World__block_03,5473,0.9658758231431005,0.9658656119490723,1.0572064997338925e-05,2,10,1,1
office_home,resnet50,Art,5,target_energy,-1,Clipart__block_00|Clipart__block_01|Clipart__block_02|Clipart__block_03|Real World__block_03,5512,0.9671328871852559,0.9658656119490723,0.0013120616579633034,677,10,0,733
office_home,resnet50,Clipart,1,bayesian_d,-1,Real World__block_03,1150,0.975992739297389,0.9759668996443848,2.647595222091393e-05,2,10,1,1
office_home,resnet50,Clipart,1,collapse_4s,-1,Real World__block_03,1150,0.975992739297389,0.9759668996443848,2.647595222091393e-05,2,10,1,1
office_home,resnet50,Clipart,1,domain_balance,-1,Real World__block_03,1150,0.975992739297389,0.9759668996443848,2.647595222091393e-05,2,10,1,1
office_home,resnet50,Clipart,1,dpp_subspace,-1,Real World__block_03,1150,0.975992739297389,0.9759668996443848,2.647595222091393e-05,2,10,1,1
office_home,resnet50,Clipart,1,effective_rank,-1,Real World__block_03,1150,0.975992739297389,0.9759668996443848,2.647595222091393e-05,2,10,1,1
office_home,resnet50,Clipart,1,facility_subspace,-1,Real World__block_02,1087,0.9760456112087814,0.9759668996443848,8.0649829851125e-05,3,10,1,7
office_home,resnet50,Clipart,1,kcenter_subspace,-1,Real World__block_03,1150,0.975992739297389,0.9759668996443848,2.647595222091393e-05,2,10,1,1
office_home,resnet50,Clipart,1,random,0,Product__block_02,1121,0.9765247718466283,0.9759668996443848,0.0005716097568952832,5,10,1,3
office_home,resnet50,Clipart,1,random,1,Real World__block_00,1054,0.9759668996443848,0.9759668996443848,0.0,1,10,1,5
