encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,best_candidate_confidence_set_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal,best_candidate_recall_tol_0_mean,best_candidate_recall_tol_0p001_mean,best_candidate_recall_tol_0p002_mean,best_candidate_recall_tol_0p005_mean
vit_b16,facility_subspace,5,7,7,0.14285714285714285,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.004138325413379091,0.12143090427514767,0.7619047619047619,5.0,0.7058823529411765,False,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.5714285714285714
vit_b16,facility_subspace,10,7,7,0.14285714285714285,0.7142857142857143,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.0033288015452724385,0.10077276053617314,0.5238095238095238,10.0,0.41176470588235287,False,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.5714285714285714
vit_b16,kcenter_subspace,3,7,7,0.42857142857142855,0.8571428571428571,0.2857142857142857,0.42857142857142855,0.38095238095238093,0.0022649279985596437,0.0657621363375522,0.8571428571428572,3.0,0.8235294117647057,False,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.8571428571428571
vit_b16,kcenter_subspace,5,7,7,0.5714285714285714,1.0,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.0009130754175269905,0.03116085111904473,0.7619047619047619,5.0,0.7058823529411765,False,0.5714285714285714,0.5714285714285714,0.7142857142857143,1.0
vit_b16,kcenter_subspace,10,7,7,0.5714285714285714,1.0,0.619047619047619,0.5714285714285714,0.7142857142857142,0.0009130754175269905,0.03116085111904473,0.5238095238095238,10.0,0.41176470588235287,False,0.5714285714285714,0.5714285714285714,0.7142857142857143,1.0
vit_b16,leverage_centroid,3,7,7,0.14285714285714285,0.42857142857142855,0.19047619047619047,0.14285714285714285,0.19047619047619047,0.005739444603794068,0.22059979310185554,0.8571428571428572,3.0,0.8235294117647057,False,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857
vit_b16,leverage_centroid,5,7,7,0.14285714285714285,0.42857142857142855,0.23809523809523808,0.14285714285714285,0.23809523809523808,0.0044400456018638245,0.16348421291172124,0.7619047619047619,5.0,0.7058823529411765,False,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855
vit_b16,leverage_centroid,10,7,7,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.003789464052641594,0.12928014243565475,0.5238095238095238,9.0,0.4705882352941177,False,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.5714285714285714
vit_b16,pool_vendi_subspace,3,7,7,0.42857142857142855,0.8571428571428571,0.2857142857142857,0.42857142857142855,0.38095238095238093,0.0022649279985596437,0.0657621363375522,0.8571428571428572,3.0,0.8235294117647057,False,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.8571428571428571
vit_b16,pool_vendi_subspace,5,7,7,0.5714285714285714,1.0,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.0009130754175269905,0.03116085111904473,0.7619047619047619,5.0,0.7058823529411765,False,0.5714285714285714,0.5714285714285714,0.7142857142857143,1.0
vit_b16,pool_vendi_subspace,10,7,7,0.5714285714285714,1.0,0.619047619047619,0.5714285714285714,0.7142857142857142,0.0009130754175269905,0.03116085111904473,0.5238095238095238,10.0,0.41176470588235287,False,0.5714285714285714,0.5714285714285714,0.7142857142857143,1.0
vit_b16,random,3,700,7,0.1442857142857143,0.45285714285714285,0.13857142857142857,0.21428571428571427,0.1880952380952381,0.0062039640131820815,0.1922705120757211,0.8571428571428572,2.9371428571428573,0.8272268907563024,False,0.1442857142857143,0.1742857142857143,0.26,0.4542857142857143
vit_b16,random,5,700,7,0.24428571428571427,0.6842857142857143,0.2495238095238095,0.3485714285714286,0.32333333333333336,0.004033323484797396,0.12238226726364615,0.7619047619047619,4.7785714285714285,0.7189075630252101,False,0.24428571428571427,0.30857142857142855,0.42857142857142855,0.6171428571428571
vit_b16,random,10,700,7,0.47714285714285715,0.86,0.47190476190476194,0.6085714285714285,0.5761904761904761,0.0020167217198242887,0.059914765190144076,0.5238095238095238,9.015714285714285,0.4696638655462185,False,0.47714285714285715,0.53,0.6628571428571428,0.8114285714285714
vit_b16,rank_l_gram,3,7,7,0.8571428571428571,1.0,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.0001449273273688315,0.008968601965394304,0.8571428571428572,3.0,0.8235294117647057,False,0.8571428571428571,0.8571428571428571,1.0,1.0
vit_b16,rank_l_gram,5,7,7,0.8571428571428571,1.0,0.7619047619047619,1.0,0.8095238095238094,0.0001449273273688315,0.008968601965394304,0.7619047619047619,5.0,0.7058823529411765,False,0.8571428571428571,0.8571428571428571,1.0,1.0
vit_b16,rank_l_gram,10,7,7,0.8571428571428571,1.0,0.8571428571428571,1.0,0.9047619047619048,0.0001449273273688315,0.008968601965394304,0.5238095238095238,10.0,0.41176470588235287,False,0.8571428571428571,0.8571428571428571,1.0,1.0
vit_b16,rank_only,3,7,7,0.7142857142857143,1.0,0.5238095238095238,0.7142857142857143,0.5238095238095238,0.0002922978752622723,0.012957637133326788,0.8571428571428572,2.0,0.8823529411764708,False,0.7142857142857143,0.7142857142857143,1.0,1.0
vit_b16,rank_only,5,7,7,0.8571428571428571,1.0,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.0001449273273688315,0.008968601965394304,0.7619047619047619,4.0,0.7647058823529411,False,0.8571428571428571,0.8571428571428571,1.0,1.0
vit_b16,rank_only,10,7,7,1.0,1.0,0.8095238095238094,1.0,0.8095238095238094,0.0,0.0,0.5238095238095238,7.0,0.5882352941176471,True,1.0,1.0,1.0,1.0
