encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,best_candidate_confidence_set_recall,top3_candidate_recall,best_candidate_family_recall,top3_candidate_family_recall,oracle_source,oracle_sources,oracle_source_count,oracle_confidence_sources,oracle_confidence_source_count,oracle_source_family,oracle_source_families,selected_source,selected_source_family,shortlist,shortlist_families,candidate_family_count,selected_family_count,removed_family_fraction,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,adapter_seeds,primary_tie_tolerance,oracle_validation_margin_to_second,stage2_evaluations,exhaustive_stage2_evaluations,best_candidate_recall_tol_0,best_candidate_recall_tol_0p001,best_candidate_recall_tol_0p002,best_candidate_recall_tol_0p005,oracle_selected_test_accuracy,selected_test_accuracy,test_regret_vs_exhaustive_validation_selection,heldout_adapter_seeds
resnet50,beans,random,11,3,21,0.8571428571428572,0,1,0.0,0,0.0,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,dermamnist,dermamnist,dermamnist|organsmnist|pneumoniamnist,dermamnist|organmnist_views|pneumoniamnist,17,3,0.8235294117647058,0.8653771935394701,0.8606060799631591,0.004771113576310992,0.10437229673642906,5,1e-12,0.0020631806878103065,3,21,0,0,0,1,0.8890625,0.878125,0.010937499999999933,5
resnet50,beans,random,12,3,21,0.8571428571428572,0,0,0.0,0,0.0,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,bloodmnist,bloodmnist,bloodmnist|cifar100_coarse|pathmnist,bloodmnist|cifar100_shared_images|pathmnist,17,3,0.8235294117647058,0.8653771935394701,0.8536428271225389,0.011734366416931152,0.2566995637586336,5,1e-12,0.0020631806878103065,3,21,0,0,0,0,0.8890625,0.884375,0.004687499999999956,5
resnet50,beans,random,13,3,21,0.8571428571428572,0,1,0.0,0,0.0,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,dermamnist,dermamnist,cifar10|dermamnist|organamnist,cifar10|dermamnist|organmnist_views,17,3,0.8235294117647058,0.8653771935394701,0.8606060799631591,0.004771113576310992,0.10437229673642906,5,1e-12,0.0020631806878103065,3,21,0,0,0,1,0.8890625,0.878125,0.010937499999999933,5
resnet50,beans,random,14,3,21,0.8571428571428572,0,1,0.0,0,0.0,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,pneumoniamnist,pneumoniamnist,pneumoniamnist|retinamnist|tissuemnist,pneumoniamnist|retinamnist|tissuemnist,17,3,0.8235294117647058,0.8653771935394701,0.8571244547476237,0.008252738791846403,0.18053590389202812,5,1e-12,0.0020631806878103065,3,21,0,0,0,0,0.8890625,0.8859375,0.0031249999999999334,5
resnet50,beans,random,15,3,21,0.8571428571428572,1,1,0.3333333333333333,1,0.3333333333333333,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,usps,handwritten_digits,dermamnist|organcmnist|usps,dermamnist|handwritten_digits|organmnist_views,17,3,0.8235294117647058,0.8653771935394701,0.8653771935394701,0.0,0.0,5,1e-12,0.0020631806878103065,3,21,1,1,1,1,0.8890625,0.8890625,0.0,5
resnet50,beans,random,16,3,21,0.8571428571428572,0,1,0.3333333333333333,0,0.3333333333333333,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,breastmnist,breastmnist,breastmnist|organsmnist|pathmnist,breastmnist|organmnist_views|pathmnist,17,3,0.8235294117647058,0.8653771935394701,0.8620889880978468,0.0032882054416232265,0.07193237985099471,5,1e-12,0.0020631806878103065,3,21,0,0,0,1,0.8890625,0.875,0.014062499999999978,5
resnet50,beans,random,17,3,21,0.8571428571428572,0,1,0.0,1,0.3333333333333333,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,stl10,stl10,mnist|rendered_sst2|stl10,handwritten_digits|rendered_sst2|stl10,17,3,0.8235294117647058,0.8653771935394701,0.8560928558972787,0.009284337642191387,0.2031030341015789,5,1e-12,0.0020631806878103065,3,21,0,0,0,0,0.8890625,0.8984375,-0.009375000000000022,5
resnet50,beans,random,18,3,21,0.8571428571428572,1,1,0.3333333333333333,1,0.3333333333333333,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,usps,handwritten_digits,cifar100|organcmnist|usps,cifar100_shared_images|handwritten_digits|organmnist_views,17,3,0.8235294117647058,0.8653771935394701,0.8653771935394701,0.0,0.0,5,1e-12,0.0020631806878103065,3,21,1,1,1,1,0.8890625,0.8890625,0.0,5
resnet50,beans,random,19,3,21,0.8571428571428572,0,1,0.6666666666666666,0,0.6666666666666666,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,fashion_mnist,fashion_mnist,breastmnist|fashion_mnist|organsmnist,breastmnist|fashion_mnist|organmnist_views,17,3,0.8235294117647058,0.8653771935394701,0.8633140128516598,0.0020631806878103065,0.04513388824742805,5,1e-12,0.0020631806878103065,3,21,0,0,0,1,0.8890625,0.8828125,0.006249999999999978,5
resnet50,beans,random,20,3,21,0.8571428571428572,0,1,0.0,0,0.0,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,cifar10,cifar10,cifar10|cifar100_coarse|organcmnist,cifar10|cifar100_shared_images|organmnist_views,17,3,0.8235294117647058,0.8653771935394701,0.8589297360062677,0.0064474575332024164,0.14104379199692813,5,1e-12,0.0020631806878103065,3,21,0,0,0,0,0.8890625,0.871875,0.017187500000000022,5
