encoder,source,source_domain,adapter_seed,target,validation_accuracy,validation_accuracy_std,validation_fold_accuracies,validation_partition_accuracies,validation_accuracy_std_across_partitions,validation_examples,unique_validation_examples,target_validation_protocol,target_cv_folds,target_cv_partitions,target_cv_seed,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
vit_b16,bloodmnist,medical,1,oxford_pets,0.9086050760972758,0.007211547151720483,0.9147495627|0.9103261232|0.9035326242|0.9006803036|0.9073569179|0.9242218733|0.9008152485|0.9103261232|0.9142857790|0.9046320915|0.9052773714|0.9116848111|0.9130434990|0.9142857790|0.8937329650,0.9073369472|0.9108695698|0.9076087113,0.00160507789255242,11040,3680,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.8967020511627197,500,600,256,128,0.01,1.129752827808261,0.14420022070407867,npu:7
vit_b16,bloodmnist,medical,2,beans,0.8326885985567215,0.0250328263576883,0.8509616256|0.8454105854|0.8309178948|0.8786407709|0.8058252335|0.8413462639|0.7826086879|0.8405796885|0.8300971389|0.8398058414|0.7788461447|0.8357487917|0.8502415419|0.8349514604|0.8446601629,0.8423597780|0.8268859098|0.8288201079,0.00688399419386009,3102,1034,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.875,500,600,256,128,0.01,1.1851285491138697,0.1346771903336048,npu:7
vit_b16,bloodmnist,medical,2,dtd,0.5928191781044007,0.015884889929046124,0.5944149494|0.6236702204|0.5744681358|0.5611702204|0.5984042883|0.5851064324|0.6023936272|0.5824468136|0.5957447290|0.6130319834|0.5944149494|0.5811170340|0.6156915426|0.5837765932|0.5864361525,0.5904255629|0.5957447171|0.5922872543,0.0022038689753434144,11280,3760,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.6111701726913452,500,600,256,128,0.01,1.1851285491138697,0.14032350853085518,npu:7
vit_b16,bloodmnist,medical,2,eurosat,0.8906666497349739,0.006019051791902912,0.8797215819|0.8922156096|0.8908909559|0.8966901302|0.8995983601|0.8876739144|0.9021956325|0.8918918371|0.8866599798|0.8835340738|0.8916500211|0.8932135701|0.8858858943|0.8836508989|0.8945782781,0.8918000087|0.8903999729|0.8897999676,0.0008380049837777652,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9003703594207764,500,600,256,128,0.01,1.1851285491138697,0.16024767607450485,npu:7
vit_b16,bloodmnist,medical,2,flowers102,0.6820262193679808,0.02989078674796179,0.7254902124|0.6960785389|0.6666667461|0.7009804249|0.6617647409|0.6568628550|0.6960785389|0.7254902720|0.6666667461|0.6274510622|0.6862745881|0.7303922176|0.6617648005|0.6862745881|0.6421569586,0.6901961327|0.6745098948|0.6813726306,0.006420534655098072,3060,1020,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.693399965763092,500,600,256,128,0.01,1.1851285491138697,0.1825288999825716,npu:7
vit_b16,bloodmnist,medical,2,food101,0.41733335264523824,0.008374641560355165,0.4198020101|0.4257425964|0.4188119173|0.4227722883|0.4062500596|0.4039604068|0.4306930602|0.4138613939|0.4069306850|0.4187500179|0.4049505293|0.4188118875|0.4297029972|0.4227722883|0.4156250358,0.4188000315|0.4148000037|0.4184000227,0.0017987763207669935,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.46879997849464417,500,600,256,128,0.01,1.1851285491138697,0.17604692839086056,npu:7
vit_b16,bloodmnist,medical,2,gtsrb,0.6190666670560837,0.014576406859742656,0.6027531624|0.6129353046|0.6243755817|0.6338028312|0.6154628992|0.6391347647|0.6089552045|0.6193805933|0.6509054303|0.5890132189|0.6096361876|0.6139303446|0.6213786006|0.6277666092|0.6164802313,0.6177999897|0.6216000004|0.6178000110,0.0017913371818367816,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.5069999694824219,500,600,256,128,0.01,1.1851285491138697,0.18587746284902096,npu:7
vit_b16,bloodmnist,medical,2,oxford_pets,0.9097826012666674,0.006824967189649178,0.9242218137|0.8980978727|0.9035326242|0.9034013748|0.9114441276|0.9147496223|0.9198369384|0.9035326242|0.9129252434|0.9032697082|0.9066305161|0.9157608747|0.9103261232|0.9074830413|0.9114440680,0.9081521647|0.9108695621|0.9103260769,0.0011740489824403702,11040,3680,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.8964295387268066,500,600,256,128,0.01,1.1851285491138697,0.15644897148013115,npu:7
vit_b16,bloodmnist,medical,3,beans,0.852353331890512,0.024411168503425593,0.8894231319|0.8309178352|0.8840579391|0.8300970793|0.8640776873|0.8269231319|0.8599033952|0.8937197924|0.8203883171|0.8203883767|0.8701924086|0.8357487917|0.8695652485|0.8446601629|0.8446602225,0.8597678904|0.8442940137|0.8529980916,0.006333614071031104,3102,1034,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.8515625,500,600,256,128,0.01,1.2067926917225122,0.14937572740018368,npu:7
vit_b16,bloodmnist,medical,3,dtd,0.5868794600168864,0.011860894052967632,0.5957447290|0.6117022038|0.5851064324|0.5797872543|0.5797872543|0.5904254913|0.5917553306|0.5664893985|0.6037234068|0.5797872543|0.5784574747|0.5757979155|0.5904255509|0.5997340679|0.5744681358,0.5904255748|0.5864361763|0.5837766290,0.002732458652447828,11280,3760,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.6058510541915894,500,600,256,128,0.01,1.2067926917225122,0.1379845030605793,npu:7
