scope,method,shortlist_size,rows,encoder_target_exclusion_units,encoders,targets,excluded_sources,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
exclude_cifar100,random,10,2800,28,4,7,1,0.5014285714285714,0.5009523809523809,0.002904215929310363,0.09742063750513517,0.0031973508809293983,0.5,0.5114285714285715,0.5589880952380952,9.146785714285715,0.4619537815126051,False
exclude_cifar100,rank_only,10,28,28,4,7,1,0.8571428571428571,0.7738095238095238,0.0006474267944704959,0.02490652124437907,-0.000420469897133965,0.5,0.8571428571428571,0.7857142857142857,8.25,0.5147058823529412,False
exclude_cifar100_coarse,dpp_subspace,10,28,28,4,7,1,0.8571428571428571,0.8214285714285714,0.0006469571900018076,0.025406855787238,-0.0007103170667375877,0.5,0.8571428571428571,0.8511904761904762,9.5,0.4411764705882352,False
exclude_cifar100_coarse,facility_subspace,10,28,28,4,7,1,0.32142857142857145,0.47619047619047616,0.002928789054594124,0.08981153252875719,0.004553377202578955,0.5,0.35714285714285715,0.5357142857142857,10.0,0.4117647058823529,False
exclude_cifar100_coarse,kcenter_subspace,10,28,28,4,7,1,0.6071428571428571,0.5476190476190476,0.0007126919528967728,0.033317663888573726,0.002098673156329562,0.5,0.6428571428571429,0.5892857142857143,9.75,0.4264705882352941,False
exclude_cifar100_coarse,pool_vendi_subspace,10,28,28,4,7,1,0.75,0.5833333333333333,0.0004192610602302257,0.017530278553123838,0.0011126548051834126,0.5,0.7857142857142857,0.6011904761904762,9.75,0.4264705882352941,False
exclude_cifar100_coarse,random,10,2800,28,4,7,1,0.49607142857142855,0.49892857142857144,0.0024226518807614113,0.081144684086752,0.0021112178925956986,0.5,0.5060714285714286,0.5336904761904762,9.146785714285715,0.4619537815126051,False
exclude_cifar100_coarse,rank_only,10,28,28,4,7,1,0.8571428571428571,0.8095238095238095,0.0006331410931558796,0.023887085601246645,-0.0003754956381661583,0.5,0.8571428571428571,0.8154761904761905,8.25,0.5147058823529412,False
exclude_dermamnist,dpp_subspace,10,28,28,4,7,1,0.8928571428571429,0.8095238095238095,0.0006240996797246069,0.023533290973797492,-0.0007976182869502492,0.5,0.8928571428571429,0.8392857142857143,8.5,0.46875,False
exclude_dermamnist,facility_subspace,10,28,28,4,7,1,0.25,0.5119047619047619,0.002525477596159844,0.08882037623136549,0.0029781818389892556,0.5,0.2857142857142857,0.5833333333333333,10.0,0.375,False
exclude_dermamnist,kcenter_subspace,10,28,28,4,7,1,0.6428571428571429,0.5357142857142857,0.0006898344426195722,0.031444099075133215,0.0020113719361169002,0.5,0.6785714285714286,0.5892857142857143,9.75,0.390625,False
exclude_dermamnist,pool_vendi_subspace,10,28,28,4,7,1,0.7857142857142857,0.5714285714285714,0.0003964035499530251,0.01565671373968333,0.001025353584970751,0.5,0.8214285714285714,0.6011904761904762,9.75,0.390625,False
exclude_dermamnist,random,10,2800,28,4,7,1,0.4967857142857143,0.4986904761904762,0.0024093884000177357,0.08055731692982714,0.002105795500533922,0.5,0.5360714285714285,0.5979166666666667,8.906428571428572,0.4433482142857143,False
exclude_dermamnist,rank_only,10,28,28,4,7,1,0.8571428571428571,0.8095238095238095,0.000619331046925837,0.022796173376979558,-0.000552743673324585,0.5,0.8571428571428571,0.8154761904761905,7.25,0.546875,False
exclude_fashion_mnist,dpp_subspace,10,28,28,4,7,1,0.8571428571428571,0.8214285714285714,0.0006515627266297905,0.02554886749823226,-0.0001522813524518734,0.5,0.8571428571428571,0.8630952380952381,8.5,0.46875,False
exclude_fashion_mnist,facility_subspace,10,28,28,4,7,1,0.2857142857142857,0.5119047619047619,0.0024530969679997772,0.08255907629801351,0.002946436405181881,0.5,0.32142857142857145,0.5952380952380951,10.0,0.375,False
exclude_fashion_mnist,kcenter_subspace,10,28,28,4,7,1,0.6071428571428571,0.5357142857142857,0.0007126919528967728,0.033317663888573726,0.002098673156329562,0.5,0.6428571428571429,0.6071428571428571,9.75,0.390625,False
exclude_fashion_mnist,pool_vendi_subspace,10,28,28,4,7,1,0.7857142857142857,0.5595238095238095,0.0004025941982589947,0.01634092195253068,0.0010623902082443249,0.5,0.8214285714285714,0.5892857142857143,9.75,0.390625,False
exclude_fashion_mnist,random,10,2800,28,4,7,1,0.49464285714285716,0.49630952380952376,0.002458043728353581,0.08267884436012544,0.001989539318851061,0.5,0.5339285714285714,0.6042261904761904,8.906428571428572,0.4433482142857143,False
exclude_fashion_mnist,rank_only,10,28,28,4,7,1,0.8571428571428571,0.8095238095238095,0.0006377466297838626,0.024029097312240906,0.00018254007611955597,0.5,0.8571428571428571,0.8154761904761905,7.25,0.546875,False
exclude_mnist,dpp_subspace,10,28,28,4,7,1,0.8571428571428571,0.8333333333333333,0.0006469571900018076,0.025406855787238,-0.0007103170667375877,0.5,0.8571428571428571,0.8571428571428571,8.5,0.5,False
exclude_mnist,facility_subspace,10,28,28,4,7,1,0.32142857142857145,0.5476190476190476,0.0024395650217631177,0.08121330459277738,0.002043579305921282,0.5,0.32142857142857145,0.5714285714285714,10.0,0.4117647058823529,False
exclude_mnist,kcenter_subspace,10,28,28,4,7,1,0.6428571428571429,0.5714285714285714,0.0006781516400299178,0.02951823064087386,0.001205816013472422,0.5,0.6428571428571429,0.5833333333333333,10.0,0.4117647058823529,False
exclude_mnist,pool_vendi_subspace,10,28,28,4,7,1,0.8214285714285714,0.6071428571428571,0.0003618632370861701,0.01185728049198347,0.00013249644211361139,0.5,0.8214285714285714,0.619047619047619,10.0,0.4117647058823529,False
exclude_mnist,random,10,2800,28,4,7,1,0.49464285714285716,0.4991666666666666,0.002442492822156371,0.0832069542126358,0.0019109846247094017,0.5,0.5239285714285714,0.5731547619047619,9.1325,0.4627941176470588,False
exclude_mnist,rank_only,10,28,28,4,7,1,0.8571428571428571,0.8333333333333333,0.0006421885572030375,0.02462868038055781,-0.0004654424531119234,0.5,0.8571428571428571,0.8333333333333333,7.25,0.5735294117647058,False
exclude_octmnist,dpp_subspace,10,28,28,4,7,1,0.8571428571428571,0.8095238095238095,0.0006469571900018076,0.025406855787238,-0.0007103170667375877,0.5,0.8571428571428571,0.8392857142857143,8.5,0.46875,False
exclude_octmnist,facility_subspace,10,28,28,4,7,1,0.2857142857142857,0.5238095238095238,0.0024530969679997772,0.08315980445935264,0.002946436405181881,0.5,0.32142857142857145,0.6071428571428571,10.0,0.375,False
exclude_octmnist,kcenter_subspace,10,28,28,4,7,1,0.6071428571428571,0.5357142857142857,0.0007126919528967728,0.03391839204991284,0.002098673156329562,0.5,0.6428571428571429,0.6071428571428571,9.75,0.390625,False
exclude_octmnist,pool_vendi_subspace,10,28,28,4,7,1,0.75,0.5833333333333333,0.0004192610602302257,0.017530278553123838,0.0011126548051834126,0.5,0.7857142857142857,0.613095238095238,9.75,0.390625,False
exclude_octmnist,random,10,2800,28,4,7,1,0.49464285714285716,0.4975,0.002405516581103609,0.08156263589383049,0.002152966993195669,0.5,0.5342857142857143,0.6,8.896428571428572,0.4439732142857143,False
exclude_octmnist,rank_only,10,28,28,4,7,1,0.8571428571428571,0.8095238095238095,0.0006421885572030375,0.02462868038055781,-0.0004654424531119234,0.5,0.8571428571428571,0.8154761904761905,7.25,0.546875,False
exclude_organamnist,dpp_subspace,10,28,28,4,7,1,0.8571428571428571,0.7976190476190476,0.0006469571900018076,0.025406855787238,-0.0007103170667375877,0.5,0.8571428571428571,0.8392857142857143,9.0,0.47058823529411764,False
exclude_organamnist,facility_subspace,10,28,28,4,7,1,0.14285714285714285,0.4404761904761904,0.003510624498005246,0.11673966880490784,0.005104380633149822,0.5,0.25,0.5833333333333333,10.0,0.4117647058823529,False
exclude_organamnist,kcenter_subspace,10,28,28,4,7,1,0.6071428571428571,0.5357142857142857,0.0007126919528967728,0.033317663888573726,0.002098673156329562,0.5,0.6428571428571429,0.5892857142857143,9.75,0.4264705882352941,False
exclude_organamnist,pool_vendi_subspace,10,28,28,4,7,1,0.75,0.5714285714285714,0.0004192610602302257,0.017530278553123838,0.0011126548051834126,0.5,0.7857142857142857,0.6011904761904762,9.75,0.4264705882352941,False
exclude_organamnist,random,10,2800,28,4,7,1,0.49464285714285716,0.4975,0.0024112314521993125,0.0812028725044568,0.0021296105086803423,0.5,0.5342857142857143,0.5916071428571429,9.282857142857143,0.45394957983193274,False
exclude_organamnist,rank_only,10,28,28,4,7,1,0.8571428571428571,0.8095238095238095,0.0006331410931558796,0.023887085601246645,-0.0003754956381661583,0.5,0.8571428571428571,0.8154761904761905,8.0,0.5294117647058824,False
exclude_organcmnist,dpp_subspace,10,28,28,4,7,1,0.8571428571428571,0.8095238095238095,0.0006469571900018076,0.025406855787238,-0.0007103170667375877,0.5,0.8571428571428571,0.8273809523809524,8.5,0.5,False
exclude_organcmnist,facility_subspace,10,28,28,4,7,1,0.14285714285714285,0.4523809523809524,0.003510624498005246,0.11698515223536916,0.005104380633149822,0.5,0.25,0.5833333333333333,10.0,0.4117647058823529,False
exclude_organcmnist,kcenter_subspace,10,28,28,4,7,1,0.6071428571428571,0.5357142857142857,0.0007126919528967728,0.033317663888573726,0.002098673156329562,0.5,0.6428571428571429,0.5892857142857143,9.75,0.4264705882352941,False
exclude_organcmnist,pool_vendi_subspace,10,28,28,4,7,1,0.75,0.5714285714285714,0.0004192610602302257,0.017530278553123838,0.0011126548051834126,0.5,0.7857142857142857,0.6011904761904762,9.75,0.4264705882352941,False
exclude_organcmnist,random,10,2800,28,4,7,1,0.49464285714285716,0.4982142857142857,0.0024120629084416366,0.08186179123042746,0.002131370242152894,0.5,0.5342857142857143,0.5869642857142857,9.282857142857143,0.45394957983193274,False
exclude_organcmnist,rank_only,10,28,28,4,7,1,0.8571428571428571,0.8095238095238095,0.0006469571900018076,0.025406855787238,-0.0007103170667375877,0.5,0.8571428571428571,0.8154761904761905,8.25,0.5147058823529412,False
exclude_organsmnist,dpp_subspace,10,28,28,4,7,1,0.8571428571428571,0.8452380952380952,0.0006331410931558796,0.023887085601246645,-0.0003754956381661583,0.5,0.8571428571428571,0.8511904761904762,9.0,0.47058823529411764,False
exclude_organsmnist,facility_subspace,10,28,28,4,7,1,0.14285714285714285,0.4642857142857143,0.0034161628857406795,0.10961633706365177,0.005053763091564174,0.5,0.25,0.5833333333333333,10.0,0.4117647058823529,False
exclude_organsmnist,kcenter_subspace,10,28,28,4,7,1,0.6071428571428571,0.5357142857142857,0.0007126919528967728,0.033317663888573726,0.002098673156329562,0.5,0.6428571428571429,0.5892857142857143,9.75,0.4264705882352941,False
exclude_organsmnist,pool_vendi_subspace,10,28,28,4,7,1,0.75,0.5714285714285714,0.0004192610602302257,0.017530278553123838,0.0011126548051834126,0.5,0.7857142857142857,0.6011904761904762,9.75,0.4264705882352941,False
exclude_organsmnist,random,10,2800,28,4,7,1,0.49464285714285716,0.4982142857142857,0.0024029925875891974,0.08069355163926824,0.0020839317291975012,0.5,0.5342857142857143,0.5916071428571429,9.282857142857143,0.45394957983193274,False
exclude_organsmnist,rank_only,10,28,28,4,7,1,0.8571428571428571,0.8095238095238095,0.0006331410931558796,0.023887085601246645,-0.0003754956381661583,0.5,0.8571428571428571,0.8154761904761905,8.25,0.5147058823529412,False
exclude_pathmnist,dpp_subspace,10,28,28,4,7,1,0.8928571428571429,0.7976190476190476,0.0006445760293451928,0.025236934829777267,-0.0008055559226444821,0.5,0.8928571428571429,0.8273809523809524,8.5,0.46875,False
exclude_pathmnist,facility_subspace,10,28,28,4,7,1,0.2857142857142857,0.5357142857142857,0.0024735733176203633,0.08426272015399329,0.002938498769487648,0.5,0.32142857142857145,0.6071428571428571,10.0,0.375,False
exclude_pathmnist,kcenter_subspace,10,28,28,4,7,1,0.6428571428571429,0.5595238095238095,0.0006874532819629575,0.031279051561936735,0.0019161330802100057,0.5,0.6785714285714286,0.625,9.75,0.390625,False
exclude_pathmnist,pool_vendi_subspace,10,28,28,4,7,1,0.7857142857142857,0.6071428571428571,0.00039402238929641043,0.01549166622648685,0.0009301147290638566,0.5,0.8214285714285714,0.6369047619047619,9.75,0.390625,False
exclude_pathmnist,random,10,2800,28,4,7,1,0.49392857142857144,0.4961904761904762,0.002410863526261779,0.08140114345455682,0.0020921359147344316,0.5,0.5432142857142858,0.5982142857142857,8.908214285714285,0.4432366071428571,False
exclude_pathmnist,rank_only,10,28,28,4,7,1,0.8928571428571429,0.7976190476190476,0.0006398073965464228,0.024458759423097078,-0.0005606813090188179,0.5,0.8928571428571429,0.8035714285714286,7.25,0.546875,False
exclude_pneumoniamnist,dpp_subspace,10,28,28,4,7,1,0.8571428571428571,0.7976190476190476,0.0006469571900018076,0.025406855787238,-0.0007103170667375877,0.5,0.8571428571428571,0.8273809523809524,8.5,0.46875,False
exclude_pneumoniamnist,facility_subspace,10,28,28,4,7,1,0.2857142857142857,0.5238095238095238,0.0024530969679997772,0.08296523799735224,0.002946436405181881,0.5,0.32142857142857145,0.5952380952380951,10.0,0.375,False
exclude_pneumoniamnist,kcenter_subspace,10,28,28,4,7,1,0.6071428571428571,0.5476190476190476,0.0007126919528967728,0.03372382558791245,0.002098673156329562,0.5,0.6428571428571429,0.619047619047619,9.75,0.390625,False
exclude_pneumoniamnist,pool_vendi_subspace,10,28,28,4,7,1,0.75,0.5833333333333333,0.0004192610602302257,0.01874125570778615,0.0011126548051834126,0.5,0.7857142857142857,0.613095238095238,9.75,0.390625,False
exclude_pneumoniamnist,random,10,2800,28,4,7,1,0.4903571428571429,0.4967857142857143,0.0023979816872185945,0.08190859530305186,0.002139594601733343,0.5,0.53,0.5954761904761905,8.908214285714285,0.4432366071428571,False
exclude_pneumoniamnist,rank_only,10,28,28,4,7,1,0.8571428571428571,0.7976190476190476,0.0006421885572030375,0.02462868038055781,-0.0004654424531119234,0.5,0.8571428571428571,0.8035714285714286,7.25,0.546875,False
exclude_rendered_sst2,dpp_subspace,10,28,28,4,7,1,0.8571428571428571,0.8214285714285714,0.00015649033054080226,0.013765775890365083,-0.0002080849238804456,0.5,0.8571428571428571,0.8630952380952381,8.5,0.46875,False
exclude_rendered_sst2,facility_subspace,10,28,28,4,7,1,0.32142857142857145,0.4880952380952381,0.0026173826497299995,0.1176698326822155,0.0025296109063284683,0.5,0.35714285714285715,0.5833333333333333,10.0,0.375,False
exclude_rendered_sst2,kcenter_subspace,10,28,28,4,7,1,0.7857142857142857,0.5238095238095238,0.00023735091522527778,0.012325230614866923,0.0006662262337548389,0.5,0.8214285714285714,0.613095238095238,9.75,0.390625,False
exclude_rendered_sst2,pool_vendi_subspace,10,28,28,4,7,1,0.8214285714285714,0.5714285714285714,0.0004142766099625201,0.017038380325807272,0.000640267559460234,0.5,0.8571428571428571,0.619047619047619,9.75,0.390625,False
exclude_rendered_sst2,random,10,2800,28,4,7,1,0.4953571428571429,0.496547619047619,0.002233843951640904,0.09815278810667612,0.002396610647439954,0.5,0.535,0.6121428571428571,8.908214285714285,0.4432366071428571,False
