method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,removed_fraction_mean,test_regret_vs_exhaustive_validation_selection_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passing_encoders,passes_overall
agglomerative_subspace,5,28,4,28,0.03571428571428571,0.10714285714285714,0.0061020696589935836,0.18881934155858277,0.7619047619047619,0.0056868902274540495,0.35714285714285715,0.4047619047619047,5.0,0.7058823529411764,0,False
dpp_subspace,5,28,4,28,0.7857142857142857,0.6785714285714286,0.0005489035150964787,0.02121136451787409,0.7619047619047619,0.001566653166498459,0.8214285714285714,0.7023809523809524,4.75,0.7205882352941176,0,False
exact_merged_rank_greedy,5,28,4,28,0.7857142857142857,0.6785714285714286,0.0005489035150964787,0.02121136451787409,0.7619047619047619,0.001566653166498459,0.7857142857142857,0.6904761904761905,4.0,0.7647058823529411,0,False
facility_subspace,5,28,4,28,0.10714285714285714,0.13095238095238096,0.007293753779561776,0.19607478401859266,0.7619047619047619,0.006098317248480654,0.42857142857142855,0.41666666666666663,5.0,0.7058823529411764,0,False
kcenter_subspace,5,28,4,28,0.6428571428571429,0.4404761904761904,0.0018239479909447711,0.06180875769965593,0.7619047619047619,0.0014898219278880504,0.6785714285714286,0.494047619047619,5.0,0.7058823529411764,0,False
leverage_centroid,5,28,4,28,0.14285714285714285,0.21428571428571427,0.004516071249000206,0.14024451867481932,0.7619047619047619,0.0022197229521615197,0.14285714285714285,0.2202380952380952,5.0,0.7058823529411764,0,False
pool_vendi_subspace,5,28,4,28,0.6428571428571429,0.4404761904761904,0.0018239479909447711,0.06180875769965593,0.7619047619047619,0.0014898219278880504,0.6785714285714286,0.5059523809523809,5.0,0.7058823529411764,0,False
random,5,2800,4,28,0.245,0.24142857142857144,0.004315212437905701,0.13725440873787056,0.7619047619047618,0.0042425556076424445,0.3292857142857143,0.32392857142857145,4.771428571428571,0.719327731092437,0,False
rank_l_gram,5,28,4,28,0.6785714285714286,0.6428571428571429,0.0007485841505797079,0.02643384147845204,0.7619047619047619,0.0010320207902363313,0.8214285714285714,0.7380952380952381,5.0,0.7058823529411764,0,False
rank_only,5,28,4,28,0.7857142857142857,0.6785714285714286,0.0005489035150964787,0.02121136451787409,0.7619047619047619,0.001566653166498459,0.7857142857142857,0.6904761904761905,4.0,0.7647058823529411,0,False
agglomerative_subspace,10,28,4,28,0.07142857142857142,0.17857142857142858,0.005339963277976724,0.1552017363540219,0.5238095238095238,0.005624733652387345,0.4642857142857143,0.5178571428571429,10.0,0.4117647058823529,0,False
dpp_subspace,10,28,4,28,0.8571428571428571,0.7738095238095238,0.00024034660135438535,0.006034490457809572,0.5238095238095238,0.0007295995950698837,0.9285714285714286,0.8214285714285714,8.5,0.5,1,False
exact_merged_rank_greedy,10,28,4,28,0.8928571428571429,0.7976190476190476,0.00020411476951217748,0.0037923399664609963,0.5238095238095238,0.0007646420172282604,0.9285714285714286,0.8214285714285714,7.75,0.5441176470588236,2,False
facility_subspace,10,28,4,28,0.10714285714285714,0.2857142857142857,0.004692010123933945,0.13587494996630864,0.5238095238095238,0.004678234245095929,0.5,0.613095238095238,10.0,0.4117647058823529,0,False
kcenter_subspace,10,28,4,28,0.75,0.5952380952380951,0.0005702140486256406,0.024436678493743647,0.5238095238095238,0.0003480345010757494,0.7857142857142857,0.6607142857142857,10.0,0.4117647058823529,0,False
leverage_centroid,10,28,4,28,0.21428571428571427,0.42857142857142855,0.0035440304535701633,0.09932232609198109,0.5238095238095238,0.0031233112726892754,0.2857142857142857,0.47619047619047616,9.25,0.45588235294117646,0,False
pool_vendi_subspace,10,28,4,28,0.6785714285714286,0.6309523809523808,0.0008308004271571,0.02855447022208272,0.5238095238095238,1.28699200493925e-05,0.7142857142857143,0.6964285714285714,9.75,0.4264705882352941,0,False
random,10,2800,4,28,0.47714285714285715,0.47583333333333333,0.0021287828428939917,0.06688882659341214,0.5238095238095238,0.002070001238158769,0.5992857142857143,0.5864285714285714,9.006428571428572,0.4702100840336134,0,False
