method,shortlist_size,target,encoders,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,removed_fraction_mean,test_regret_vs_exhaustive_validation_selection_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean
agglomerative_subspace,10,oxford_pets,4,0.0,0.08333333333333333,0.00458786181781598,0.18635606100106256,0.5238095238095238,0.005968904495239236,0.5,0.5833333333333333,10.0,0.4117647058823529
dpp_subspace,3,beans,4,0.25,0.16666666666666666,0.0038523536307591977,0.16723449314770572,0.8571428571428572,0.003906250000000028,0.25,0.16666666666666666,3.0,0.8235294117647058
dpp_subspace,3,dtd,4,1.0,0.6666666666666666,0.0,0.0,0.8571428571428572,0.0,1.0,0.75,3.0,0.8235294117647058
dpp_subspace,3,eurosat,4,1.0,0.5833333333333333,0.0,0.0,0.8571428571428572,0.0,1.0,0.6666666666666666,3.0,0.8235294117647058
dpp_subspace,3,flowers102,4,0.25,0.41666666666666663,0.0028921564420063828,0.07183102782664452,0.8571428571428572,0.003460007905960072,0.25,0.4583333333333333,3.0,0.8235294117647058
dpp_subspace,3,food101,4,0.75,0.75,0.0002799992680549701,0.009206463043311993,0.8571428571428572,-0.0005499958992004617,0.75,0.8333333333333333,3.0,0.8235294117647058
dpp_subspace,3,gtsrb,4,0.75,0.3333333333333333,6.333466529845344e-05,0.0028701501709338436,0.8571428571428572,0.0013799965381622314,0.75,0.4583333333333333,3.0,0.8235294117647058
dpp_subspace,3,oxford_pets,4,0.5,0.5833333333333333,0.00047554192794621586,0.02510360988504881,0.8571428571428572,-0.0005314826965332198,0.5,0.6666666666666666,3.0,0.8235294117647058
dpp_subspace,5,beans,4,0.25,0.25,0.0026756935681472305,0.11752159048230865,0.7619047619047619,0.007421875000000022,0.25,0.25,4.75,0.7205882352941175
dpp_subspace,5,dtd,4,1.0,1.0,0.0,0.0,0.7619047619047619,0.0,1.0,1.0,4.75,0.7205882352941175
dpp_subspace,5,eurosat,4,1.0,0.75,0.0,0.0,0.7619047619047619,0.0,1.0,0.75,4.75,0.7205882352941175
dpp_subspace,5,flowers102,4,0.75,0.5833333333333333,0.0008496735493342122,0.01239275753243612,0.7619047619047619,0.002409997582435597,0.75,0.625,4.75,0.7205882352941175
dpp_subspace,5,food101,4,1.0,1.0,0.0,0.0,0.7619047619047619,0.0,1.0,1.0,4.75,0.7205882352941175
dpp_subspace,5,gtsrb,4,0.75,0.41666666666666663,6.333466529845344e-05,0.0028701501709338436,0.7619047619047619,0.0013799965381622314,0.75,0.4583333333333333,4.75,0.7205882352941175
dpp_subspace,5,oxford_pets,4,0.75,0.75,0.0002536228228954551,0.015695053439440033,0.7619047619047619,-0.000245296955108637,1.0,0.8333333333333333,4.75,0.7205882352941175
dpp_subspace,10,beans,4,0.75,0.5,0.0005157951719525766,0.011283472061857012,0.5238095238095238,0.0015624999999999944,0.75,0.5416666666666666,8.5,0.5
dpp_subspace,10,dtd,4,1.0,1.0,0.0,0.0,0.5238095238095238,0.0,1.0,1.0,8.5,0.5
dpp_subspace,10,eurosat,4,1.0,0.75,0.0,0.0,0.5238095238095238,0.0,1.0,0.75,8.5,0.5
dpp_subspace,10,flowers102,4,0.75,0.6666666666666666,0.0008496735493342122,0.01239275753243612,0.5238095238095238,0.002409997582435597,0.75,0.7916666666666666,8.5,0.5
dpp_subspace,10,food101,4,1.0,1.0,0.0,0.0,0.5238095238095238,0.0,1.0,1.0,8.5,0.5
dpp_subspace,10,gtsrb,4,0.75,0.6666666666666666,6.333466529845344e-05,0.0028701501709338436,0.5238095238095238,0.0013799965381622314,1.0,0.75,8.5,0.5
dpp_subspace,10,oxford_pets,4,0.75,0.8333333333333333,0.0002536228228954551,0.015695053439440033,0.5238095238095238,-0.000245296955108637,1.0,0.9166666666666666,8.5,0.5
exact_merged_rank_greedy,3,beans,4,0.25,0.16666666666666666,0.0038523536307591977,0.16723449314770572,0.8571428571428572,0.003906250000000028,0.25,0.16666666666666666,3.0,0.8235294117647058
exact_merged_rank_greedy,3,dtd,4,1.0,0.75,0.0,0.0,0.8571428571428572,0.0,1.0,0.8333333333333333,3.0,0.8235294117647058
exact_merged_rank_greedy,3,eurosat,4,1.0,0.5833333333333333,0.0,0.0,0.8571428571428572,0.0,1.0,0.6666666666666666,3.0,0.8235294117647058
exact_merged_rank_greedy,3,flowers102,4,0.5,0.5,0.0027287588516870798,0.04605786781216107,0.8571428571428572,0.003410002589225747,0.5,0.5416666666666666,3.0,0.8235294117647058
exact_merged_rank_greedy,3,food101,4,0.75,0.8333333333333333,0.0002799992680549701,0.009206463043311993,0.8571428571428572,-0.0005499958992004617,0.75,0.9166666666666666,3.0,0.8235294117647058
exact_merged_rank_greedy,3,gtsrb,4,0.75,0.3333333333333333,6.333466529845344e-05,0.0028701501709338436,0.8571428571428572,0.0013799965381622314,0.75,0.4583333333333333,3.0,0.8235294117647058
exact_merged_rank_greedy,3,oxford_pets,4,0.5,0.5833333333333333,0.00047554192794621586,0.02510360988504881,0.8571428571428572,-0.0005314826965332198,0.5,0.6666666666666666,3.0,0.8235294117647058
exact_merged_rank_greedy,5,beans,4,0.25,0.25,0.0026756935681472305,0.11752159048230865,0.7619047619047619,0.007421875000000022,0.25,0.25,4.0,0.7647058823529411
exact_merged_rank_greedy,5,dtd,4,1.0,1.0,0.0,0.0,0.7619047619047619,0.0,1.0,1.0,4.0,0.7647058823529411
exact_merged_rank_greedy,5,eurosat,4,1.0,0.75,0.0,0.0,0.7619047619047619,0.0,1.0,0.75,4.0,0.7647058823529411
exact_merged_rank_greedy,5,flowers102,4,0.75,0.5833333333333333,0.0008496735493342122,0.01239275753243612,0.7619047619047619,0.002409997582435597,0.75,0.625,4.0,0.7647058823529411
exact_merged_rank_greedy,5,food101,4,1.0,1.0,0.0,0.0,0.7619047619047619,0.0,1.0,1.0,4.0,0.7647058823529411
exact_merged_rank_greedy,5,gtsrb,4,0.75,0.41666666666666663,6.333466529845344e-05,0.0028701501709338436,0.7619047619047619,0.0013799965381622314,0.75,0.4583333333333333,4.0,0.7647058823529411
exact_merged_rank_greedy,5,oxford_pets,4,0.75,0.75,0.0002536228228954551,0.015695053439440033,0.7619047619047619,-0.000245296955108637,0.75,0.75,4.0,0.7647058823529411
exact_merged_rank_greedy,10,beans,4,0.75,0.5833333333333333,0.0005157951719525766,0.011283472061857012,0.5238095238095238,0.0015624999999999944,0.75,0.5416666666666666,7.75,0.5441176470588236
exact_merged_rank_greedy,10,dtd,4,1.0,1.0,0.0,0.0,0.5238095238095238,0.0,1.0,1.0,7.75,0.5441176470588236
exact_merged_rank_greedy,10,eurosat,4,1.0,0.75,0.0,0.0,0.5238095238095238,0.0,1.0,0.75,7.75,0.5441176470588236
exact_merged_rank_greedy,10,flowers102,4,0.75,0.6666666666666666,0.0008496735493342122,0.01239275753243612,0.5238095238095238,0.002409997582435597,0.75,0.7916666666666666,7.75,0.5441176470588236
exact_merged_rank_greedy,10,food101,4,1.0,1.0,0.0,0.0,0.5238095238095238,0.0,1.0,1.0,7.75,0.5441176470588236
exact_merged_rank_greedy,10,gtsrb,4,0.75,0.6666666666666666,6.333466529845344e-05,0.0028701501709338436,0.5238095238095238,0.0013799965381622314,1.0,0.75,7.75,0.5441176470588236
exact_merged_rank_greedy,10,oxford_pets,4,1.0,0.9166666666666666,0.0,0.0,0.5238095238095238,0.0,1.0,0.9166666666666666,7.75,0.5441176470588236
facility_subspace,3,beans,4,0.25,0.16666666666666666,0.006221794270262482,0.1464012092852757,0.8571428571428572,0.014843749999999961,0.5,0.29166666666666663,3.0,0.8235294117647058
facility_subspace,3,dtd,4,0.0,0.0,0.008696808020273838,0.2417255771592711,0.8571428571428572,0.009414890408515925,0.5,0.3333333333333333,3.0,0.8235294117647058
facility_subspace,3,eurosat,4,0.0,0.08333333333333333,0.0037800019935767537,0.24156047221704952,0.8571428571428572,0.0027962923049926758,0.0,0.41666666666666663,3.0,0.8235294117647058
facility_subspace,3,flowers102,4,0.0,0.08333333333333333,0.014215685725212146,0.2796234428295497,0.8571428571428572,0.011240002512931835,0.5,0.3333333333333333,3.0,0.8235294117647058
facility_subspace,3,food101,4,0.0,0.0,0.007619999602238331,0.20795816156093877,0.8571428571428572,0.007129991054534893,0.25,0.3333333333333333,3.0,0.8235294117647058
facility_subspace,3,gtsrb,4,0.0,0.08333333333333333,0.012226670834819486,0.3067970048516953,0.8571428571428572,0.011159993708133711,0.25,0.29166666666666663,3.0,0.8235294117647058
facility_subspace,3,oxford_pets,4,0.0,0.08333333333333333,0.00543025059814467,0.20229621401781564,0.8571428571428572,0.006623047590255726,0.5,0.5,3.0,0.8235294117647058
facility_subspace,5,beans,4,0.5,0.25,0.00423920261310351,0.0927362948427022,0.7619047619047619,0.004296874999999978,0.75,0.375,5.0,0.7058823529411764
facility_subspace,5,dtd,4,0.0,0.08333333333333333,0.007344860037167805,0.19656020661289927,0.7619047619047619,0.0075797855854034535,0.5,0.41666666666666663,5.0,0.7058823529411764
facility_subspace,5,eurosat,4,0.25,0.16666666666666666,0.002580001357595174,0.157839512370625,0.7619047619047619,0.0015185177326202393,0.25,0.5,5.0,0.7058823529411764
facility_subspace,5,flowers102,4,0.0,0.16666666666666666,0.012401960492134073,0.22920317440400587,0.7619047619047619,0.00869001150131224,0.5,0.41666666666666663,5.0,0.7058823529411764
facility_subspace,5,food101,4,0.0,0.08333333333333333,0.007359998425245248,0.20053105684327652,0.7619047619047619,0.005639986693859081,0.25,0.41666666666666663,5.0,0.7058823529411764
facility_subspace,5,gtsrb,4,0.0,0.08333333333333333,0.011700002933541953,0.2933570290388241,0.7619047619047619,0.008339996635913866,0.25,0.29166666666666663,5.0,0.7058823529411764
facility_subspace,5,oxford_pets,4,0.0,0.08333333333333333,0.00543025059814467,0.20229621401781564,0.7619047619047619,0.006623047590255726,0.5,0.5,5.0,0.7058823529411764
facility_subspace,10,beans,4,0.5,0.5833333333333333,0.0005157954342361049,0.0112834950450124,0.5238095238095238,0.003124999999999989,1.0,0.7916666666666666,10.0,0.4117647058823529
facility_subspace,10,dtd,4,0.0,0.16666666666666666,0.006879434386889094,0.1781907136952299,0.5238095238095238,0.007446804642677302,0.5,0.5,10.0,0.4117647058823529
facility_subspace,10,eurosat,4,0.25,0.16666666666666666,0.0017133327416579414,0.10749983241189413,0.5238095238095238,0.0010370343923568892,0.25,0.5833333333333333,10.0,0.4117647058823529
facility_subspace,10,flowers102,4,0.0,0.3333333333333333,0.005784315466880824,0.10912662788158356,0.5238095238095238,0.00539000630378722,0.75,0.625,10.0,0.4117647058823529
facility_subspace,10,food101,4,0.0,0.25,0.0060333323875069594,0.1768834387217076,0.5238095238095238,0.002559994161128981,0.25,0.5833333333333333,10.0,0.4117647058823529
facility_subspace,10,gtsrb,4,0.0,0.25,0.00774667038261892,0.20204437737206105,0.5238095238095238,0.008460000157356276,0.25,0.5416666666666666,10.0,0.4117647058823529
facility_subspace,10,oxford_pets,4,0.0,0.25,0.004171190067747771,0.16609616463667196,0.5238095238095238,0.004728800058364846,0.5,0.6666666666666666,10.0,0.4117647058823529
kcenter_subspace,3,beans,4,0.25,0.25,0.0013700829320458519,0.09277914545799576,0.8571428571428572,0.008593750000000039,0.25,0.25,3.0,0.8235294117647058
