excluded_encoder,method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,removed_fraction_mean,test_regret_vs_exhaustive_validation_selection_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passing_encoders,passes_overall
vit_b16,exact_merged_rank_greedy,3,21,3,21,0.6190476190476191,0.47619047619047616,0.0013612124801619927,0.0447195296418517,0.8571428571428571,0.0014971557117643736,0.6190476190476191,0.5714285714285714,3.0,0.8235294117647058,0,False
vit_b16,facility_subspace,3,21,3,21,0.047619047619047616,0.06349206349206349,0.008720102688220292,0.2431444739002458,0.8571428571428571,0.008141514233180441,0.3333333333333333,0.3492063492063492,3.0,0.8235294117647058,0,False
vit_b16,kcenter_subspace,3,21,3,21,0.5714285714285714,0.3333333333333333,0.0024750985297968923,0.08982257546614204,0.8571428571428571,0.00259717646099272,0.5714285714285714,0.3492063492063492,3.0,0.8235294117647058,0,False
vit_b16,leverage_centroid,3,21,3,21,0.14285714285714285,0.20634920634920634,0.005040630438218111,0.14429887438651254,0.8571428571428571,0.0014241979235694484,0.14285714285714285,0.21428571428571427,3.0,0.8235294117647058,0,False
vit_b16,pool_vendi_subspace,3,21,3,21,0.5714285714285714,0.3333333333333333,0.0024750985297968923,0.08982257546614204,0.8571428571428571,0.00259717646099272,0.5714285714285714,0.3492063492063492,3.0,0.8235294117647058,0,False
vit_b16,rank_l_gram,3,21,3,21,0.6190476190476191,0.5555555555555556,0.0013612124801619927,0.0447195296418517,0.8571428571428571,0.0014971557117643736,0.6190476190476191,0.5714285714285714,3.0,0.8235294117647058,0,False
vit_b16,rank_only,3,21,3,21,0.5714285714285714,0.492063492063492,0.001502863579207338,0.052046594478619604,0.8571428571428571,0.0028459662482851955,0.5714285714285714,0.5079365079365079,2.3333333333333335,0.8627450980392156,0,False
vit_b16,agglomerative_subspace,5,21,3,21,0.047619047619047616,0.09523809523809523,0.0060907825994522035,0.18982758168776026,0.7619047619047619,0.006309527442568817,0.38095238095238093,0.4126984126984127,5.0,0.7058823529411764,0,False
vit_b16,dpp_subspace,5,21,3,21,0.7619047619047619,0.6666666666666666,0.0006835622443390278,0.02529228536870069,0.7619047619047619,0.0021355941182091146,0.7619047619047619,0.6825396825396824,4.666666666666667,0.7254901960784313,0,False
vit_b16,exact_merged_rank_greedy,5,21,3,21,0.7619047619047619,0.6666666666666666,0.0006835622443390278,0.02529228536870069,0.7619047619047619,0.0021355941182091146,0.7619047619047619,0.6825396825396824,4.0,0.7647058823529411,0,False
vit_b16,facility_subspace,5,21,3,21,0.09523809523809523,0.07936507936507936,0.008345563234956005,0.22095607726640765,0.7619047619047619,0.007763863745189834,0.38095238095238093,0.36507936507936506,5.0,0.7058823529411764,0,False
vit_b16,kcenter_subspace,5,21,3,21,0.6666666666666666,0.42857142857142855,0.0021275721820840313,0.07202472655985966,0.7619047619047619,0.0025228903407142214,0.7142857142857143,0.4682539682539682,5.0,0.7058823529411764,0,False
vit_b16,leverage_centroid,5,21,3,21,0.14285714285714285,0.20634920634920634,0.004541413131379,0.13249795392918537,0.7619047619047619,0.0018117246173676954,0.14285714285714285,0.21428571428571427,5.0,0.7058823529411764,0,False
vit_b16,pool_vendi_subspace,5,21,3,21,0.6666666666666666,0.42857142857142855,0.0021275721820840313,0.07202472655985966,0.7619047619047619,0.0025228903407142214,0.7142857142857143,0.4841269841269841,5.0,0.7058823529411764,0,False
vit_b16,rank_l_gram,5,21,3,21,0.6190476190476191,0.6031746031746031,0.0009498030916500001,0.032255587982804625,0.7619047619047619,0.0014227509498596106,0.7619047619047619,0.7142857142857143,5.0,0.7058823529411764,0,False
vit_b16,rank_only,5,21,3,21,0.7619047619047619,0.6666666666666666,0.0006835622443390278,0.02529228536870069,0.7619047619047619,0.0021355941182091146,0.7619047619047619,0.6825396825396824,4.0,0.7647058823529411,0,False
vit_b16,agglomerative_subspace,10,21,3,21,0.09523809523809523,0.15873015873015872,0.0053669534086444775,0.15629366631579752,0.5238095238095238,0.005597233772277824,0.47619047619047616,0.5158730158730158,10.0,0.4117647058823529,0,False
vit_b16,dpp_subspace,10,21,3,21,0.8571428571428571,0.7777777777777777,0.0002721530260162366,0.0050564532886146615,0.5238095238095238,0.0010195226896376804,0.9047619047619048,0.8253968253968254,8.333333333333334,0.5098039215686274,1,False
vit_b16,exact_merged_rank_greedy,10,21,3,21,0.8571428571428571,0.7936507936507937,0.0002721530260162366,0.0050564532886146615,0.5238095238095238,0.0010195226896376804,0.9047619047619048,0.8253968253968254,7.666666666666667,0.5490196078431373,1,False
vit_b16,facility_subspace,10,21,3,21,0.09523809523809523,0.23809523809523808,0.00514641298348778,0.14757567977635383,0.5238095238095238,0.005236133507319845,0.47619047619047616,0.5793650793650793,10.0,0.4117647058823529,0,False
vit_b16,kcenter_subspace,10,21,3,21,0.8095238095238095,0.5873015873015872,0.00045592692565852406,0.022195287618643283,0.5238095238095238,0.0010005071049644866,0.8571428571428571,0.6428571428571429,10.0,0.4117647058823529,0,False
vit_b16,leverage_centroid,10,21,3,21,0.23809523809523808,0.42857142857142855,0.0034622192538796863,0.08933638731075653,0.5238095238095238,0.0030019657952444845,0.3333333333333333,0.492063492063492,9.333333333333334,0.45098039215686275,0,False
vit_b16,pool_vendi_subspace,10,21,3,21,0.7142857142857143,0.6349206349206349,0.0008033754303671365,0.027685676589762048,0.5238095238095238,0.000553620996929344,0.7619047619047619,0.6904761904761905,9.666666666666666,0.4313725490196078,0,False
vit_b16,rank_l_gram,10,21,3,21,0.7142857142857143,0.7142857142857143,0.0008671244938253478,0.02569877991107373,0.5238095238095238,0.00034144208544775604,1.0,0.9126984126984128,9.666666666666666,0.4313725490196078,1,False
