encoder,target,shortlist_size,oracle_source_family,dpp_best_candidate_recall,rank_best_candidate_recall,dpp_validation_regret,rank_validation_regret,dpp_minus_rank_best_recall,dpp_minus_rank_top3_recall,dpp_minus_rank_validation_regret,dpp_minus_rank_normalized_validation_regret,shortlist_jaccard,dpp_minus_rank_test_regret,dpp_best_candidate_family_recall,rank_best_candidate_family_recall,dpp_minus_rank_best_family_recall
clip_b32,food101,3,cifar100_shared_images,0.0,0.0,0.0011199970722198804,0.0011199970722198804,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
clip_b32,food101,5,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
clip_b32,food101,10,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,1.0,1.0,0.0
clip_b32,gtsrb,3,handwritten_digits,0.0,0.0,0.00025333866119381376,0.00025333866119381376,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
clip_b32,gtsrb,5,handwritten_digits,0.0,0.0,0.00025333866119381376,0.00025333866119381376,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
clip_b32,gtsrb,10,handwritten_digits,0.0,0.0,0.00025333866119381376,0.00025333866119381376,0.0,0.3333333333333333,0.0,0.0,0.8181818181818182,0.0,1.0,0.0,1.0
clip_b32,oxford_pets,3,cifar100_shared_images,0.0,0.0,0.0008876764202030429,0.0008876764202030429,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
clip_b32,oxford_pets,5,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
clip_b32,oxford_pets,10,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,1.0,1.0,0.0
dinov2_b14,beans,3,organmnist_views,0.0,0.0,0.0012250131095785655,0.0012250131095785655,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
dinov2_b14,beans,5,organmnist_views,0.0,0.0,0.0012250131095785655,0.0012250131095785655,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
dinov2_b14,beans,10,organmnist_views,1.0,1.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.8181818181818182,0.0,1.0,1.0,0.0
dinov2_b14,dtd,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.5,0.0,1.0,1.0,0.0
dinov2_b14,dtd,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
dinov2_b14,dtd,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,1.0,1.0,0.0
dinov2_b14,eurosat,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.5,0.0,1.0,1.0,0.0
dinov2_b14,eurosat,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
dinov2_b14,eurosat,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,1.0,1.0,0.0
dinov2_b14,flowers102,3,stl10,0.0,0.0,0.000653590361277212,0.000653590361277212,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
dinov2_b14,flowers102,5,stl10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
dinov2_b14,flowers102,10,stl10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,1.0,1.0,0.0
dinov2_b14,food101,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.5,0.0,1.0,1.0,0.0
dinov2_b14,food101,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
dinov2_b14,food101,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,1.0,1.0,0.0
dinov2_b14,gtsrb,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.5,0.0,1.0,1.0,0.0
dinov2_b14,gtsrb,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
dinov2_b14,gtsrb,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,1.0,1.0,0.0
dinov2_b14,oxford_pets,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.5,0.0,1.0,1.0,0.0
dinov2_b14,oxford_pets,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
dinov2_b14,oxford_pets,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,1.0,1.0,0.0
resnet50,beans,3,handwritten_digits,0.0,0.0,0.009284337642191387,0.011605420360866425,0.0,0.0,-0.0023210827186750382,-0.05077572151419221,0.5,-0.028124999999999956,0.0,0.0,0.0
resnet50,beans,5,handwritten_digits,0.0,0.0,0.0064474575332024164,0.0064474575332024164,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
resnet50,beans,10,handwritten_digits,0.0,0.0,0.0020631806878103065,0.0020631806878103065,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0
resnet50,dtd,3,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0
resnet50,dtd,5,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
resnet50,dtd,10,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,1.0,1.0,0.0
resnet50,eurosat,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0
resnet50,eurosat,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
resnet50,eurosat,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,1.0,1.0,0.0
