construction,readout,metric,method,shortlist_size,absolute_gap_threshold,failure_rate,worst_domain_failure_rate,domain_count
hash_partition,ridge,brier_score,domain_moment_ties,100,0.005,0.0,0.0,6
hash_partition,ridge,brier_score,domain_moment_ties,100,0.01,0.0,0.0,6
hash_partition,ridge,brier_score,domain_moment_ties,227,0.001,0.0,0.0,6
hash_partition,ridge,brier_score,domain_moment_ties,227,0.005,0.0,0.0,6
hash_partition,ridge,brier_score,domain_moment_ties,227,0.01,0.0,0.0,6
hash_partition,ridge,error_rate,domain_moment_ties,10,0.005,0.6708333333333334,1.0,6
hash_partition,ridge,error_rate,domain_moment_ties,10,0.01,0.5458333333333333,1.0,6
hash_partition,ridge,error_rate,domain_moment_ties,10,0.02,0.3958333333333333,1.0,6
hash_partition,ridge,error_rate,domain_moment_ties,25,0.005,0.65,1.0,6
hash_partition,ridge,error_rate,domain_moment_ties,25,0.01,0.5791666666666667,0.875,6
hash_partition,ridge,error_rate,domain_moment_ties,25,0.02,0.3458333333333334,0.55,6
hash_partition,ridge,error_rate,domain_moment_ties,50,0.005,0.19999999999999998,0.65,6
hash_partition,ridge,error_rate,domain_moment_ties,50,0.01,0.09166666666666667,0.5,6
hash_partition,ridge,error_rate,domain_moment_ties,50,0.02,0.08333333333333333,0.5,6
hash_partition,ridge,error_rate,domain_moment_ties,100,0.005,0.0,0.0,6
hash_partition,ridge,error_rate,domain_moment_ties,100,0.01,0.0,0.0,6
hash_partition,ridge,error_rate,domain_moment_ties,100,0.02,0.0,0.0,6
hash_partition,ridge,error_rate,domain_moment_ties,227,0.005,0.0,0.0,6
hash_partition,ridge,error_rate,domain_moment_ties,227,0.01,0.0,0.0,6
hash_partition,ridge,error_rate,domain_moment_ties,227,0.02,0.0,0.0,6
hash_partition,ridge,nll,domain_moment_ties,10,0.01,0.08333333333333333,0.5,6
hash_partition,ridge,nll,domain_moment_ties,10,0.05,0.0,0.0,6
hash_partition,ridge,nll,domain_moment_ties,10,0.1,0.0,0.0,6
hash_partition,ridge,nll,domain_moment_ties,25,0.01,0.08333333333333333,0.5,6
hash_partition,ridge,nll,domain_moment_ties,25,0.05,0.0,0.0,6
hash_partition,ridge,nll,domain_moment_ties,25,0.1,0.0,0.0,6
hash_partition,ridge,nll,domain_moment_ties,50,0.01,0.0,0.0,6
hash_partition,ridge,nll,domain_moment_ties,50,0.05,0.0,0.0,6
hash_partition,ridge,nll,domain_moment_ties,50,0.1,0.0,0.0,6
hash_partition,ridge,nll,domain_moment_ties,100,0.01,0.0,0.0,6
hash_partition,ridge,nll,domain_moment_ties,100,0.05,0.0,0.0,6
hash_partition,ridge,nll,domain_moment_ties,100,0.1,0.0,0.0,6
hash_partition,ridge,nll,domain_moment_ties,227,0.01,0.0,0.0,6
hash_partition,ridge,nll,domain_moment_ties,227,0.05,0.0,0.0,6
hash_partition,ridge,nll,domain_moment_ties,227,0.1,0.0,0.0,6
