encoder,projection_seed,target_domain,readout,metric,shortlist_size,method,recall_at_top_q,recall_at_top_q_defined_count,test_loss,test_loss_defined_count,oracle_loss,oracle_loss_defined_count,absolute_regret,absolute_regret_defined_count,relative_regret,relative_regret_defined_count,span_normalized_regret,span_normalized_regret_defined_count,absolute_omission,absolute_omission_defined_count,relative_candidate_span,relative_candidate_span_defined_count
dinov2_b14,20260918,quickdraw,ridge,brier_score,10,second_moment_mmd,0.4,1,0.988765622589326,1,0.9887355846996303,1,3.003788969568877e-05,1,3.0380103801780363e-05,1,0.04789545243563561,1,0.0,1,0.0006343003825385452,1
dinov2_b14,20260918,quickdraw,ridge,brier_score,10,target_a,0.2,1,0.988840111736293,1,0.9887355846996303,1,0.00010452703666274932,1,0.00010571788684484717,1,0.16666848981195892,1,8.737872932107482e-05,1,0.0006343003825385452,1
dinov2_b14,20260918,quickdraw,ridge,brier_score,10,target_energy,0.5,1,0.9887413280572893,1,0.9887355846996303,1,5.743357659016013e-06,1,5.808790285181045e-06,1,0.009157790922234003,1,0.0,1,0.0006343003825385452,1
dinov2_b14,20260918,quickdraw,ridge,brier_score,25,bayesian_d,0.0,1,0.9890625861736639,1,0.9887355846996303,1,0.0003270014740336391,1,0.000330726919404827,1,0.5214042565782772,1,0.000309031623751177,1,0.0006343003825385452,1
dinov2_b14,20260918,quickdraw,ridge,brier_score,25,domain_balance,0.0,1,0.9888868976006213,1,0.9887355846996303,1,0.00015131290099101857,1,0.00015303677073278006,1,0.24126860860513563,1,0.00015131290099101857,1,0.0006343003825385452,1
dinov2_b14,20260918,quickdraw,ridge,brier_score,25,dpp_subspace,0.0,1,0.9890788370649264,1,0.9887355846996303,1,0.00034325236529608727,1,0.0003471629529753038,1,0.5473163228846191,1,0.00034325236529608727,1,0.0006343003825385452,1
dinov2_b14,20260918,quickdraw,ridge,brier_score,25,merged_effective_rank,0.0,1,0.9890625861736639,1,0.9887355846996303,1,0.0003270014740336391,1,0.000330726919404827,1,0.5214042565782772,1,0.000309031623751177,1,0.0006343003825385452,1
dinov2_b14,20260918,quickdraw,ridge,brier_score,25,random,0.05500000000000001,20,0.9888442120661542,20,0.9887355846996302,20,0.00010862736652386684,20,0.00010986493073056223,20,0.17320647086932184,20,0.00010264911142303101,20,0.0006343003825385452,20
dinov2_b14,20260918,quickdraw,ridge,brier_score,25,second_moment_mmd,0.6,1,0.9887413280572893,1,0.9887355846996303,1,5.743357659016013e-06,1,5.808790285181045e-06,1,0.009157790922234003,1,0.0,1,0.0006343003825385452,1
dinov2_b14,20260918,quickdraw,ridge,brier_score,25,target_a,0.2,1,0.988840111736293,1,0.9887355846996303,1,0.00010452703666274932,1,0.00010571788684484717,1,0.16666848981195892,1,8.737872932107482e-05,1,0.0006343003825385452,1
