readout,method,metric,shortlist_size,projection_seeds,requested_projection_seeds,target_domain_count,repeated_task_count,recall_at_top_q,recall_at_top_q_defined_count,test_loss,test_loss_defined_count,oracle_loss,oracle_loss_defined_count,absolute_regret,absolute_regret_defined_count,relative_regret,relative_regret_defined_count,span_normalized_regret,span_normalized_regret_defined_count,absolute_omission,absolute_omission_defined_count,relative_candidate_span,relative_candidate_span_defined_count
logistic,merged_effective_rank,brier_score,25,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.32708333333333334,6,0.8686463888769529,6,0.8632587029736835,6,0.0053876859032692586,6,0.006447330347666681,6,0.08374738044342644,6,0.0049260071821861555,6,0.14652094607592522,6
logistic,merged_effective_rank,brier_score,50,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.46249999999999997,6,0.8662914489681657,6,0.8632587029736835,6,0.003032745994482109,6,0.003552565988868344,6,0.05929142047970034,6,0.0025792648554057696,6,0.14652094607592522,6
logistic,merged_effective_rank,brier_score,100,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.65,6,0.8654561045007939,6,0.8632587029736835,6,0.002197401527110387,6,0.0025458686140953715,6,0.04748706069338377,6,0.0013133095550358978,6,0.14652094607592522,6
logistic,merged_effective_rank,brier_score,227,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.8541666666666666,6,0.8645472486718054,6,0.8632587029736835,6,0.0012885456981218055,6,0.0014870686057983308,6,0.026282066992298264,6,0.0002970675118929636,6,0.14652094607592522,6
logistic,merged_effective_rank,error_rate,10,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.12083333333333333,6,0.652130126953125,6,0.6259053548177084,6,0.026224772135416668,6,0.04390011644663409,6,0.17980347341467762,6,0.022989908854166668,6,0.5637069335057727,6
logistic,merged_effective_rank,error_rate,25,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.29583333333333334,6,0.6397806803385416,6,0.6259053548177084,6,0.013875325520833334,6,0.02175098290374769,6,0.11734789636049338,6,0.007568359375,6,0.5637069335057727,6
logistic,merged_effective_rank,error_rate,50,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.4479166666666667,6,0.635528564453125,6,0.6259053548177084,6,0.009623209635416666,6,0.015302218280737101,6,0.08571387982076893,6,0.003875732421875,6,0.5637069335057727,6
logistic,merged_effective_rank,error_rate,100,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.6249999999999999,6,0.6345011393229166,6,0.6259053548177084,6,0.008595784505208334,6,0.013946128518521443,6,0.0809964215906528,6,0.0029093424479166665,6,0.5637069335057727,6
logistic,merged_effective_rank,error_rate,227,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.8624999999999999,6,0.6332499186197916,6,0.6259053548177084,6,0.007344563802083333,6,0.013008471458546458,6,0.05400038138462121,6,0.0008951822916666666,6,0.5637069335057727,6
logistic,merged_effective_rank,nll,10,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.18541666666666667,6,3.488180298129462,6,3.4074871295253217,6,0.08069316860413954,6,0.02297780464490058,6,0.03705206251789028,6,0.0782182675504817,6,0.7108004272248954,6
logistic,merged_effective_rank,nll,25,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.35833333333333334,6,3.447461654872578,6,3.4074871295253217,6,0.0399745253472563,6,0.010692745886119098,6,0.019043793602378428,6,0.03845167925365084,6,0.7108004272248954,6
logistic,merged_effective_rank,nll,50,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.5229166666666667,6,3.431498341809661,6,3.4074871295253217,6,0.0240112122843394,6,0.006163107044773671,6,0.011700211075496314,6,0.021430843962586415,6,0.7108004272248954,6
logistic,merged_effective_rank,nll,100,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.63125,6,3.431133654371177,6,3.4074871295253217,6,0.023646524845855398,6,0.006051409737441723,6,0.01150611600507616,6,0.01733700323414039,6,0.7108004272248954,6
logistic,merged_effective_rank,nll,227,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.8333333333333334,6,3.424554855775947,6,3.4074871295253217,6,0.01706772625062586,6,0.004281260196918872,6,0.008330653089618974,6,0.009742180791588414,6,0.7108004272248954,6
